Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,31.190001,31.510000,30.320000,30.370001,22.818821,3838200
2008-01-03,30.379999,30.469999,29.860001,29.910000,22.473198,3744800
2008-01-04,29.840000,29.850000,28.860001,29.129999,21.887140,4037400
2008-01-07,29.040001,29.219999,28.440001,28.760000,21.609137,3305000
2008-01-08,28.760000,29.129999,27.760000,27.809999,20.895342,4130800
2008-01-09,27.969999,27.980000,26.900000,27.420000,20.602314,6033200
2008-01-10,27.170000,27.770000,26.900000,27.660000,20.782640,3643900
2008-01-11,27.480000,27.480000,26.420000,26.520000,19.926083,3810300
2008-01-14,26.680000,27.469999,26.600000,27.200001,20.437016,5746800
2008-01-15,26.990000,27.480000,26.360001,26.459999,19.881010,5396300
2008-01-16,26.160000,27.990000,26.160000,27.490000,20.654907,6775700
2008-01-17,27.520000,27.969999,26.900000,26.969999,20.264200,4002300
2008-01-18,27.200001,27.799999,27.000000,27.540001,20.692472,4839200
2008-01-22,26.990000,27.540001,26.600000,27.180000,20.421988,4406000
2008-01-23,26.530001,28.000000,26.150000,27.990000,21.030588,5398900
2008-01-24,28.000000,29.059999,27.910000,28.920000,21.729349,5599800
2008-01-25,29.180000,29.500000,27.660000,27.719999,20.827717,5718500
2008-01-28,27.940001,28.100000,27.280001,28.059999,21.083183,3114200
2008-01-29,28.299999,28.340000,27.760000,28.200001,21.188375,3027700
2008-01-30,28.000000,28.450001,27.629999,28.000000,21.038097,4542000
2008-01-31,27.680000,28.600000,27.639999,28.360001,21.308599,4778200
2008-02-01,27.900000,29.209999,27.900000,29.100000,21.864595,4580500
2008-02-04,29.000000,29.100000,28.600000,28.700001,21.564051,2636000
2008-02-05,28.240000,28.379999,27.580000,27.650000,20.775129,3739200
2008-02-06,27.780001,28.059999,27.219999,27.370001,20.564741,3172400
2008-02-07,27.260000,27.969999,26.940001,27.730000,20.835234,3685100
2008-02-08,27.600000,28.059999,27.459999,27.770000,20.865288,3494600
2008-02-11,27.660000,28.559999,27.660000,28.250000,21.225945,2893200
2008-02-12,28.350000,28.750000,28.190001,28.270000,21.240963,2971100
2008-02-13,28.530001,28.830000,28.320000,28.549999,21.451345,3274600
2008-02-14,28.620001,28.660000,28.120001,28.330000,21.286047,7023000
2008-02-15,28.299999,28.309999,27.760000,27.930000,20.985506,4055100
2008-02-19,27.620001,28.260000,27.389999,27.430000,20.609827,4237700
2008-02-20,27.910000,27.910000,27.180000,27.719999,20.827717,7582900
2008-02-21,28.500000,29.490000,28.299999,28.629999,21.511459,9493300
2008-02-22,28.700001,28.790001,27.780001,28.190001,21.180864,5373500
2008-02-25,28.139999,28.650000,27.790001,28.389999,21.331133,4819100
2008-02-26,28.290001,28.639999,28.120001,28.480000,21.398754,5808000
2008-02-27,28.480000,28.690001,28.059999,28.389999,21.331133,5025000
2008-02-28,28.250000,28.389999,27.850000,27.950001,21.000530,3011800
2008-02-29,27.709999,27.709999,26.850000,26.920000,20.226629,3466100
2008-03-03,26.840000,27.139999,26.580000,26.910000,20.219116,4627400
2008-03-04,26.700001,27.430000,26.540001,27.320000,20.527178,5008000
2008-03-05,27.309999,27.900000,27.230000,27.570000,20.852400,4740800
2008-03-06,27.500000,27.639999,26.650000,26.719999,20.209509,4046700
2008-03-07,26.549999,27.770000,26.549999,27.370001,20.701136,5371800
2008-03-10,27.340000,27.770000,27.100000,27.200001,20.572563,3589800
2008-03-11,27.760000,27.900000,27.200001,27.799999,21.026356,4114200
2008-03-12,27.730000,28.260000,27.600000,27.840000,21.056612,3269500
2008-03-13,27.760000,28.510000,27.400000,28.280001,21.389412,4071900
2008-03-14,28.500000,28.500000,27.230000,27.629999,20.897781,5104800
2008-03-17,27.030001,28.160000,27.030001,27.930000,21.124685,4720200
2008-03-18,28.400000,28.500000,27.760000,28.500000,21.555799,4446800
2008-03-19,28.820000,28.820000,27.410000,27.410000,20.731388,5016200
2008-03-20,27.580000,28.420000,27.430000,28.350000,21.442358,6390200
2008-03-24,29.740000,30.200001,29.070000,29.469999,22.289457,6984300
2008-03-25,29.570000,30.049999,29.370001,29.510000,22.319715,7171800
2008-03-26,29.410000,29.450001,28.950001,29.209999,22.092804,2825200
2008-03-27,29.260000,29.670000,29.049999,29.160000,22.054993,4262300
2008-03-28,29.459999,29.980000,28.959999,28.959999,21.903719,5619100
2008-03-31,29.040001,29.750000,28.940001,29.520000,22.327272,4900500
2008-04-01,29.610001,30.809999,29.610001,30.620001,23.159258,6209600
2008-04-02,30.820000,31.080000,30.129999,30.360001,22.962603,4081400
2008-04-03,30.129999,30.910000,29.969999,30.709999,23.227320,3224100
2008-04-04,30.680000,31.059999,30.350000,30.670000,23.197073,3665000
2008-04-07,30.750000,30.930000,30.299999,30.629999,23.166821,4062700
2008-04-08,30.400000,30.420000,29.719999,29.900000,22.614685,2999100
2008-04-09,29.969999,30.120001,29.260000,30.020000,22.705452,3281000
2008-04-10,30.709999,31.750000,30.600000,31.559999,23.870218,6179500
2008-04-11,31.120001,31.299999,30.270000,30.340000,22.947481,3163600
2008-04-14,30.389999,30.490000,29.820000,29.850000,22.576872,2210800
2008-04-15,29.760000,30.320000,29.500000,30.219999,22.856712,3347100
2008-04-16,30.549999,31.549999,30.540001,31.440001,23.779457,4672300
2008-04-17,31.480000,31.520000,30.799999,31.129999,23.544985,3420800
2008-04-18,31.590000,32.080002,31.440001,31.660000,23.945850,3257200
2008-04-21,31.799999,32.730000,31.420000,32.630001,24.679506,5122500
2008-04-22,32.389999,32.400002,31.070000,31.340000,23.703821,4344000
2008-04-23,31.400000,32.779999,31.400000,32.110001,24.286203,4260800
2008-04-24,32.009998,32.660000,31.530001,32.360001,24.475292,3440600
2008-04-25,32.360001,32.500000,31.639999,32.200001,24.354279,3160300
2008-04-28,32.349998,32.430000,31.940001,32.279999,24.414785,3113300
2008-04-29,32.549999,32.759998,32.290001,32.430000,24.528233,3472000
2008-04-30,32.500000,32.779999,31.969999,32.209999,24.361841,4677400
2008-05-01,32.250000,33.919998,32.230000,33.599998,25.413157,5805200
2008-05-02,33.799999,33.930000,32.720001,33.320000,25.201382,5178800
2008-05-05,33.270000,33.970001,33.130001,33.639999,25.443409,5640100
2008-05-06,33.799999,34.439999,33.400002,34.299999,25.942606,4888200
2008-05-07,34.299999,34.630001,33.959999,34.110001,25.798889,4991800
2008-05-08,34.110001,34.189999,33.459999,33.730000,25.511482,4115600
2008-05-09,33.209999,34.330002,33.209999,34.139999,25.821581,3608900
2008-05-12,34.200001,34.310001,33.849998,34.200001,25.866966,3646100
2008-05-13,34.470001,34.599998,34.240002,34.459999,26.063610,3443500
