Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,5.820000,5.903333,5.626667,5.626667,4.743382,859600
2008-01-03,5.633333,5.755000,5.496666,5.496666,4.633790,1504000
2008-01-04,5.465000,5.498333,5.251667,5.263333,4.437086,1821600
2008-01-07,5.306667,5.375000,5.200000,5.300000,4.467997,1768800
2008-01-08,5.356667,5.465000,5.291667,5.436666,4.583210,2545200
2008-01-09,5.415000,5.480000,5.301667,5.465000,4.607094,1585600
2008-01-10,5.333333,5.531667,5.258333,5.446667,4.591640,1346800
2008-01-11,5.395000,5.456666,5.291667,5.330000,4.493288,1607200
2008-01-14,5.346667,5.550000,5.315000,5.463333,4.605690,1270800
2008-01-15,5.358333,5.415000,5.225000,5.365000,4.522793,1573600
2008-01-16,5.358333,5.518333,5.293334,5.403333,4.555108,2285200
2008-01-17,5.403333,5.711667,5.275000,5.358333,4.517172,1956400
2008-01-18,5.328333,5.620000,5.043334,5.071667,4.275506,2901600
2008-01-22,4.941667,5.341667,4.936666,5.275000,4.446921,3348000
2008-01-23,5.083333,5.828333,4.875000,5.748333,4.845948,4123200
2008-01-24,5.778333,5.905000,5.301667,5.313334,4.479238,2755600
2008-01-25,5.366667,5.526667,5.335000,5.465000,4.607094,2758800
2008-01-28,5.466667,5.705000,5.380000,5.666667,4.777103,2472000
2008-01-29,5.690000,5.750000,5.565000,5.675000,4.809590,2250000
2008-01-30,5.600000,5.886667,5.511667,5.628334,4.770041,2435200
2008-01-31,5.526667,5.925000,5.525000,5.831666,4.942368,2426400
2008-02-01,5.855000,6.068333,5.855000,6.046667,5.124580,1441600
2008-02-04,6.036667,6.088333,5.695000,5.888333,4.990393,2360400
2008-02-05,5.778333,5.960000,5.773334,5.808333,4.922590,2066800
2008-02-06,5.833333,5.988333,5.776667,5.881667,4.984742,2276400
2008-02-07,5.871666,6.133333,5.840000,6.033333,5.113280,2338800
2008-02-08,5.995000,6.123333,5.976666,6.023334,5.104805,2419200
2008-02-11,6.015000,6.038333,5.841667,6.008333,5.092093,1280800
2008-02-12,6.026667,6.166667,6.005000,6.100000,5.169780,1423600
2008-02-13,6.166667,6.330000,6.100000,6.313334,5.350583,1474000
2008-02-14,6.313334,6.313334,6.081666,6.183333,5.240406,2814400
2008-02-15,6.150000,6.203333,5.968333,6.100000,5.169780,1367200
2008-02-19,6.168334,6.308333,6.148334,6.171667,5.230519,1814800
2008-02-20,6.153333,6.285000,6.026667,6.256667,5.302557,1243200
2008-02-21,6.288333,6.503334,6.116667,6.156667,5.217805,1558800
2008-02-22,6.176667,6.235000,5.930000,6.073333,5.147181,1892400
2008-02-25,6.086667,6.330000,6.045000,6.238333,5.287019,1624000
2008-02-26,6.213333,6.433333,6.121666,6.368333,5.397196,2858800
2008-02-27,6.316667,6.468333,6.171667,6.265000,5.309618,2944800
2008-02-28,6.193333,6.341667,6.118333,6.245000,5.292669,2117200
2008-02-29,6.183333,6.203333,6.041667,6.071667,5.145767,2066800
2008-03-03,6.050000,6.166667,5.953333,6.156667,5.217805,3478000
2008-03-04,6.100000,6.131667,5.846667,6.015000,5.097743,3331200
2008-03-05,5.996666,6.015000,5.825000,5.835000,4.945191,4546800
2008-03-06,5.833333,5.920000,5.665000,5.691667,4.823716,2365600
2008-03-07,5.633333,5.751667,5.508333,5.566667,4.717779,2604400
2008-03-10,5.591667,5.591667,5.370000,5.410000,4.585003,2827200
2008-03-11,5.545000,5.688334,5.446667,5.640000,4.779929,3049200
2008-03-12,5.665000,5.690000,5.513333,5.513333,4.672578,1601200
2008-03-13,5.456666,5.855000,5.450000,5.755000,4.877391,2638000
2008-03-14,5.800000,5.800000,5.470000,5.551667,4.705065,1891600
2008-03-17,5.383333,5.626667,5.358333,5.518333,4.676816,1287600
2008-03-18,5.633333,5.800000,5.550000,5.750000,4.873155,1982800
2008-03-19,5.800000,6.081666,5.761667,5.850000,4.957904,3648000
2008-03-20,5.916667,5.943333,5.666667,5.785000,4.902816,3475200
2008-03-24,5.821667,5.948333,5.688334,5.870000,4.974854,1502400
2008-03-25,5.896667,6.001667,5.865000,5.961667,5.052540,880800
2008-03-26,5.946667,5.946667,5.605000,5.696667,4.827952,2291200
2008-03-27,5.710000,5.733333,5.565000,5.573333,4.723427,1516800
2008-03-28,5.625000,5.625000,5.361667,5.411667,4.586414,2387200
2008-03-31,5.428333,5.548333,5.426667,5.478333,4.642915,1802400
2008-04-01,5.573333,5.815000,5.555000,5.780000,4.898579,2569600
2008-04-02,5.790000,5.913333,5.735000,5.755000,4.877391,1849200
2008-04-03,5.723333,5.753334,5.610000,5.671667,4.806766,881200
2008-04-04,5.671667,5.836667,5.531667,5.678333,4.812415,2077200
2008-04-07,5.706666,5.728333,5.503334,5.511667,4.671166,1448800
2008-04-08,5.458333,5.535000,5.400000,5.458333,4.625966,4469200
2008-04-09,5.470000,5.551667,5.295000,5.326667,4.514378,4190400
2008-04-10,5.340000,5.461667,5.308333,5.376667,4.556753,4080000
2008-04-11,5.321667,5.321667,5.106667,5.166667,4.378776,3334800
2008-04-14,5.185000,5.255000,5.131667,5.133333,4.350527,2344800
2008-04-15,5.166667,5.243333,5.041667,5.145000,4.360415,2912400
2008-04-16,5.170000,5.416667,5.170000,5.291667,4.484715,5072800
2008-04-17,5.166667,5.570000,5.065000,5.418334,4.592064,5903200
2008-04-18,5.483333,5.525000,5.323333,5.350000,4.534153,2786400
2008-04-21,5.336667,5.476666,5.336667,5.401667,4.577941,2062000
2008-04-22,5.348333,5.353333,5.120000,5.198333,4.405614,1804000
2008-04-23,5.245000,5.245000,5.085000,5.100000,4.322275,2692800
2008-04-24,5.120000,5.263333,5.008333,5.221667,4.425389,1957600
2008-04-25,5.245000,5.273334,5.036667,5.148334,4.363238,2200800
2008-04-28,5.150000,5.213333,5.086667,5.205000,4.437119,1814400
2008-04-29,5.241667,5.301667,5.135000,5.216667,4.447066,1999600
2008-04-30,5.253334,5.276667,5.133333,5.156667,4.395918,1284400
2008-05-01,5.163333,5.361667,5.135000,5.313334,4.529471,1939600
2008-05-02,5.340000,5.388333,5.208333,5.286667,4.506739,1476000
2008-05-05,5.265000,5.323333,5.180000,5.208333,4.439961,1516800
2008-05-06,5.203333,5.301667,5.145000,5.275000,4.496793,1315200
2008-05-07,5.283333,5.350000,5.213333,5.213333,4.444224,1330000
2008-05-08,5.225000,5.388333,5.203333,5.355000,4.564990,2738800
2008-05-09,5.328333,5.490000,5.258333,5.471667,4.664446,1976400
2008-05-12,5.626667,5.960000,5.510000,5.958333,5.079316,5422000
2008-05-13,5.961667,6.021667,5.870000,5.881667,5.013960,3058000
2008-05-14,5.880000,6.106667,5.880000,6.016667,5.129043,2243200
2008-05-15,6.016667,6.110000,5.960000,6.045000,5.153197,1054800
2008-05-16,6.075000,6.110000,5.921667,6.008333,5.121938,1848000
2008-05-19,6.035000,6.070000,5.873333,5.896667,5.026746,1678000
2008-05-20,5.858333,5.970000,5.851666,5.885000,5.016802,1149600
2008-05-21,5.925000,5.998333,5.821667,5.853333,4.989808,1278000
2008-05-22,5.863333,5.931667,5.831666,5.878334,5.011117,964000
2008-05-23,5.858333,5.865000,5.755000,5.776667,4.924449,629200
2008-05-27,5.776667,5.891667,5.771667,5.865000,4.999751,846000
2008-05-28,5.883333,5.985000,5.871666,5.916667,5.043795,1589200
2008-05-29,5.888333,5.973333,5.813334,5.906667,5.035272,2042800
2008-05-30,5.923333,6.043334,5.918334,6.025000,5.136146,1348000
2008-06-02,6.016667,6.066667,5.953333,6.030000,5.140410,1437600
2008-06-03,6.058333,6.083333,5.886667,5.998333,5.113412,1203600
2008-06-04,5.973333,5.998333,5.858333,5.896667,5.026746,1044400
2008-06-05,5.898334,6.023334,5.898334,6.023334,5.134726,1172800
2008-06-06,5.995000,5.995000,5.745000,5.760000,4.910242,1290400
2008-06-09,5.783333,5.863333,5.648334,5.800000,4.944340,1646400
2008-06-10,5.765000,5.935000,5.705000,5.928333,5.053741,1418400
2008-06-11,5.900000,5.916667,5.808333,5.816667,4.958548,1621600
2008-06-12,5.845000,5.946667,5.820000,5.836667,4.975598,772800
2008-06-13,5.883333,5.978333,5.746666,5.945000,5.067950,1912000
2008-06-16,5.936666,6.106667,5.881667,6.090000,5.191559,1477200
2008-06-17,6.108333,6.121666,5.915000,5.926667,5.052321,1105200
2008-06-18,5.875000,6.035000,5.856667,5.941667,5.065108,1215600
2008-06-19,5.960000,5.976666,5.833333,5.946667,5.069371,1558800
2008-06-20,5.916667,5.971667,5.808333,5.971667,5.090682,2179600
2008-06-23,6.015000,6.015000,5.835000,5.893333,5.023906,1941600
2008-06-24,5.868333,5.941667,5.758333,5.826667,4.967074,1418800
2008-06-25,5.823333,6.100000,5.736667,5.973333,5.092101,3178000
2008-06-26,5.890000,5.925000,5.556667,5.616667,4.788052,2844000
2008-06-27,5.600000,5.640000,5.511667,5.511667,4.698543,1565200
2008-06-30,5.516667,5.541667,5.450000,5.471667,4.664446,1206400
2008-07-01,5.425000,5.491667,5.333333,5.488333,4.678654,1628400
2008-07-02,5.473333,5.475000,5.280000,5.298333,4.516684,1698400
2008-07-03,5.306667,5.341667,5.160000,5.210000,4.441381,1098400
2008-07-07,5.231667,5.305000,5.116667,5.278333,4.499633,1646800
2008-07-08,5.298333,5.493333,5.290000,5.481667,4.672969,2460400
2008-07-09,5.491667,5.578333,5.418334,5.463333,4.657341,1248000
2008-07-10,5.466667,5.618333,5.425000,5.525000,4.709910,1159200
2008-07-11,5.480000,5.631667,5.403333,5.500000,4.688599,2033200
2008-07-14,5.548333,5.611667,5.428333,5.533333,4.717014,2854800
2008-07-15,5.441667,5.710000,5.356667,5.610000,4.782370,1980400
2008-07-16,5.631667,5.856667,5.571667,5.838333,4.977019,2395600
2008-07-17,6.185000,6.795000,5.793334,6.123333,5.219973,5819200
2008-07-18,6.125000,6.228333,6.073333,6.153333,5.245547,2298000
2008-07-21,6.178333,6.476666,6.155000,6.461667,5.508392,2172400
2008-07-22,6.376667,6.511667,6.241667,6.406667,5.461507,2064000
2008-07-23,6.410000,6.425000,6.146667,6.195000,5.281067,2433600
2008-07-24,6.225000,6.456666,6.155000,6.208333,5.292434,2136400
2008-07-25,6.258333,6.475000,6.241667,6.431667,5.482820,2379600
2008-07-28,6.385000,6.560000,6.195000,6.196667,5.282488,1842400
2008-07-29,6.225000,6.481667,6.211667,6.475000,5.548115,1694800
2008-07-30,6.520000,6.706666,6.516667,6.691667,5.733767,2424400
2008-07-31,6.620000,6.646667,6.571667,6.616667,5.669502,1688400
2008-08-01,6.616667,6.690000,6.580000,6.593333,5.649507,1806400
2008-08-04,6.600000,6.610000,6.431667,6.516667,5.583816,1348800
2008-08-05,6.575000,6.623333,6.468333,6.598333,5.653794,1280800
2008-08-06,6.568333,6.815000,6.521667,6.793334,5.820881,1200000
2008-08-07,6.755000,6.800000,6.650000,6.710000,5.749475,1018000
2008-08-08,6.705000,7.083333,6.635000,7.046667,6.037948,1435200
2008-08-11,7.018333,7.273334,6.980000,7.216667,6.183614,2457600
2008-08-12,7.141667,7.236667,7.038333,7.153333,6.129345,1954000
2008-08-13,7.118333,7.143333,6.591667,6.780000,5.809455,2615200
2008-08-14,6.773334,6.895000,6.691667,6.866667,5.883717,1246000
2008-08-15,6.946667,7.058333,6.803333,6.991667,5.990822,1474000
2008-08-18,7.011667,7.035000,6.781667,6.881667,5.896566,914400
2008-08-19,6.860000,6.878334,6.560000,6.671667,5.716628,877200
2008-08-20,6.676667,6.721667,6.510000,6.650000,5.698064,850800
2008-08-21,6.618333,6.660000,6.501667,6.593333,5.649507,1080400
2008-08-22,6.610000,6.746666,6.541667,6.731667,5.768040,1200000
2008-08-25,6.716667,6.731667,6.588333,6.660000,5.706631,1118800
2008-08-26,6.638333,6.703333,6.553333,6.700000,5.740906,980400
2008-08-27,6.691667,6.920000,6.691667,6.855000,5.873718,1089600
2008-08-28,6.868333,6.956666,6.830000,6.911667,5.922272,739600
2008-08-29,6.893333,6.978333,6.833333,6.861667,5.879430,1681200
2008-09-02,6.876667,7.000000,6.765000,6.865000,5.882287,1664800
2008-09-03,6.868333,7.108333,6.855000,7.058333,6.047945,1392000
2008-09-04,6.993333,6.993333,6.701667,6.806667,5.832303,1704400
2008-09-05,6.755000,6.778333,6.605000,6.738333,5.773750,1595200
2008-09-08,6.941667,7.116667,6.871666,7.076667,6.063653,1473600
2008-09-09,7.071667,7.201667,6.801667,6.816667,5.840873,1180800
2008-09-10,6.876667,7.028333,6.810000,6.981667,5.982252,1254400
2008-09-11,6.926667,7.085000,6.703333,7.075000,6.062225,1375600
2008-09-12,7.046667,7.376667,6.973333,7.366667,6.312141,1888800
2008-09-15,7.165000,7.236667,6.961667,7.010000,6.006532,1410000
2008-09-16,6.860000,7.326667,6.860000,7.141667,6.119349,1623600
2008-09-17,7.063334,7.135000,6.808333,6.836667,5.858010,1515600
2008-09-18,6.936666,7.833333,6.818333,7.833333,6.712005,5719200
2008-09-19,8.191667,8.515000,7.251667,7.433333,6.369264,4470400
2008-09-22,7.433333,7.456666,6.733333,6.905000,5.916561,2331600
2008-09-23,6.956666,7.018333,6.736667,6.743333,5.778037,1421200
2008-09-24,6.730000,6.973333,6.530000,6.661667,5.708060,1349200
2008-09-25,6.688334,6.870000,6.688334,6.736667,5.772323,792400
2008-09-26,6.625000,6.776667,6.470000,6.741667,5.776610,1398400
2008-09-29,6.658333,6.658333,6.171667,6.305000,5.402449,1423200
2008-09-30,6.400000,6.531667,6.283333,6.531667,5.596669,1548000
2008-10-01,6.496666,6.568333,6.273334,6.413333,5.495275,801600
2008-10-02,6.383333,6.383333,5.813334,5.865000,5.025434,1221600
2008-10-03,5.930000,6.135000,5.561666,5.658333,4.848352,1477200
2008-10-06,5.583333,5.625000,5.165000,5.475000,4.691263,2318800
2008-10-07,5.541667,5.685000,5.193333,5.246666,4.495615,1426800
2008-10-08,5.066667,5.420000,5.060000,5.076667,4.349952,2800000
2008-10-09,5.161667,5.380000,4.953333,4.953333,4.244273,5193600
2008-10-10,4.771667,5.561666,4.591667,5.240000,4.489902,2563600
2008-10-13,5.400000,5.821667,5.280000,5.821667,4.988305,950400
