Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,19.669333,19.738667,19.101334,19.133333,15.733230,1280400
2008-01-03,19.237333,19.568001,19.194666,19.533333,16.062149,1241000
2008-01-04,19.445333,19.706667,19.298666,19.413334,15.963475,1440200
2008-01-07,19.933332,19.933332,19.386667,19.826666,16.303354,2033000
2008-01-08,19.765333,20.109333,19.437334,19.752001,16.241961,1860000
2008-01-09,19.810667,19.920000,19.522667,19.672001,16.176174,1623200
2008-01-10,19.565332,19.893333,19.285334,19.482666,16.020481,2165400
2008-01-11,19.226667,19.309334,18.600000,18.624001,15.314409,2904600
2008-01-14,18.666666,19.061333,18.576000,18.959999,15.590695,1699800
2008-01-15,18.685333,19.061333,18.600000,18.690666,15.369228,1838400
2008-01-16,18.642666,19.050667,18.600000,18.762667,15.428436,1724400
2008-01-17,18.781334,18.781334,17.792000,17.837334,14.667538,2925800
2008-01-18,17.837334,18.037333,17.464001,17.589333,14.463606,3714000
2008-01-22,16.872000,17.506666,16.360001,17.392000,14.301344,4093800
2008-01-23,16.962667,17.690666,16.490667,17.584000,14.459224,2686800
2008-01-24,17.669333,17.818666,17.458666,17.570667,14.448260,1879400
2008-01-25,17.333334,17.541334,17.066668,17.112000,14.071098,2513000
2008-01-28,16.685333,17.472000,16.488001,17.453333,14.351774,3957200
2008-01-29,17.511999,17.546667,17.117332,17.397333,14.305727,2088600
2008-01-30,17.392000,17.581333,16.877333,16.949333,13.937339,2010800
2008-01-31,16.741333,17.056000,16.581333,16.581333,13.634733,3496400
2008-02-01,16.781334,17.746666,16.685333,17.746666,14.592978,2661200
2008-02-04,17.714666,17.874666,17.429333,17.474667,14.369319,1551000
2008-02-05,17.106667,17.381332,16.957333,16.989334,13.970231,1904400
2008-02-06,17.133333,17.306667,17.024000,17.130667,14.086447,1443000
2008-02-07,17.117332,17.392000,17.045334,17.226667,14.165395,1800800
2008-02-08,17.066668,17.410667,17.018667,17.373333,14.285992,1599200
2008-02-11,17.386667,17.570667,17.285334,17.434668,14.336424,1869600
