Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,26.500000,26.500000,25.809999,26.129999,17.885361,19336800
2008-01-03,26.160000,26.299999,26.040001,26.110001,17.871679,14894100
2008-01-04,25.940001,26.070000,25.690001,25.750000,17.625263,17167900
2008-01-07,25.860001,26.260000,25.780001,26.040001,17.823761,17425900
2008-01-08,26.440001,26.969999,26.370001,26.639999,18.234447,22036800
2008-01-09,27.330000,27.370001,26.920000,27.080000,18.535614,25932200
2008-01-10,26.930000,27.200001,26.799999,26.930000,18.432943,17401500
2008-01-11,26.709999,27.010000,26.430000,26.480000,18.124929,15932900
2008-01-14,26.740000,27.030001,26.469999,26.990000,18.474014,19815000
2008-01-15,26.799999,27.209999,26.070000,26.100000,17.864828,22598700
2008-01-16,26.010000,26.469999,25.700001,25.820000,17.673176,21315300
2008-01-17,25.950001,25.950001,24.790001,24.860001,17.016081,21189600
2008-01-18,24.820000,25.049999,24.360001,24.480000,16.755978,27540900
2008-01-22,22.610001,23.660000,22.610001,22.889999,15.667661,46592300
2008-01-23,22.590000,22.920000,22.250000,22.590000,15.462321,29652700
2008-01-24,22.809999,23.379999,22.670000,23.350000,15.982521,34283000
2008-01-25,23.410000,23.730000,22.490000,22.969999,15.722419,33258900
2008-01-28,23.100000,23.690001,23.100000,23.590000,16.146801,17261500
2008-01-29,23.760000,23.910000,23.580000,23.610001,16.160490,10072000
2008-01-30,23.690001,23.719999,23.000000,23.260000,15.920918,12927100
2008-01-31,22.990000,23.500000,21.750000,23.020000,15.756642,28145700
2008-02-01,23.150000,24.190001,23.150000,23.959999,16.400045,25097200
2008-02-04,23.959999,24.129999,23.900000,24.030001,16.447960,10848000
2008-02-05,23.959999,24.070000,23.250000,23.430000,16.037281,20098500
2008-02-06,23.639999,24.020000,23.500000,23.820000,16.304218,16537400
2008-02-07,23.740000,23.900000,23.250000,23.340000,15.975680,16646800
2008-02-08,23.230000,23.959999,22.900000,23.070000,15.790862,10162100
2008-02-11,23.070000,23.850000,22.770000,22.950001,15.708730,10543100
2008-02-12,23.049999,23.340000,22.950001,23.190001,15.873003,10318500
2008-02-13,23.320000,23.940001,23.299999,23.860001,16.331606,11287600
2008-02-14,23.889999,23.900000,23.150000,23.209999,15.886696,8052600
2008-02-15,23.110001,23.450001,23.010000,23.299999,15.948298,8260200
2008-02-19,23.590000,23.590000,23.090000,23.160000,15.852472,8136700
2008-02-20,23.010000,23.129999,22.820000,23.059999,15.784029,11022000
2008-02-21,23.180000,23.280001,22.610001,22.760000,15.578681,11594100
2008-02-22,22.809999,23.000000,21.980000,22.530001,15.421252,18976600
2008-02-25,22.450001,23.209999,22.450001,23.190001,15.873003,12484200
2008-02-26,23.030001,23.490000,22.969999,23.370001,15.996211,11784700
2008-02-27,23.219999,23.440001,23.100000,23.200001,15.879851,8253800
2008-02-28,23.080000,23.139999,22.809999,22.910000,15.681351,13598100
2008-02-29,22.980000,22.980000,22.559999,22.610001,15.476009,16328100
2008-03-03,22.650000,22.650000,22.209999,22.389999,15.325422,14027900
2008-03-04,22.230000,22.240000,22.000000,22.139999,15.154303,18336400
2008-03-05,22.280001,22.520000,21.940001,22.190001,15.188526,19798700
2008-03-06,22.129999,22.139999,21.750000,21.770000,14.901047,15520800
2008-03-07,21.700001,22.049999,21.430000,21.879999,14.976336,16734600
2008-03-10,21.860001,21.910000,21.260000,21.330000,14.599878,12049600
2008-03-11,21.770000,21.770000,21.530001,21.730000,14.873671,17865000
2008-03-12,21.740000,21.770000,21.299999,21.360001,14.620416,16039000
2008-03-13,21.139999,21.700001,20.900000,21.410000,14.654638,11773700
2008-03-14,21.610001,21.610001,20.500000,20.639999,14.127588,20513400
2008-03-17,20.049999,21.000000,20.049999,20.459999,14.004379,19190800
2008-03-18,20.809999,21.360001,20.629999,21.350000,14.613569,16251600
2008-03-19,21.410000,22.250000,21.350000,21.459999,14.688862,13355400
2008-03-20,21.600000,21.719999,21.190001,21.459999,14.688862,12431700
2008-03-24,21.500000,21.600000,21.209999,21.270000,14.558812,9910600
2008-03-25,21.270000,21.660000,21.270000,21.600000,14.784690,11125700
2008-03-26,21.600000,21.620001,21.010000,21.200001,14.510899,13325800
2008-03-27,21.290001,21.600000,21.250000,21.299999,14.579345,8318200
2008-03-28,21.420000,21.740000,21.400000,21.480000,14.702552,10059700
2008-03-31,21.510000,21.680000,21.040001,21.299999,14.579345,13150300
2008-04-01,21.530001,22.180000,21.430000,22.180000,15.181682,16415700
2008-04-02,21.990000,22.000000,21.629999,21.660000,15.035905,14974200
2008-04-03,21.570000,21.959999,21.570000,21.889999,15.195569,10267300
2008-04-04,21.900000,22.360001,21.870001,22.190001,15.403821,7980200
2008-04-07,22.389999,22.389999,21.969999,22.000000,15.271928,13952700
2008-04-08,22.110001,22.230000,21.770000,21.840000,15.160858,14508700
2008-04-09,21.900000,21.900000,21.400000,21.510000,14.931778,9699100
2008-04-10,21.559999,22.320000,21.559999,22.090000,15.334402,16040800
2008-04-11,21.860001,22.030001,21.650000,21.700001,15.063673,8096400
2008-04-14,21.700001,21.879999,21.440001,21.549999,14.959543,10005200
2008-04-15,21.730000,21.730000,21.260000,21.450001,14.890130,9427900
2008-04-16,21.600000,22.020000,21.540001,21.980000,15.258041,14612200
2008-04-17,21.870001,22.020000,21.280001,21.590000,14.987310,9746500
2008-04-18,21.809999,22.129999,21.709999,22.100000,15.341346,9985000
2008-04-21,22.049999,22.219999,21.650000,21.840000,15.160858,9990900
2008-04-22,21.790001,21.790001,21.230000,21.320000,14.799888,10586100
2008-04-23,21.490000,21.549999,21.150000,21.430000,14.876249,17267300
2008-04-24,21.580000,22.440001,21.580000,22.209999,15.417705,15144800
2008-04-25,22.389999,22.549999,21.879999,22.150000,15.376053,11458300
2008-04-28,22.150000,22.389999,22.010000,22.160000,15.382994,13460100
2008-04-29,22.180000,22.290001,21.799999,21.920000,15.216391,8018000
2008-04-30,21.920000,22.450001,21.820000,21.969999,15.251104,14592000
2008-05-01,21.980000,23.200001,21.969999,22.940001,15.924457,16879900
2008-05-02,23.139999,23.379999,23.000000,23.350000,16.209066,10087900
2008-05-05,23.480000,23.480000,23.049999,23.250000,16.139648,8687700
2008-05-06,23.600000,23.600000,22.900000,23.180000,16.091059,13127000
2008-05-07,23.230000,23.250000,22.700001,22.760000,15.799502,13579900
2008-05-08,22.799999,22.920000,22.690001,22.790001,15.820324,9266400
2008-05-09,22.150000,22.170000,21.629999,21.709999,15.070612,28888100
2008-05-12,21.900000,22.000000,21.549999,21.629999,15.015082,20599200
2008-05-13,21.700001,21.820000,21.450001,21.600000,14.994260,19699200
2008-05-14,21.660000,21.750000,21.540001,21.600000,14.994260,15651200
2008-05-15,21.820000,22.010000,21.600000,21.969999,15.251104,17381100
2008-05-16,22.030001,22.059999,21.730000,21.940001,15.230278,14130600
2008-05-19,21.990000,22.370001,21.940001,22.080000,15.327458,12100900
2008-05-20,22.020000,22.389999,22.000000,22.080000,15.327458,12097900
2008-05-21,22.080000,22.400000,21.790001,21.809999,15.140030,11129800
2008-05-22,21.959999,22.080000,21.670000,21.950001,15.237223,8072400
2008-05-23,21.969999,21.969999,21.650000,21.690001,15.056730,7747100
2008-05-27,21.700001,22.040001,21.700001,22.010000,15.278872,8515200
2008-05-28,22.020000,22.190001,21.780001,22.090000,15.334402,10999900
2008-05-29,22.000000,22.500000,21.980000,22.480000,15.605136,8184800
2008-05-30,22.500000,23.000000,22.500000,22.790001,15.820324,14451300
2008-06-02,22.750000,22.750000,21.950001,21.980000,15.258041,13454800
2008-06-03,22.010000,22.230000,21.780001,21.860001,15.174743,11143400
2008-06-04,21.610001,21.850000,21.330000,21.559999,14.966491,13610600
2008-06-05,21.590000,21.750000,21.350000,21.670000,15.042848,11110000
2008-06-06,21.530001,21.530001,20.860001,20.879999,14.494446,12444000
2008-06-09,21.160000,21.190001,20.469999,20.629999,14.320899,12510800
2008-06-10,20.450001,20.490000,19.969999,20.110001,13.959927,16515600
2008-06-11,20.120001,20.240000,19.799999,19.930000,13.834979,13400700
2008-06-12,20.059999,20.230000,19.559999,19.670000,13.654494,13184200
