Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,64.769997,65.250000,63.540001,63.889999,46.778702,1277600
2008-01-03,64.220001,64.629997,63.400002,63.439999,46.449226,983900
2008-01-04,63.310001,64.160004,63.200001,63.439999,46.449226,1569700
2008-01-07,63.700001,64.139999,63.250000,63.759998,46.683521,1381600
2008-01-08,64.120003,64.300003,63.029999,63.110001,46.207607,2430300
2008-01-09,63.060001,63.320000,62.200001,62.700001,45.907417,2274500
2008-01-10,62.590000,63.980000,62.330002,62.860001,46.024563,1888500
2008-01-11,62.330002,62.580002,61.400002,61.570000,45.080048,1882400
2008-01-14,61.570000,62.490002,61.520000,61.930000,45.343655,1295900
2008-01-15,61.299999,62.080002,60.740002,61.480000,45.014168,1522700
2008-01-16,61.330002,63.740002,61.330002,62.459999,45.731686,2454100
2008-01-17,62.520000,62.990002,61.540001,61.799999,45.248455,1670200
2008-01-18,62.130001,62.209999,60.130001,60.750000,44.479671,2053200
2008-01-22,59.400002,60.520000,58.500000,59.639999,43.666950,2454600
2008-01-23,58.599998,61.380001,58.599998,61.209999,44.816471,2426500
2008-01-24,61.360001,61.360001,59.310001,60.040001,44.248981,1946300
2008-01-25,60.490002,60.490002,59.220001,59.590000,43.917351,1259600
2008-01-28,60.090000,60.599998,59.820000,60.410000,44.521675,1016900
2008-01-29,60.500000,60.910000,59.880001,60.619999,44.676441,1126800
2008-01-30,60.480000,60.799999,59.650002,59.959999,44.190029,988500
2008-01-31,59.230000,61.799999,59.230000,61.340000,45.207081,1882900
2008-02-01,60.970001,63.990002,60.970001,63.090000,46.496822,2468000
2008-02-04,62.709999,62.830002,60.650002,60.730000,44.757515,2619000
2008-02-05,60.480000,60.700001,59.160000,59.430000,43.799423,1768900
2008-02-06,58.250000,58.500000,57.439999,57.910000,42.679195,3363400
2008-02-07,57.709999,58.110001,57.029999,57.590000,42.443367,2919500
2008-02-08,57.009998,57.580002,56.830002,57.060001,42.052761,1250100
2008-02-11,57.160000,57.540001,56.660000,57.070000,42.060127,1407000
2008-02-12,57.070000,57.369999,56.419998,56.810001,41.868504,1867900
2008-02-13,57.130001,58.230000,56.860001,58.099998,42.819229,1630400
2008-02-14,58.099998,58.500000,57.060001,57.189999,42.148560,2138600
2008-02-15,57.139999,57.230000,56.430000,56.889999,41.927467,1152400
2008-02-19,57.430000,57.430000,56.580002,56.669998,41.765327,1349400
2008-02-20,56.349998,56.529999,55.619999,56.070000,41.323147,1904100
2008-02-21,56.150002,56.580002,56.029999,56.250000,41.455791,2456900
2008-02-22,56.590000,57.889999,56.220001,57.840000,42.627605,2246000
2008-02-25,57.759998,58.020000,57.470001,57.830002,42.620235,2122300
2008-02-26,57.369999,60.000000,57.369999,59.740002,44.027897,3153400
2008-02-27,59.580002,60.119999,59.500000,59.590000,43.917351,1903000
2008-02-28,59.500000,59.639999,58.619999,58.669998,43.239311,989000
2008-02-29,58.410000,58.919998,58.029999,58.189999,42.885544,1369300
2008-03-03,58.240002,58.240002,57.820000,58.220001,42.907658,950600
2008-03-04,57.720001,58.099998,57.360001,57.700001,42.524426,1215200
2008-03-05,57.560001,58.439999,57.560001,57.939999,42.701309,1207400
2008-03-06,57.779999,57.869999,57.080002,57.099998,42.082241,1009900
2008-03-07,56.639999,57.150002,56.380001,56.830002,41.883244,1317500
2008-03-10,56.990002,57.310001,56.560001,56.570000,41.691628,902900
2008-03-11,57.099998,57.410000,56.250000,56.919998,41.949574,1095800
2008-03-12,57.090000,57.090000,56.480000,56.500000,41.640038,1268000
2008-03-13,56.200001,57.000000,56.200001,56.869999,41.912735,1030100
2008-03-14,56.869999,57.099998,55.830002,56.090000,41.337879,1149200
2008-03-17,55.369999,56.299999,55.369999,55.610001,40.984112,1609200
2008-03-18,55.880001,56.560001,55.770000,56.500000,41.640038,1323500
2008-03-19,57.000000,57.200001,56.070000,56.070000,41.323147,1376400
2008-03-20,56.340000,56.990002,56.160000,56.740002,41.816917,1981900
2008-03-24,56.849998,57.000000,56.259998,56.709999,41.794811,1699200
2008-03-25,56.650002,57.860001,56.509998,57.430000,42.325443,2794300
2008-03-26,57.310001,57.340000,56.700001,57.099998,42.082241,1368500
2008-03-27,57.340000,57.369999,56.500000,56.619999,41.728474,636300
2008-03-28,56.939999,57.000000,56.200001,56.220001,41.433685,848800
2008-03-31,56.250000,56.849998,55.950001,56.639999,41.743217,1497400
2008-04-01,56.840000,57.560001,56.750000,57.500000,42.377045,2199300
2008-04-02,57.250000,57.599998,56.959999,56.959999,41.979057,1475500
2008-04-03,56.730000,57.349998,56.639999,57.299999,42.229633,1336100
2008-04-04,57.200001,57.299999,56.700001,56.900002,41.934837,1286000
2008-04-07,57.090000,57.150002,56.310001,56.570000,41.691628,693500
2008-04-08,56.310001,56.849998,56.020000,56.720001,41.802170,927200
2008-04-09,56.849998,56.990002,55.599998,55.750000,41.087292,1431000
2008-04-10,55.779999,55.970001,55.439999,55.669998,41.028328,761300
2008-04-11,55.410000,55.689999,54.840000,55.040001,40.564037,1054500
2008-04-14,54.849998,55.520000,54.849998,55.189999,40.674568,931300
2008-04-15,55.509998,55.509998,54.900002,55.150002,40.645103,582400
2008-04-16,55.400002,55.599998,55.080002,55.250000,40.718800,1465400
2008-04-17,55.029999,55.509998,54.750000,54.849998,40.424000,916800
2008-04-18,55.509998,55.520000,54.810001,55.169998,40.659832,983000
2008-04-21,55.099998,56.060001,55.020000,56.060001,41.315769,1149900
2008-04-22,55.930000,56.080002,55.290001,55.540001,40.932514,947900
2008-04-23,55.439999,55.439999,54.820000,55.270000,41.029034,965000
2008-04-24,55.230000,55.279999,54.299999,54.959999,40.798916,1196200
2008-04-25,55.200001,55.200001,54.290001,54.939999,40.784065,1045200
2008-04-28,54.820000,55.529999,54.810001,54.860001,40.724674,1141300
2008-04-29,54.970001,55.360001,54.439999,54.439999,40.412895,1372700
2008-04-30,54.439999,54.459999,52.849998,53.000000,39.343922,2887300
2008-05-01,54.430000,58.830002,54.029999,58.240002,43.233768,5443000
2008-05-02,58.549999,58.549999,56.439999,56.939999,42.268745,3337700
2008-05-05,56.360001,56.889999,56.360001,56.639999,42.046032,2565800
2008-05-06,56.590000,56.730000,55.450001,56.639999,42.046032,1959500
2008-05-07,56.599998,57.520000,56.189999,56.209999,41.726826,1610900
