Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,9.150000,9.210000,8.850000,8.850000,7.166925,51415000
2008-01-03,8.855000,8.905000,8.565000,8.670000,7.021156,48363800
2008-01-04,8.795000,8.840000,8.400000,8.420000,6.818700,46003400
2008-01-07,8.545000,8.655000,8.415000,8.500000,6.883485,40541400
2008-01-08,8.520000,8.660000,8.305000,8.310000,6.729621,49078800
2008-01-09,8.395000,8.530000,8.250000,8.530000,6.907780,54377600
2008-01-10,8.505000,8.675000,8.320000,8.610000,6.972567,47580600
2008-01-11,8.490000,8.640000,8.440000,8.560000,6.932076,45222200
2008-01-14,8.615000,8.910000,8.570000,8.835000,7.154777,48508200
2008-01-15,8.725000,8.940000,8.720000,8.835000,7.154777,64232200
2008-01-16,8.990000,9.320000,8.835000,9.090000,7.361280,70256800
2008-01-17,9.025000,9.120000,8.700000,8.705000,7.049498,59395600
2008-01-18,8.670000,8.890000,8.430000,8.515000,6.895633,83826800
2008-01-22,8.170000,8.515000,8.165000,8.325000,6.741766,70462200
2008-01-23,8.105000,8.675000,8.055000,8.630000,6.988763,72496200
2008-01-24,8.585000,8.790000,8.520000,8.720000,7.061648,62865600
2008-01-25,8.710000,8.785000,8.585000,8.610000,6.972567,42968000
2008-01-28,8.625000,8.855000,8.540000,8.845000,7.162873,38214400
2008-01-29,8.890000,9.020000,8.780000,8.980000,7.272201,33453400
2008-01-30,8.955000,9.025000,8.780000,8.825000,7.146678,43875600
2008-01-31,8.700000,9.100000,8.690000,9.080000,7.353183,48568800
2008-02-01,9.140000,9.290000,9.025000,9.275000,7.511096,36768000
2008-02-04,9.325000,9.325000,9.070000,9.080000,7.353183,25660000
2008-02-05,8.760000,8.960000,8.710000,8.720000,7.061648,48069400
2008-02-06,8.885000,9.060000,8.625000,8.760000,7.094040,43074000
2008-02-07,8.795000,8.805000,8.565000,8.690000,7.037351,43651200
2008-02-08,8.700000,8.720000,8.405000,8.530000,6.907780,53423000
2008-02-11,8.460000,8.610000,8.365000,8.515000,6.895633,28272800
2008-02-12,8.495000,8.735000,8.495000,8.615000,6.976614,34995600
2008-02-13,8.770000,8.945000,8.650000,8.905000,7.211464,69289800
2008-02-14,9.540000,9.655000,9.255000,9.620000,7.790490,123496000
2008-02-15,9.600000,10.110000,9.500000,10.095000,8.175149,79976200
2008-02-19,10.175000,10.350000,10.145000,10.235000,8.288527,56267600
2008-02-20,10.060000,10.185000,9.975000,10.075000,8.158957,59320000
2008-02-21,10.025000,10.125000,9.775000,9.795000,7.932204,41791200
2008-02-22,9.935000,10.075000,9.735000,10.075000,8.158957,34889000
2008-02-25,10.070000,10.165000,9.910000,10.155000,8.223743,38072000
2008-02-26,10.085000,10.195000,10.025000,10.085000,8.167055,38168400
2008-02-27,10.085000,10.165000,10.030000,10.130000,8.203492,41747400
2008-02-28,10.070000,10.165000,10.040000,10.060000,8.146808,34386000
2008-02-29,9.960000,10.040000,9.705000,9.770000,7.911962,58974200
