Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,13.700000,13.890000,13.585000,13.790000,13.790000,804800
2008-01-03,13.810000,13.840000,13.590000,13.690000,13.690000,713800
2008-01-04,13.550000,13.870000,13.405000,13.725000,13.725000,710400
2008-01-07,13.765000,14.100000,13.725000,13.970000,13.970000,1036400
2008-01-08,14.010000,14.245000,13.915000,14.200000,14.200000,2085600
2008-01-09,13.710000,13.940000,13.000000,13.665000,13.665000,2938200
2008-01-10,13.330000,13.940000,12.890000,13.680000,13.680000,1855600
2008-01-11,13.545000,13.635000,13.330000,13.385000,13.385000,995600
2008-01-14,13.455000,13.660000,13.350000,13.550000,13.550000,642400
2008-01-15,13.400000,13.750000,13.325000,13.365000,13.365000,899200
2008-01-16,13.235000,13.975000,13.235000,13.855000,13.855000,1292200
2008-01-17,13.930000,13.930000,13.315000,13.520000,13.520000,881400
2008-01-18,13.575000,13.575000,12.905000,13.185000,13.185000,1362600
2008-01-22,12.770000,13.495000,12.165000,12.995000,12.995000,977600
2008-01-23,12.725000,12.750000,12.325000,12.740000,12.740000,1768800
2008-01-24,12.770000,12.955000,12.445000,12.640000,12.640000,963400
2008-01-25,12.770000,12.775000,11.985000,12.025000,12.025000,1408800
2008-01-28,12.025000,12.595000,11.655000,12.435000,12.435000,1604200
2008-01-29,12.520000,12.615000,12.140000,12.140000,12.140000,826200
2008-01-30,12.075000,12.500000,12.040000,12.055000,12.055000,810000
2008-01-31,12.000000,12.315000,11.865000,11.970000,11.970000,1616600
2008-02-01,12.020000,12.345000,11.945000,12.325000,12.325000,796600
2008-02-04,12.235000,12.750000,12.100000,12.385000,12.385000,1413600
2008-02-05,11.710000,12.335000,11.670000,12.075000,12.075000,1453600
2008-02-06,12.130000,12.390000,12.105000,12.255000,12.255000,983200
2008-02-07,12.235000,12.500000,12.185000,12.335000,12.335000,1846400
2008-02-08,10.950000,10.990000,9.810000,10.710000,10.710000,12306200
2008-02-11,10.300000,10.300000,9.375000,9.585000,9.585000,6332600
2008-02-12,9.650000,9.950000,9.285000,9.680000,9.680000,2558600
2008-02-13,9.730000,9.730000,9.310000,9.525000,9.525000,2410600
2008-02-14,9.525000,9.690000,9.425000,9.425000,9.425000,1419800
2008-02-15,9.395000,9.745000,9.345000,9.745000,9.745000,2345200
2008-02-19,9.855000,9.900000,9.355000,9.360000,9.360000,1689400
2008-02-20,9.285000,9.650000,9.075000,9.625000,9.625000,2081000
2008-02-21,9.655000,9.690000,9.370000,9.410000,9.410000,1521800
2008-02-22,9.430000,9.480000,9.170000,9.350000,9.350000,1065200
2008-02-25,9.335000,9.525000,9.335000,9.445000,9.445000,1694800
2008-02-26,9.420000,9.790000,9.420000,9.690000,9.690000,1437400
2008-02-27,9.610000,9.915000,9.610000,9.720000,9.720000,1272200
2008-02-28,9.590000,9.735000,9.370000,9.390000,9.390000,988400
2008-02-29,9.265000,9.405000,8.885000,8.960000,8.960000,1475400
2008-03-03,8.895000,9.225000,8.895000,9.160000,9.160000,1197400
2008-03-04,9.090000,9.285000,8.960000,9.215000,9.215000,2514200
2008-03-05,9.170000,9.290000,8.815000,8.855000,8.855000,1286000
2008-03-06,8.825000,8.945000,8.700000,8.780000,8.780000,1511000
2008-03-07,8.700000,9.115000,8.700000,9.000000,9.000000,1453200
2008-03-10,9.015000,9.035000,8.580000,8.620000,8.620000,1270400
2008-03-11,8.325000,8.665000,7.600000,7.710000,7.710000,2950800
2008-03-12,7.600000,8.620000,7.555000,8.405000,8.405000,2765000
2008-03-13,8.325000,8.975000,8.290000,8.890000,8.890000,2621000
2008-03-14,8.985000,8.985000,8.545000,8.650000,8.650000,1783400
2008-03-17,8.415000,8.950000,8.405000,8.755000,8.755000,1329200
2008-03-18,8.940000,9.030000,8.535000,8.915000,8.915000,1238800
2008-03-19,8.625000,8.745000,6.840000,6.930000,6.930000,7114000
2008-03-20,6.980000,7.560000,6.790000,7.450000,7.450000,4700000
2008-03-24,7.470000,7.470000,7.170000,7.355000,7.355000,1703200
2008-03-25,7.440000,7.490000,7.325000,7.415000,7.415000,1066800
2008-03-26,7.370000,7.500000,7.235000,7.285000,7.285000,1128400
2008-03-27,7.350000,7.475000,7.290000,7.290000,7.290000,934000
2008-03-28,7.315000,7.330000,7.025000,7.065000,7.065000,1227200
2008-03-31,7.095000,7.225000,6.960000,6.970000,6.970000,1398200
2008-04-01,7.150000,7.310000,7.110000,7.255000,7.255000,1329800
2008-04-02,7.265000,7.265000,6.960000,7.020000,7.020000,1356400
2008-04-03,6.970000,7.230000,6.910000,7.105000,7.105000,844800
2008-04-04,7.105000,7.275000,7.000000,7.130000,7.130000,660400
2008-04-07,7.165000,7.175000,6.955000,7.050000,7.050000,618000
2008-04-08,7.015000,7.265000,7.000000,7.165000,7.165000,892000
2008-04-09,7.150000,7.185000,6.910000,6.965000,6.965000,599800
2008-04-10,6.965000,7.105000,6.740000,6.850000,6.850000,810800
2008-04-11,6.915000,6.915000,6.765000,6.795000,6.795000,722800
2008-04-14,6.775000,6.775000,6.550000,6.650000,6.650000,709400
2008-04-15,6.690000,6.910000,6.690000,6.845000,6.845000,1148600
2008-04-16,6.900000,6.915000,6.700000,6.760000,6.760000,1518400
2008-04-17,6.715000,6.765000,6.630000,6.720000,6.720000,975600
2008-04-18,6.855000,7.000000,6.750000,6.845000,6.845000,984800
2008-04-21,6.765000,7.120000,6.765000,6.975000,6.975000,1305600
2008-04-22,7.140000,8.345000,7.140000,7.610000,7.610000,3644400
2008-04-23,7.625000,8.025000,7.520000,7.945000,7.945000,1377200
