Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,69.629997,69.660004,68.110001,68.139999,52.682404,3736000
2008-01-03,68.519997,68.879997,66.910004,67.120003,51.893799,3501000
2008-01-04,66.900002,66.900002,65.379997,65.650002,50.757267,4936000
2008-01-07,65.650002,66.639999,64.800003,65.980003,51.012402,3973500
2008-01-08,66.010002,66.870003,64.910004,64.970001,50.231522,5856600
2008-01-09,65.269997,67.349998,64.900002,67.269997,52.009781,8802400
2008-01-10,66.529999,70.449997,66.269997,69.860001,54.012226,10950500
2008-01-11,69.379997,69.489998,66.000000,66.430000,51.360325,8229300
2008-01-14,66.980003,66.980003,63.619999,64.709999,50.030506,10121500
2008-01-15,64.059998,64.610001,63.709999,63.980000,49.466099,6862100
2008-01-16,64.000000,65.099998,63.730000,64.099998,49.558880,9600600
2008-01-17,64.089996,65.559998,64.080002,64.300003,49.713501,7161200
2008-01-18,63.720001,65.830002,63.650002,64.529999,49.891327,7358100
2008-01-22,62.730000,66.800003,62.380001,66.139999,51.136097,9818400
2008-01-23,65.309998,69.000000,64.720001,68.610001,53.045784,10043800
2008-01-24,68.379997,68.400002,66.099998,67.150002,51.916996,6217400
2008-01-25,67.290001,67.980003,65.400002,65.459999,50.610363,5562900
2008-01-28,65.379997,66.370003,65.000000,66.360001,51.306183,5407900
2008-01-29,66.500000,66.800003,65.309998,66.680000,51.553600,5705200
2008-01-30,66.540001,67.599998,65.660004,66.230003,51.205704,5766000
2008-01-31,65.629997,69.580002,65.320000,67.940002,52.527786,7975200
2008-02-01,68.110001,68.419998,66.970001,67.790001,52.411804,6057300
2008-02-04,67.989998,68.230003,66.519997,66.980003,51.785542,4288100
2008-02-05,65.919998,66.870003,64.430000,64.870003,50.154209,6934300
2008-02-06,65.260002,65.589996,63.689999,63.709999,49.257351,7394000
2008-02-07,64.320000,65.389999,63.310001,64.750000,50.061424,8453100
2008-02-08,64.610001,65.599998,62.950001,63.240002,48.893974,7423400
2008-02-11,63.270000,64.250000,62.980000,64.000000,49.481575,4825100
2008-02-12,64.430000,65.540001,64.010002,64.410004,49.798565,4451900
2008-02-13,65.190002,65.849998,64.650002,65.680000,50.895035,4922500
