Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,41.570000,41.570000,40.380001,40.770000,19.052919,982900
2008-01-03,40.810001,41.160000,40.630001,40.919998,19.123018,1091400
2008-01-04,40.610001,40.980000,40.070000,40.189999,18.781866,1292100
2008-01-07,40.529999,41.880001,40.529999,41.580002,19.431450,1419000
2008-01-08,41.790001,42.000000,39.320000,39.320000,18.375294,1841300
2008-01-09,39.220001,39.220001,35.630001,36.410000,17.015375,4721000
2008-01-10,36.070000,37.020000,35.810001,36.599998,17.104170,2606700
2008-01-11,36.320000,36.419998,35.669998,35.959999,16.805079,1052800
2008-01-14,36.060001,36.139999,35.630001,36.049999,16.847134,1215100
2008-01-15,35.580002,35.720001,35.200001,35.200001,16.449903,1150400
2008-01-16,35.040001,36.310001,34.970001,34.990002,16.351767,1851800
2008-01-17,35.029999,35.660000,34.750000,34.860001,16.291018,1530600
2008-01-18,35.029999,35.560001,33.369999,34.349998,16.052679,2034800
2008-01-22,33.099998,34.340000,32.980000,33.930000,15.856400,2038800
2008-01-23,32.900002,33.529999,32.000000,33.480000,15.646106,2621500
2008-01-24,33.619999,33.830002,33.080002,33.430000,15.622744,1132800
2008-01-25,33.959999,35.020000,33.959999,34.490002,16.118105,1322100
2008-01-28,34.470001,34.820000,33.669998,34.720001,16.225588,1519500
2008-01-29,34.930000,35.380001,34.700001,35.230000,16.463928,1135000
2008-01-30,35.160000,36.410000,34.860001,35.759998,16.711615,1699700
2008-01-31,35.430000,37.200001,35.330002,36.820000,17.206982,1693900
2008-02-01,36.840000,37.110001,36.509998,37.040001,17.309793,1243300
2008-02-04,37.000000,37.000000,36.389999,36.880001,17.235020,796400
2008-02-05,36.290001,36.380001,35.619999,35.889999,16.772356,1162100
2008-02-06,36.060001,36.730000,35.849998,35.939999,16.795725,1397300
2008-02-07,35.880001,35.880001,34.970001,35.540001,16.608801,1179800
2008-02-08,35.279999,35.939999,35.160000,35.799999,16.730301,869000
2008-02-11,35.910000,36.029999,35.330002,35.730000,16.697590,609200
2008-02-12,35.880001,36.619999,35.520000,36.310001,16.968645,1471700
2008-02-13,36.509998,36.959999,36.410000,36.959999,17.272406,1098800
2008-02-14,37.779999,39.340000,36.779999,38.570000,18.024799,3045100
2008-02-15,39.500000,40.099998,38.900002,39.570000,18.492126,1925300
2008-02-19,40.049999,40.049999,37.419998,37.490002,17.520086,2074700
2008-02-20,37.240002,37.660000,36.509998,37.340000,17.449987,1632200
2008-02-21,37.389999,37.820000,36.410000,36.509998,17.062105,1281500
2008-02-22,36.750000,36.939999,35.930000,36.689999,17.146225,1051700
2008-02-25,36.680000,37.430000,36.419998,37.320000,17.440639,1269600
