Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,94.010002,94.010002,89.519997,90.199997,71.533226,5109500
2008-01-03,90.669998,94.389999,90.639999,93.900002,74.467552,4780100
2008-01-04,92.900002,92.900002,89.980003,89.980003,71.358765,4068700
2008-01-07,90.709999,92.320000,87.339996,88.400002,70.105751,5491400
2008-01-08,88.680000,91.209999,87.769997,88.059998,69.836128,4933900
2008-01-09,88.070000,88.669998,83.610001,87.650002,69.510971,8440300
2008-01-10,87.169998,91.230003,86.250000,90.239998,71.564949,4912100
2008-01-11,89.589996,92.639999,89.000000,89.260002,70.787788,4912200
2008-01-14,90.160004,94.769997,90.160004,94.690002,75.094040,6023300
2008-01-15,93.430000,94.269997,90.940002,92.360001,73.246246,6693900
2008-01-16,91.760002,92.750000,86.349998,87.860001,69.677513,7837400
2008-01-17,87.940002,88.269997,78.370003,79.089996,62.722431,13420700
2008-01-18,79.800003,81.720001,75.220001,76.400002,60.589149,10869500
2008-01-22,71.580002,84.389999,71.199997,83.150002,65.942245,13697400
2008-01-23,79.099998,83.000000,74.000000,82.940002,65.775711,9462500
2008-01-24,84.260002,86.940002,81.000000,82.589996,65.498108,8533900
2008-01-25,83.559998,86.000000,81.879997,82.879997,65.728081,5422300
2008-01-28,81.320000,85.510002,81.320000,85.430000,67.750381,3912000
2008-01-29,86.559998,87.959999,85.779999,86.739998,68.789284,3995800
2008-01-30,86.529999,89.500000,84.260002,86.470001,68.575150,4763500
2008-01-31,85.279999,88.290001,83.510002,87.559998,69.439590,5929000
2008-02-01,87.750000,90.489998,87.510002,88.910004,70.510231,5293000
2008-02-04,90.279999,90.279999,87.510002,88.199997,69.947136,3404200
2008-02-05,86.650002,87.500000,83.410004,83.480003,66.203964,4421200
2008-02-06,84.180000,86.239998,82.889999,83.300003,66.061172,3893000
2008-02-07,81.699997,82.820000,80.150002,81.980003,65.014359,6815100
2008-02-08,81.699997,83.029999,81.000000,82.459999,65.395012,3966800
2008-02-11,82.599998,84.690002,81.800003,84.339996,66.885963,3616800
2008-02-12,85.099998,87.470001,85.080002,86.480003,68.583107,5747800
2008-02-13,86.699997,87.309998,83.940002,85.540001,67.837631,8321400
2008-02-14,86.639999,87.790001,85.260002,86.339996,68.472061,5324100
2008-02-15,86.010002,86.500000,83.739998,85.000000,67.409386,5518000
2008-02-19,85.900002,86.339996,82.360001,83.489998,66.211861,6154400
