Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,14.078282,14.103536,13.535354,13.674242,13.674242,27943600
2008-01-03,13.733165,14.019361,13.678452,13.821548,13.821548,20519100
2008-01-04,13.733165,14.111953,13.106061,13.173401,13.173401,29543800
2008-01-07,13.223906,13.265993,12.693603,12.811448,12.811448,44513100
2008-01-08,12.840909,13.093434,12.626263,12.630471,12.630471,33702100
2008-01-09,12.672559,12.744108,12.209596,12.571548,12.571548,42864200
2008-01-10,12.428452,12.967172,12.314815,12.777778,12.777778,45606800
2008-01-11,12.630471,12.794613,12.323233,12.491583,12.491583,29344000
2008-01-14,12.638889,12.702021,12.205387,12.302189,12.302189,41139700
2008-01-15,12.201179,12.201179,11.721380,11.763468,11.763468,52006800
2008-01-16,11.658249,12.163300,11.645623,11.822391,11.822391,52113200
2008-01-17,12.108586,12.188552,11.792930,11.835017,11.835017,51693600
2008-01-18,11.835017,12.058081,11.548821,11.923401,11.923401,59257200
2008-01-22,10.980639,11.822391,10.951179,11.460438,11.460438,50254700
2008-01-23,11.031145,12.579967,10.993266,12.180135,12.180135,84443200
2008-01-24,11.182660,11.553030,10.837543,11.439394,11.439394,126752700
2008-01-25,11.515152,11.616161,11.064815,11.292088,11.292088,66868400
2008-01-28,11.119529,11.456229,11.022727,11.308923,11.308923,39749500
2008-01-29,11.237373,11.292088,10.917508,10.993266,10.993266,57136800
2008-01-30,10.803872,11.359427,10.791245,11.069023,11.069023,57206200
2008-01-31,10.942760,11.473064,10.900674,11.317340,11.317340,53046100
2008-02-01,11.637205,12.205387,11.380471,12.125421,12.125421,61392700
2008-02-04,12.066499,12.281145,12.032828,12.125421,12.125421,45935600
2008-02-05,11.914983,11.986532,11.654040,11.691919,11.691919,42487800
2008-02-06,11.801347,12.015993,11.645623,11.696128,11.696128,39923200
2008-02-07,11.523569,11.986532,11.523569,11.717172,11.717172,40339400
2008-02-08,11.632997,11.847643,11.582492,11.813973,11.813973,31515200
2008-02-11,11.742424,11.961280,11.616161,11.856061,11.856061,27498100
2008-02-12,11.948653,11.948653,11.569865,11.662457,11.662457,35751900
2008-02-13,11.780303,11.784512,11.447811,11.721380,11.721380,35614100
2008-02-14,11.780303,11.965488,11.675084,11.746633,11.746633,27647800
2008-02-15,11.641414,11.851851,11.574074,11.696128,11.696128,28659500
2008-02-19,11.843434,11.847643,11.574074,11.641414,11.641414,24804000
2008-02-20,11.531986,11.553030,11.207912,11.464646,11.464646,39850900
2008-02-21,11.515152,11.565657,11.321548,11.372054,11.372054,28936800
2008-02-22,11.401515,11.679293,11.355219,11.662457,11.662457,34040000
2008-02-25,11.658249,11.839226,11.586700,11.788720,11.788720,35086100
2008-02-26,11.687711,11.826599,11.384680,11.578282,11.578282,40247300
2008-02-27,11.519361,11.679293,11.388889,11.616161,11.616161,23689400
2008-02-28,11.502525,11.628788,11.393098,11.477273,11.477273,22812200
2008-02-29,11.367846,11.397306,11.014310,11.094276,11.094276,41515800
2008-03-03,11.039562,11.069023,10.820707,10.879630,10.879630,32858400
2008-03-04,10.753367,11.115320,10.660774,11.047979,11.047979,42871100
2008-03-05,11.014310,11.418350,10.968014,11.254209,11.254209,29894800
2008-03-06,11.144781,11.317340,10.989058,10.997475,10.997475,29162700
2008-03-07,10.904882,11.140573,10.740741,10.850168,10.850168,34254700
2008-03-10,10.867003,11.014310,10.761785,10.824916,10.824916,32671100
2008-03-11,11.047979,11.148990,10.837543,11.115320,11.115320,33297200
2008-03-12,11.115320,11.447811,11.102694,11.191077,11.191077,27307600
2008-03-13,11.136364,11.376263,10.951179,11.237373,11.237373,29316200
2008-03-14,11.271044,11.359427,10.867003,11.047979,11.047979,38601200
2008-03-17,10.778620,10.993266,10.563973,10.845960,10.845960,39986400
2008-03-18,11.064815,11.611953,10.900674,11.595118,11.595118,55134800
2008-03-19,11.557240,12.159091,11.553030,11.561448,11.561448,48391200
2008-03-20,11.595118,12.083333,11.351010,12.037037,12.037037,48809400
2008-03-24,11.948653,12.760942,11.910774,12.546296,12.546296,37294400
2008-03-25,12.529461,12.613636,12.209596,12.373737,12.373737,27993300
2008-03-26,12.398990,12.436869,12.201179,12.403198,12.403198,27468200
2008-03-27,12.516835,13.202862,12.441077,12.937711,12.937711,48963800
2008-03-28,13.026094,13.156566,12.647306,12.718855,12.718855,33789300
2008-03-31,12.571548,12.672559,12.394781,12.558923,12.558923,32526900
2008-04-01,12.828282,13.236532,12.815657,13.219697,13.219697,37168000
2008-04-02,13.308081,13.552189,13.131313,13.367003,13.367003,36186900
2008-04-03,13.585858,13.602694,13.278620,13.350168,13.350168,41920000
2008-04-04,13.446970,14.086700,13.371212,13.863636,13.863636,49773300
2008-04-07,13.926767,14.057240,13.619529,13.648990,13.648990,25637200
2008-04-08,13.573233,13.594276,13.194445,13.409091,13.409091,31280900
2008-04-09,13.455387,13.468014,13.169192,13.291245,13.291245,21846600
2008-04-10,13.244949,13.522727,13.244949,13.451179,13.451179,22810000
2008-04-11,13.249158,13.312289,12.916667,12.992424,12.992424,24632900
2008-04-14,13.068182,13.362795,13.000842,13.202862,13.202862,23748300
2008-04-15,13.383839,13.451179,13.164983,13.291245,13.291245,26190800
2008-04-16,13.505892,13.750000,13.291245,13.518518,13.518518,58167000
2008-04-17,13.152357,13.215488,12.731482,13.051347,13.051347,60907800
2008-04-18,13.451179,13.505892,13.244949,13.345960,13.345960,43665100
2008-04-21,13.106061,13.253367,12.777778,12.891414,12.891414,36711500
2008-04-22,12.798821,13.085017,12.773569,13.000842,13.000842,29381300
2008-04-23,13.000842,13.005051,12.718855,12.908249,12.908249,27238400
2008-04-24,12.929293,13.350168,12.811448,13.135522,13.135522,34108100
2008-04-25,13.131313,13.240741,12.878788,13.173401,13.173401,26953300
2008-04-28,13.160774,13.383839,13.034512,13.169192,13.169192,21355200
2008-04-29,13.118687,13.186027,13.047138,13.080808,13.080808,16414100
2008-04-30,13.169192,13.468014,13.080808,13.169192,13.169192,48996400
2008-05-01,12.975589,13.392256,12.971380,13.375421,13.375421,27219200
2008-05-02,13.404882,13.409091,12.899832,13.093434,13.093434,38726400
2008-05-05,13.009259,13.194445,12.950336,12.988215,12.988215,22048000
2008-05-06,12.904040,13.030303,12.781986,12.958755,12.958755,25078600
2008-05-07,12.832492,12.996633,12.487373,12.542088,12.542088,29338300
2008-05-08,12.601010,12.836700,12.495791,12.710438,12.710438,23678900
2008-05-09,12.617846,12.706229,12.327441,12.626263,12.626263,19240800
2008-05-12,12.731482,13.131313,12.706229,13.097643,13.097643,32499400
2008-05-13,13.042930,13.265993,12.925084,13.219697,13.219697,31457200
2008-05-14,13.173401,13.430135,13.085017,13.139730,13.139730,27652600
2008-05-15,13.110270,13.442760,12.988215,13.438552,13.438552,27082300
2008-05-16,13.505892,13.510101,12.912457,13.118687,13.118687,45081700
2008-05-19,13.131313,13.202862,12.899832,12.996633,12.996633,21351200
2008-05-20,12.941919,13.042930,12.748317,12.882997,12.882997,23808200
2008-05-21,12.967172,13.021886,12.533670,12.655724,12.655724,36768100
2008-05-22,12.630471,12.933501,12.601010,12.857744,12.857744,26068200
2008-05-23,12.702021,12.807240,12.601010,12.702021,12.702021,23932400
2008-05-27,12.714646,13.034512,12.655724,12.777778,12.777778,35916500
2008-05-28,12.786196,12.857744,12.247475,12.478956,12.478956,36520300
2008-05-29,12.466330,12.676767,12.466330,12.546296,12.546296,26621100
2008-05-30,12.546296,12.643098,12.436869,12.630471,12.630471,24108300
2008-06-02,12.622054,12.622054,12.218014,12.335858,12.335858,28965100
2008-06-03,12.411616,12.727273,12.154882,12.323233,12.323233,40070200
2008-06-04,12.260101,12.752525,12.222222,12.579967,12.579967,32440700
2008-06-05,12.664142,12.756734,12.512627,12.651515,12.651515,22854700
2008-06-06,12.542088,12.588384,12.243266,12.314815,12.314815,30475000
2008-06-09,12.293771,12.457912,12.007576,12.234848,12.234848,29062200
2008-06-10,11.982324,12.272727,11.978114,12.196970,12.196970,25985100
2008-06-11,12.104377,12.167508,11.632997,11.666667,11.666667,48398100
2008-06-12,11.763468,12.041245,11.729798,11.818182,11.818182,39682200
2008-06-13,11.965488,12.074916,11.784512,11.944445,11.944445,40990700
2008-06-16,12.015993,12.138047,11.881313,12.058081,12.058081,41291000
2008-06-17,12.074916,12.209596,11.990741,12.125421,12.125421,34360000
2008-06-18,12.091751,12.344276,11.961280,12.175926,12.175926,32103500
2008-06-19,12.196970,12.335858,11.923401,12.276936,12.276936,26902200
2008-06-20,12.142256,12.142256,11.813973,11.856061,11.856061,42555500
2008-06-23,11.957070,11.961280,11.569865,11.670876,11.670876,35872300
2008-06-24,11.590909,11.965488,11.531986,11.784512,11.784512,31050000
2008-06-25,11.826599,12.037037,11.784512,11.851851,11.851851,30137400
2008-06-26,11.755051,11.763468,11.578282,11.611953,11.611953,36927700
2008-06-27,11.561448,11.780303,11.426767,11.620370,11.620370,33691900
