Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,36.000000,40.400002,34.099998,34.299999,34.299999,2059700
2008-01-03,34.599998,34.700001,33.200001,33.799999,33.799999,1616100
2008-01-04,32.900002,33.200001,31.900000,32.299999,32.299999,2459900
2008-01-07,32.000000,32.200001,28.100000,28.299999,28.299999,4309500
2008-01-08,28.500000,28.700001,20.799999,22.500000,22.500000,8627200
2008-01-09,25.900000,26.100000,22.299999,24.000000,24.000000,6957500
2008-01-10,24.000000,30.900000,23.200001,29.299999,29.299999,9721500
2008-01-11,29.299999,33.500000,28.500000,30.799999,30.799999,6310900
2008-01-14,33.000000,33.799999,31.900000,32.400002,32.400002,3348300
2008-01-15,31.000000,31.900000,28.500000,29.200001,29.200001,3529800
2008-01-16,28.500000,31.500000,28.500000,31.299999,31.299999,3848600
2008-01-17,31.900000,32.299999,29.299999,29.400000,29.400000,3227500
2008-01-18,30.600000,31.100000,28.000000,28.400000,28.400000,3705200
2008-01-22,25.100000,30.400000,24.900000,29.900000,29.900000,3957600
2008-01-23,29.000000,37.500000,28.600000,34.599998,34.599998,5818200
2008-01-24,36.200001,36.299999,33.400002,34.799999,34.799999,5068300
2008-01-25,38.299999,39.200001,36.099998,37.599998,37.599998,6640800
2008-01-28,38.200001,39.000000,36.200001,39.000000,39.000000,2740100
2008-01-29,39.900002,41.799999,39.599998,41.400002,41.400002,4262300
2008-01-30,43.599998,47.400002,41.400002,45.599998,45.599998,8310600
2008-01-31,45.900002,50.500000,45.000000,49.700001,49.700001,8572200
2008-02-01,52.700001,54.799999,48.099998,49.700001,49.700001,10098800
2008-02-04,51.400002,51.500000,46.500000,47.500000,47.500000,4912400
2008-02-05,45.000000,47.799999,42.900002,44.900002,44.900002,6075900
2008-02-06,46.700001,47.599998,44.900002,46.000000,46.000000,5093600
2008-02-07,45.400002,48.299999,44.799999,48.200001,48.200001,3966400
2008-02-08,48.000000,52.599998,47.900002,51.700001,51.700001,5710700
2008-02-11,53.099998,54.500000,49.299999,49.700001,49.700001,6145600
2008-02-12,50.900002,51.799999,48.099998,49.799999,49.799999,2857500
2008-02-13,51.400002,51.599998,49.799999,51.200001,51.200001,2646000
2008-02-14,50.900002,51.299999,50.000000,50.200001,50.200001,1842900
2008-02-15,54.099998,54.599998,50.000000,51.299999,51.299999,3153600
2008-02-19,52.000000,53.000000,50.099998,50.099998,50.099998,2466000
2008-02-20,49.900002,50.599998,48.200001,49.099998,49.099998,2788700
2008-02-21,49.400002,50.200001,48.099998,48.099998,48.099998,1960800
2008-02-22,48.299999,48.700001,46.099998,47.900002,47.900002,2724800
2008-02-25,47.500000,49.500000,46.299999,49.200001,49.200001,3599800
2008-02-26,48.400002,50.700001,48.299999,49.099998,49.099998,3217100
2008-02-27,48.299999,49.799999,48.099998,49.099998,49.099998,2083300
2008-02-28,48.099998,48.900002,47.000000,47.000000,47.000000,2678400
2008-02-29,45.900002,46.400002,42.500000,42.700001,42.700001,5304000
2008-03-03,44.700001,44.799999,43.000000,43.400002,43.400002,3598800
2008-03-04,41.799999,42.000000,36.799999,39.900002,39.900002,5983200
2008-03-05,40.599998,41.700001,38.799999,40.200001,40.200001,3712500
2008-03-06,39.900002,40.299999,37.500000,37.700001,37.700001,3410300
2008-03-07,35.000000,38.400002,34.500000,37.400002,37.400002,3945200
2008-03-10,38.099998,38.400002,35.400002,35.799999,35.799999,2420500
2008-03-11,37.900002,38.400002,35.799999,38.400002,38.400002,3456200
2008-03-12,37.799999,39.900002,37.500000,37.700001,37.700001,3156400
2008-03-13,36.500000,39.200001,36.000000,38.599998,38.599998,3104400
2008-03-14,39.200001,39.299999,36.000000,36.299999,36.299999,3119900
2008-03-17,33.099998,34.299999,30.000000,32.900002,32.900002,5597500
2008-03-18,34.400002,36.200001,34.200001,36.099998,36.099998,3314100
2008-03-19,36.900002,37.200001,34.400002,34.500000,34.500000,2568000
2008-03-20,33.799999,37.500000,33.599998,37.200001,37.200001,3079700
2008-03-24,38.099998,43.500000,37.799999,41.099998,41.099998,3752700
2008-03-25,41.700001,42.400002,40.599998,42.000000,42.000000,2165100
2008-03-26,41.500000,41.500000,39.700001,39.900002,39.900002,1559900
2008-03-27,39.900002,40.799999,38.099998,38.099998,38.099998,1559400
2008-03-28,38.799999,39.299999,37.200001,37.400002,37.400002,1753400
2008-03-31,37.000000,39.299999,36.700001,38.599998,38.599998,1858700
2008-04-01,40.299999,42.000000,40.000000,42.000000,42.000000,3322600
2008-04-02,42.099998,45.299999,41.799999,42.400002,42.400002,3393300
2008-04-03,41.000000,44.000000,40.900002,42.900002,42.900002,2631400
2008-04-04,43.099998,44.000000,42.400002,42.500000,42.500000,1553700
