Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,88.750000,89.430000,86.919998,87.440002,68.861618,1031000
2008-01-03,87.889999,89.050003,87.629997,88.500000,69.696404,1363300
2008-01-04,88.099998,88.239998,85.860001,86.000000,67.727554,1730700
2008-01-07,86.680000,86.699997,85.059998,85.910004,67.656685,2181800
2008-01-08,86.160004,87.250000,85.220001,85.629997,67.436157,2507100
2008-01-09,85.309998,89.040001,84.849998,88.930000,70.035034,2667100
2008-01-10,88.489998,89.879997,88.250000,88.830002,69.956284,2214600
2008-01-11,88.190002,88.209999,86.059998,86.559998,68.168594,1933100
2008-01-14,87.610001,87.690002,86.150002,86.400002,68.042595,2289100
2008-01-15,85.500000,87.180000,84.900002,85.320000,67.192047,2071600
2008-01-16,84.760002,85.459999,83.620003,83.970001,66.354439,2270800
2008-01-17,84.169998,85.599998,80.389999,80.790001,63.841530,3062100
2008-01-18,81.500000,83.919998,80.360001,80.800003,63.849453,2635900
2008-01-22,78.730003,80.169998,74.010002,78.849998,62.308517,3367300
2008-01-23,75.000000,79.050003,75.000000,79.050003,62.466553,3354800
2008-01-24,80.320000,83.860001,79.809998,83.070000,65.643219,3768800
2008-01-25,84.029999,84.029999,80.879997,81.129997,64.110199,3197700
2008-01-28,81.080002,82.980003,81.080002,82.800003,65.429848,2374400
2008-01-29,83.150002,83.800003,82.839996,83.320000,65.840782,1659100
2008-01-30,82.930000,85.519997,82.930000,83.709999,66.148972,1594400
2008-01-31,83.309998,85.080002,82.489998,84.529999,66.796921,2351700
2008-02-01,84.900002,85.599998,84.089996,85.339996,67.437019,1510600
2008-02-04,85.360001,85.360001,84.459999,84.879997,67.073494,1156900
2008-02-05,83.570000,83.989998,82.769997,82.930000,65.532600,1950600
2008-02-06,83.339996,84.000000,82.839996,82.989998,65.580009,1840300
2008-02-07,82.370003,83.500000,82.160004,83.449997,65.943474,2260300
2008-02-08,82.879997,83.870003,82.230003,83.370003,65.880272,1562800
2008-02-11,83.510002,83.790001,82.739998,83.300003,65.824982,1593000
2008-02-12,83.650002,84.660004,82.930000,84.040001,66.409744,2813700
2008-02-13,84.709999,84.709999,83.129997,84.150002,66.496643,2316400
2008-02-14,84.000000,84.720001,82.889999,83.330002,65.848694,1957700
2008-02-15,83.279999,83.809998,82.419998,83.430000,65.927696,1753500
2008-02-19,84.220001,84.639999,83.459999,83.930000,66.322807,1420800
2008-02-20,83.370003,84.440002,82.699997,84.160004,66.504547,1490700
2008-02-21,83.750000,84.459999,82.650002,82.800003,65.429848,1919600
2008-02-22,82.980003,83.760002,82.589996,83.650002,66.101555,1888100
2008-02-25,83.820000,84.500000,82.910004,83.930000,66.322807,2565700
2008-02-26,83.419998,83.790001,82.910004,83.459999,65.951385,1962400
2008-02-27,82.800003,84.750000,82.800003,83.370003,65.880272,1628500
2008-02-28,82.940002,83.449997,82.690002,83.000000,65.587906,1186800
2008-02-29,82.250000,82.720001,81.650002,81.849998,64.679146,1908400
2008-03-03,81.260002,82.480003,81.050003,81.750000,64.600143,2492300
2008-03-04,81.160004,83.000000,81.050003,82.610001,65.279716,2589300
2008-03-05,82.860001,83.620003,81.940002,83.519997,65.998810,2382800
2008-03-06,83.279999,84.279999,82.709999,83.220001,65.761734,2314500
2008-03-07,82.750000,84.209999,82.529999,82.809998,65.437759,2121100
2008-03-10,83.050003,83.150002,81.760002,81.779999,64.623840,1910200
2008-03-11,83.459999,83.820000,82.000000,83.330002,65.848694,1945000
2008-03-12,83.680000,85.000000,83.639999,84.620003,66.868057,1885200
2008-03-13,83.860001,86.169998,83.320000,86.099998,68.037567,3220800
2008-03-14,86.559998,86.900002,83.480003,84.389999,66.686295,2440500
2008-03-17,82.919998,85.010002,82.919998,84.279999,66.599373,2191900
2008-03-18,85.940002,85.989998,84.230003,85.349998,67.444923,2567600
2008-03-19,86.320000,87.500000,85.040001,85.040001,67.199966,2106600
2008-03-20,85.709999,85.900002,84.589996,85.660004,67.689873,1895600
2008-03-24,86.389999,86.489998,84.680000,85.360001,67.452827,1704500
2008-03-25,85.300003,86.000000,84.669998,85.010002,67.176262,1959400
2008-03-26,84.709999,85.000000,83.830002,84.040001,66.409744,1594200
2008-03-27,84.059998,84.080002,83.110001,83.120003,65.682739,1367600
2008-03-28,83.550003,84.419998,83.169998,83.360001,65.872375,1321300
2008-03-31,83.360001,83.779999,82.669998,83.370003,65.880272,2109500
2008-04-01,83.860001,86.389999,83.830002,85.900002,67.879524,1910800
2008-04-02,86.150002,86.500000,84.529999,85.440002,67.516045,2036700
2008-04-03,85.000000,85.589996,84.459999,84.650002,66.891777,2120200
2008-04-04,85.000000,86.000000,84.239998,85.419998,67.500237,1374000
2008-04-07,85.870003,86.389999,85.190002,85.510002,67.571335,1513700
2008-04-08,84.959999,85.169998,84.220001,84.800003,67.010284,1442600
2008-04-09,85.010002,85.449997,84.349998,84.970001,67.422928,1853900
2008-04-10,84.809998,85.290001,84.330002,84.760002,67.256279,1415400
2008-04-11,83.919998,84.589996,83.550003,83.650002,66.375481,1162700
2008-04-14,83.940002,84.339996,83.610001,83.900002,66.573868,1316900
2008-04-15,84.269997,84.410004,82.470001,82.900002,65.780373,2068600
2008-04-16,83.750000,86.080002,83.370003,86.029999,68.264008,2433900
2008-04-17,85.739998,86.510002,85.440002,86.209999,68.406837,1922500
2008-04-18,87.180000,89.680000,87.169998,88.980003,70.604797,2415200
