Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,31.275549,31.746031,30.727938,31.314114,23.879564,3120800
2008-01-03,31.159857,31.283262,29.493883,29.632715,22.597368,5604200
2008-01-04,29.324202,29.324202,28.159563,28.275255,21.562193,5944200
2008-01-07,28.383236,28.390947,26.925508,27.758495,21.168118,6483300
2008-01-08,27.843336,28.529779,26.100237,26.146513,19.938854,7662300
2008-01-09,26.177364,26.516729,24.634798,26.354759,20.097660,7885200
2008-01-10,26.115662,26.269918,25.128418,25.861137,19.721231,9106000
2008-01-11,25.583475,26.825243,24.974161,26.555294,20.250582,8505400
2008-01-14,26.879232,27.203171,25.051291,25.976831,19.809452,6041200
2008-01-15,24.989588,25.159269,24.241442,24.611658,19.051226,7608700
2008-01-16,24.549955,26.516729,24.549955,25.915129,20.060209,7733100
2008-01-17,25.945980,26.856094,25.676029,25.760872,19.940804,8239800
2008-01-18,25.992256,26.455027,24.866182,25.344378,19.618404,7085200
2008-01-22,24.280006,27.843336,23.909790,26.555294,20.555744,10627700
2008-01-23,25.822575,29.324202,25.251823,29.085104,22.514004,8894000
2008-01-24,29.355053,29.486172,27.727644,28.090147,21.743834,7027900
2008-01-25,28.429512,29.000261,27.326576,27.573387,21.343822,4512600
2008-01-28,27.442270,28.591482,27.002638,28.367809,21.958759,3960900
2008-01-29,28.367809,28.869144,27.835625,27.997593,21.672188,3765500
2008-01-30,27.935890,29.139093,27.797060,27.997593,21.672188,5996200
2008-01-31,27.172319,28.475790,27.172319,28.159563,21.797560,4350500
2008-02-01,28.421799,30.897619,28.275255,30.851343,23.881199,6025600
2008-02-04,30.681660,30.851343,29.902664,30.365435,23.505066,4704100
2008-02-05,29.771545,29.779259,28.406374,28.545204,22.096079,4761300
2008-02-06,28.529779,28.953985,27.843336,27.989882,21.666214,4234400
2008-02-07,27.866476,29.378191,27.557962,29.262499,22.651316,3923600
2008-02-08,28.915421,28.953985,26.678699,26.894659,20.818436,8062800
2008-02-11,26.832956,27.272587,26.385611,27.002638,20.902016,5488800
2008-02-12,27.380568,28.668610,27.380568,28.059296,21.719952,6993400
2008-02-13,28.221266,29.154518,27.781633,28.282969,21.893089,4351600
2008-02-14,28.236692,28.568344,27.426844,27.496260,21.284115,3705100
2008-02-15,27.473122,28.159563,27.064341,28.151850,21.791590,3976700
2008-02-19,28.421799,28.645472,26.925508,27.218597,21.069191,3669000
2008-02-20,27.056627,27.318865,26.616997,27.257162,21.099039,5486000
2008-02-21,27.449982,27.480833,25.884277,26.023108,20.143787,4508200
2008-02-22,26.077097,27.048914,25.760872,27.025776,20.919931,4577900
2008-02-25,26.840668,28.907709,26.570719,28.822866,22.311014,7717000
2008-02-26,28.660898,29.594151,28.067009,29.285637,22.669226,6616600
2008-02-27,29.085104,29.702129,28.630047,28.799728,22.293097,3390100
2008-02-28,28.653185,28.653185,27.696793,27.743071,21.475166,3275800
2008-02-29,27.480833,27.851049,26.994925,27.234022,21.081129,4514200
2008-03-03,27.164608,27.527111,26.501303,27.195459,21.051275,3731600
2008-03-04,26.979500,27.187746,26.077097,27.041203,20.931868,5435100
2008-03-05,26.917797,27.866476,26.917797,27.673655,21.421434,4010000
2008-03-06,27.503973,27.596525,25.336666,25.521772,19.755718,8089000
2008-03-07,25.406080,26.262205,24.719639,26.015394,20.137819,6684400
2008-03-10,25.961405,26.169651,25.166983,25.244112,19.540791,4010500
2008-03-11,26.015394,27.156895,25.336666,27.033489,20.925896,8367400
2008-03-12,26.971786,27.072054,25.784010,25.799435,19.970650,4850600
2008-03-13,25.213261,26.308483,24.549955,25.907415,20.054235,5407300
2008-03-14,26.053959,26.293056,24.179739,24.920172,19.290039,7328300
2008-03-17,24.017771,24.742777,23.292765,24.411125,18.895996,8105900
2008-03-18,25.336666,26.632421,23.701544,25.460072,19.707964,11919000
2008-03-19,25.537199,26.262205,25.220972,25.321239,19.600492,5586900
2008-03-20,25.344378,29.355053,25.344378,29.247072,22.639374,9132600
2008-03-24,29.432180,30.527403,28.938560,29.509310,22.842367,5650100
2008-03-25,30.087772,32.633007,30.087772,31.622627,24.478230,22614800
2008-03-26,31.622627,31.622627,30.002932,30.542830,23.642385,6162100
2008-03-27,30.743362,31.044163,29.748407,29.856386,23.111023,4201300
2008-03-28,29.763832,30.234316,29.000261,29.840961,23.099089,5363700
2008-03-31,29.509310,30.272881,28.822866,29.439894,22.788633,4841900
2008-04-01,29.887238,31.422092,29.856386,31.422092,24.322998,5663100
2008-04-02,31.676617,32.309071,31.075014,31.892576,24.687185,4420700
2008-04-03,31.483795,33.350300,31.360390,33.226894,25.720047,5428600
2008-04-04,33.203758,33.226894,32.347633,32.586731,25.224516,4205000
2008-04-07,32.895245,33.358013,31.938852,32.293644,24.997646,3272400
2008-04-08,32.293644,32.586731,31.383528,31.468370,24.358820,3205500
2008-04-09,31.391241,31.599487,30.180326,30.249743,23.415514,2801700
2008-04-10,30.504265,30.504265,29.262499,29.848675,23.105059,4314600
2008-04-11,29.432180,30.203465,28.768877,29.385904,22.746841,2866400
2008-04-14,29.139093,29.601864,28.753452,28.792015,22.583494,2310500
2008-04-15,28.930847,29.362766,28.622334,29.162231,22.873878,2296900
2008-04-16,29.594151,31.105865,29.586437,31.051876,24.356056,5410000
2008-04-17,30.403997,31.344965,30.388573,31.290974,24.543602,3110700
2008-04-18,31.977417,32.393909,31.152143,31.437519,24.658545,3463600
2008-04-21,31.144430,31.213846,30.457989,30.612246,24.011221,1935500
2008-04-22,30.558254,30.797354,30.087772,30.504265,23.926531,1800300
2008-04-23,30.859056,31.375816,30.550543,31.044163,24.350008,2741400
2008-04-24,31.221560,32.825829,31.129005,32.686996,25.638590,3616700
2008-04-25,32.779552,33.219185,32.100822,32.694710,25.644640,2638500
2008-04-28,32.810402,33.203758,32.116249,32.987797,25.874523,2299900
2008-04-29,33.072639,33.257748,32.702423,32.864391,25.777733,4318600
2008-04-30,32.995510,33.334877,31.437519,31.591776,24.779535,3675900
2008-05-01,31.491508,32.964661,31.321825,32.764126,25.699087,3255800
2008-05-02,33.450569,33.789932,32.933807,33.242321,26.074169,3065900
2008-05-05,32.748699,33.018650,32.231941,32.563591,25.541794,1907900
2008-05-06,32.471039,33.481419,32.262791,33.481419,26.261713,3132100
2008-05-07,33.620251,33.959614,31.946566,32.008266,25.106218,3283000
2008-05-08,32.170238,32.401623,31.591776,31.908001,25.027576,2312800
2008-05-09,31.144430,32.393909,31.144430,31.776882,24.924730,1852200
2008-05-12,31.800022,32.910671,31.692041,32.794979,25.723291,1854100
2008-05-13,32.972374,33.157482,32.123962,32.617580,25.584143,2187700
2008-05-14,32.895245,33.226894,32.617580,32.841255,25.759586,1889900
2008-05-15,32.764126,33.481419,32.594444,33.481419,26.261713,1741000
2008-05-16,33.921051,34.113873,33.465996,33.805359,26.515797,3537800
2008-05-19,33.782219,33.944191,33.003223,33.211472,26.049974,3035100
2008-05-20,32.987797,33.095779,32.231941,32.771839,25.705141,2833200
2008-05-21,32.764126,33.327164,31.152143,31.422092,24.646444,4453600
2008-05-22,31.406668,31.553211,30.473413,30.758789,24.126173,4347100
2008-05-23,30.758789,30.758789,29.879526,30.334583,23.793440,3752600
2008-05-27,30.296019,30.943897,30.211178,30.866768,24.210867,2492900
2008-05-28,31.152143,31.522360,31.005600,31.290974,24.543602,2444200
2008-05-29,31.152143,32.355347,30.851343,32.332207,25.360306,3875300
2008-05-30,32.471039,32.625294,31.838585,32.054546,25.142515,2746100
2008-06-02,31.792309,31.792309,30.619957,30.874481,24.216915,2134100
2008-06-03,31.144430,31.182995,30.342297,30.797354,24.156418,3407700
2008-06-04,30.743362,31.267836,30.488840,31.059589,24.362108,2564600
2008-06-05,31.113579,32.725563,31.090441,32.563591,25.541794,3270800
2008-06-06,31.460657,32.309071,30.434849,30.643097,24.035427,4024300
2008-06-09,30.619957,31.105865,29.648140,29.709843,23.303413,3520200
2008-06-10,29.501596,30.411711,29.254786,30.234316,23.714788,5276900
2008-06-11,30.118624,30.272881,29.308775,29.362766,23.031176,3738600
2008-06-12,29.455320,30.427137,29.216221,29.802397,23.376003,3923000
2008-06-13,30.080059,30.573681,29.586437,30.565968,23.974932,3062700
2008-06-16,30.380859,31.190708,29.848675,31.082727,24.380259,2481500
2008-06-17,31.460657,31.460657,29.756121,29.756121,23.339712,2946400
2008-06-18,29.424469,29.740694,29.077391,29.316488,22.994877,3937200
2008-06-19,29.316488,30.419424,29.193083,30.334583,23.793440,2883000
2008-06-20,29.995218,30.234316,29.108242,29.447607,23.097719,4912500
2008-06-23,29.655853,29.848675,28.236692,28.282969,22.184221,4366300
2008-06-24,28.244404,28.930847,27.743071,28.483501,22.341507,3704100
2008-06-25,28.645472,29.825535,28.637758,29.385904,23.049326,4220200
2008-06-26,28.892282,29.038826,27.511684,27.565676,21.621599,5091800
2008-06-27,27.681368,28.074722,26.802105,27.087479,21.246517,6119200
2008-06-30,27.743071,27.766209,26.956360,27.018063,21.192068,5636500
2008-07-01,26.740402,27.002638,25.676029,26.616997,20.877481,5915700
2008-07-02,26.948648,27.126043,25.899702,25.915129,20.326967,4461600
2008-07-03,26.131088,26.223640,24.997301,25.143845,19.721992,2909200
2008-07-07,25.205547,25.791723,24.048622,24.326284,19.080727,8376700
2008-07-08,24.272293,26.902370,23.747822,26.123375,20.490305,7437300
2008-07-09,25.907415,26.069386,23.678406,23.848087,18.705643,7708900
2008-07-10,23.840376,24.866182,23.315903,24.280006,19.044428,6647400
2008-07-11,23.069092,23.932930,22.259243,23.138508,18.149076,15708800
2008-07-14,23.416170,25.305815,21.989294,22.066423,17.308170,10494300
2008-07-15,21.673069,22.282383,20.724390,21.040615,16.797106,11919000
2008-07-16,21.040615,22.829994,20.608698,22.691162,18.114769,10170100
2008-07-17,23.123081,24.179739,22.097275,23.053665,18.404163,13446400
2008-07-18,23.092230,23.470160,22.374937,23.215635,18.533474,8304900
2008-07-21,23.115368,23.655268,22.583183,22.822281,18.219446,7366100
2008-07-22,22.606321,23.092230,21.595940,23.022814,18.379536,10498700
2008-07-23,22.968824,25.706881,22.174402,24.981874,19.943489,13658600
2008-07-24,25.120707,25.136131,22.259243,22.498343,17.960836,10119200
2008-07-25,22.544619,23.261913,22.174402,22.652599,18.083982,6627300
2008-07-28,22.444351,23.092230,21.595940,21.703920,17.326639,6189200
2008-07-29,21.804186,23.524149,21.788761,23.331327,18.625832,9674200
2008-07-30,23.624416,24.542244,22.421213,23.207922,18.527313,7863100
2008-07-31,20.493004,21.997007,19.837414,21.140882,16.877155,15796300
2008-08-01,21.356842,21.541950,20.338747,20.816944,16.618549,10014300
2008-08-04,20.608698,20.716677,19.783424,20.238482,16.156748,7757100
2008-08-05,20.500717,21.511099,20.292471,21.372269,17.061867,8948300
2008-08-06,21.364555,21.973869,20.847795,21.781048,17.388208,5899500
2008-08-07,21.310566,21.781048,20.855507,21.063755,16.815586,8394400
2008-08-08,20.824656,21.572802,19.953106,21.194872,16.920258,13420300
2008-08-11,21.318277,21.549664,20.454441,20.824656,16.624706,9979700
2008-08-12,20.693539,20.762953,19.544325,19.860552,15.855049,10153200
2008-08-13,19.706295,19.706295,18.580221,18.996714,15.165423,15725200
2008-08-14,18.533945,19.212673,18.472242,19.081556,15.233159,9255100
2008-08-15,19.258951,19.482622,18.626497,19.397781,15.485603,6573100
2008-08-18,19.467197,19.575176,18.557083,18.657349,14.894504,6663300
2008-08-19,18.749903,19.359217,17.986332,18.186867,14.518910,12767300
2008-08-20,18.456816,18.634211,17.685532,18.464529,14.740574,7861100
2008-08-21,18.071175,18.587934,17.739523,18.302559,14.611271,6311700
2008-08-22,18.456816,19.444059,18.387400,19.266665,15.380933,6112800
2008-08-25,19.120119,19.282089,18.125164,18.194580,14.525064,5434500
2008-08-26,18.287134,18.788467,17.901491,18.788467,14.999178,6574500
2008-08-27,18.742191,19.058416,18.402826,18.827032,15.029963,3913800
2008-08-28,19.019854,20.099649,19.019854,20.014809,15.978189,5004400
2008-08-29,19.336079,20.223055,19.204962,19.999384,15.965869,6221900
2008-09-02,20.493004,20.708963,19.282089,19.852839,15.848884,6383000
2008-09-03,20.539282,20.608698,19.621454,20.585558,16.433826,6194100
2008-09-04,20.253906,20.608698,19.567465,19.652306,15.688801,5114200
