Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,94.739998,95.580002,91.800003,92.099998,59.194447,4711500
2008-01-03,89.680000,91.160004,88.129997,90.949997,58.455326,5269700
2008-01-04,89.400002,89.860001,86.769997,88.449997,56.848503,4160300
2008-01-07,89.379997,91.000000,85.099998,85.930000,55.228867,5538900
2008-01-08,85.389999,87.250000,79.190002,80.199997,51.546097,6733600
2008-01-09,76.580002,76.800003,67.500000,75.989998,48.840237,20949000
2008-01-10,76.500000,79.339996,74.720001,78.000000,50.132103,7172100
2008-01-11,78.059998,78.449997,70.730003,71.400002,45.890156,6305700
2008-01-14,70.410004,71.900002,68.589996,69.989998,44.983913,7231600
2008-01-15,68.550003,69.199997,65.050003,65.620003,42.175232,6939200
2008-01-16,64.730003,66.790001,58.990002,61.900002,39.784317,8749900
2008-01-17,63.009998,65.309998,62.500000,64.150002,41.230442,6953300
2008-01-18,65.440002,67.489998,62.130001,62.990002,40.484879,5767700
2008-01-22,56.779999,62.000000,55.000000,59.360001,38.151802,6901500
2008-01-23,56.900002,65.419998,56.869999,64.599998,41.519657,6857900
2008-01-24,67.510002,69.000000,66.000000,67.809998,43.582779,6216800
2008-01-25,70.050003,70.510002,64.940002,64.940002,41.738190,4526900
2008-01-28,65.089996,68.260002,64.349998,68.220001,43.846306,4025400
2008-01-29,69.000000,70.309998,67.989998,70.209999,45.125313,4406700
2008-01-30,69.879997,71.349998,68.029999,70.339996,45.208870,4739000
2008-01-31,68.809998,72.910004,68.550003,72.150002,46.372189,5795400
2008-02-01,73.269997,73.599998,68.919998,70.099998,45.054623,4445500
2008-02-04,70.830002,71.099998,69.089996,69.660004,44.771828,2709100
2008-02-05,65.959999,66.230003,61.820000,63.779999,40.992630,9288200
2008-02-06,64.500000,66.000000,63.000000,63.410000,40.754829,4907500
2008-02-07,63.830002,68.000000,63.709999,66.150002,42.515873,5389200
2008-02-08,66.099998,67.940002,65.000000,66.809998,42.940067,3648700
2008-02-11,67.000000,67.650002,64.400002,66.129997,42.503017,4129800
2008-02-12,66.760002,67.279999,64.849998,65.500000,42.098118,3390200
2008-02-13,66.199997,66.949997,63.040001,65.650002,42.194527,4915600
2008-02-14,65.989998,66.620003,64.519997,65.519997,42.110966,3185300
2008-02-15,64.260002,66.449997,63.880001,66.349998,42.644417,4675500
2008-02-19,67.769997,70.440002,67.510002,69.500000,44.668987,6778000
2008-02-20,73.000000,73.290001,61.880001,64.470001,41.436119,26101000
2008-02-21,65.300003,65.500000,62.500000,62.720001,40.311352,6728600
2008-02-22,64.000000,64.410004,63.000000,63.590000,40.870514,5952600
2008-02-25,64.110001,64.199997,62.180000,62.779999,40.349918,5803300
2008-02-26,62.049999,62.810001,59.500000,61.779999,39.707195,6770900
2008-02-27,61.450001,62.189999,60.290001,61.189999,39.327991,4454900
2008-02-28,60.799999,62.650002,60.000000,60.439999,38.845951,3783300
2008-02-29,59.950001,60.250000,58.340000,58.709999,37.734051,4369700
2008-03-03,58.599998,58.830002,55.450001,56.830002,36.525730,5132900
2008-03-04,56.950001,58.259998,56.099998,58.000000,37.277706,4023500
2008-03-05,58.099998,58.939999,56.669998,57.279999,36.814968,3407700
2008-03-06,56.990002,58.000000,55.900002,56.029999,36.011559,3185600
2008-03-07,55.509998,56.799999,53.200001,55.139999,35.439537,3453200
2008-03-10,54.630001,54.950001,52.869999,53.099998,34.128387,3791800
2008-03-11,54.740002,56.230000,53.450001,56.230000,36.140102,3809300
2008-03-12,56.590000,60.980000,56.590000,58.820000,37.804741,6504700
2008-03-13,57.450001,59.250000,55.020000,58.639999,37.689049,5194700
2008-03-14,59.049999,59.529999,56.299999,56.970001,36.615707,3308400
2008-03-17,54.209999,58.900002,53.889999,57.290001,36.821377,3752200
2008-03-18,58.900002,61.330002,58.560001,61.090000,39.263710,4447900
2008-03-19,61.220001,62.380001,58.779999,59.160000,38.023273,4348100
2008-03-20,59.240002,60.250000,59.040001,60.130001,38.646709,2699000
2008-03-24,60.250000,62.580002,60.000000,62.380001,40.092827,3074600
2008-03-25,59.490002,61.110001,57.700001,60.180000,38.678844,7197100
2008-03-26,59.790001,61.419998,59.410000,60.889999,39.135166,2963500
2008-03-27,60.919998,60.950001,58.970001,58.970001,37.901154,2320100
