Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,44.680000,45.419998,44.369999,45.070000,25.823145,558900
2008-01-03,45.130001,45.389999,44.220001,44.230000,25.341875,886000
2008-01-04,44.230000,44.230000,42.950001,43.110001,24.700157,922300
2008-01-07,43.130001,44.000000,42.500000,43.070000,24.677233,849000
2008-01-08,43.130001,44.049999,42.150002,42.150002,24.150114,1189800
2008-01-09,42.020000,43.529999,41.400002,43.130001,24.711609,1207900
2008-01-10,42.740002,44.660000,42.630001,43.980000,25.198626,1099800
2008-01-11,43.700001,44.349998,43.180000,44.160000,25.301756,1102000
2008-01-14,44.380001,44.549999,43.150002,43.840000,25.118416,637800
2008-01-15,43.560001,43.750000,42.810001,42.889999,24.574108,793500
2008-01-16,42.669998,43.259998,42.360001,42.459999,24.327736,1606200
2008-01-17,42.419998,43.009998,41.570000,41.660000,23.869375,1362000
2008-01-18,41.849998,42.310001,40.279999,40.830002,23.393816,1702600
2008-01-22,39.320000,42.060001,39.259998,41.740002,23.915207,1022500
2008-01-23,41.299999,44.220001,41.240002,43.959999,25.187164,1465600
2008-01-24,44.400002,44.400002,42.599998,43.369999,24.849121,881400
2008-01-25,43.599998,44.299999,42.889999,43.490002,24.917883,1027400
2008-01-28,43.419998,44.500000,42.970001,44.410000,25.444998,1425000
2008-01-29,43.689999,44.299999,43.000000,43.189999,25.119303,651300
2008-01-30,42.860001,43.980000,42.330002,42.459999,24.694733,671100
2008-01-31,42.070000,43.209999,42.000000,42.820000,24.904108,3370600
2008-02-01,42.880001,43.730000,42.310001,43.720001,25.427549,1126700
2008-02-04,43.709999,43.709999,42.529999,43.490002,25.293781,430700
2008-02-05,42.779999,43.330002,41.869999,41.869999,24.351589,717700
2008-02-06,42.009998,42.070000,40.400002,40.470001,23.537348,1594200
2008-02-07,40.439999,41.580002,40.150002,41.580002,24.182924,1070200
2008-02-08,41.330002,41.750000,40.230000,40.630001,23.630411,926400
2008-02-11,40.740002,40.740002,39.619999,39.720001,23.101149,636800
2008-02-12,39.849998,40.900002,39.750000,40.570000,23.595510,637100
2008-02-13,40.820000,41.400002,40.119999,40.939999,23.810705,687400
2008-02-14,40.849998,40.880001,39.930000,39.930000,23.223288,766100
2008-02-15,39.799999,40.549999,39.520000,40.549999,23.583883,434900
2008-02-19,41.000000,41.080002,40.110001,40.259998,23.415211,511600
2008-02-20,39.950001,41.009998,39.889999,40.990002,23.839777,619800
2008-02-21,41.150002,41.500000,40.240002,40.320000,23.450111,847800
2008-02-22,40.349998,41.410000,39.869999,41.410000,24.084055,828300
2008-02-25,41.419998,42.500000,41.070000,42.500000,24.718004,1087100
2008-02-26,42.470001,42.750000,41.919998,42.750000,24.863398,860800
2008-02-27,42.599998,42.910000,42.029999,42.349998,24.630756,714200
2008-02-28,42.220001,42.400002,41.400002,41.430000,24.095684,866600
2008-02-29,41.709999,42.290001,41.000000,41.160000,23.938650,1152900
2008-03-03,41.029999,41.549999,40.790001,41.520000,24.148029,838800
2008-03-04,41.009998,41.880001,40.900002,41.439999,24.101500,1102300
2008-03-05,41.180000,41.200001,40.650002,41.099998,23.903757,2606500
2008-03-06,40.799999,41.169998,39.950001,40.020000,23.275627,993400
2008-03-07,39.750000,41.130001,39.480000,40.889999,23.781624,914400
2008-03-10,40.900002,41.040001,40.400002,40.560001,23.589697,846800
2008-03-11,41.419998,42.630001,41.009998,42.520000,24.729631,1504500
2008-03-12,42.520000,43.130001,41.970001,42.389999,24.654026,1285300
2008-03-13,41.950001,43.470001,41.340000,43.349998,25.212362,1217000
2008-03-14,43.349998,43.700001,41.860001,43.090000,25.061146,1130900
2008-03-17,42.090000,43.470001,42.090000,43.070000,25.049515,1479100
2008-03-18,43.700001,44.299999,42.669998,44.299999,25.764877,1070600
2008-03-19,44.299999,45.000000,44.000000,44.240002,25.729977,1414500
2008-03-20,44.200001,45.549999,44.200001,45.529999,26.480244,1465000
2008-03-24,45.389999,46.209999,45.000000,46.070000,26.794308,1058900
2008-03-25,46.180000,46.450001,45.500000,46.400002,26.986227,972800
2008-03-26,45.990002,46.180000,45.369999,45.520000,26.474432,695900
2008-03-27,45.439999,45.950001,45.000000,45.070000,26.212708,1133100
2008-03-28,45.099998,45.779999,44.790001,44.889999,26.108021,671100
2008-03-31,44.900002,46.040001,44.750000,45.130001,26.247612,1194800
2008-04-01,45.830002,46.730000,45.410000,46.680000,27.149088,952400
2008-04-02,46.549999,47.160000,45.849998,46.970001,27.317755,743900
2008-04-03,46.639999,47.820000,46.230000,47.820000,27.812107,986400
2008-04-04,47.900002,47.900002,46.580002,46.650002,27.131639,884100
2008-04-07,47.049999,47.139999,46.290001,46.730000,27.178169,461200
2008-04-08,46.320000,47.049999,46.259998,46.619999,27.114193,615300
2008-04-09,46.770000,46.820000,45.770000,46.040001,26.776861,783700
2008-04-10,46.040001,47.250000,45.880001,47.130001,27.410809,609100
2008-04-11,46.480000,47.169998,46.480000,46.950001,27.306112,749800
2008-04-14,46.700001,47.419998,46.500000,46.799999,27.218887,659400
2008-04-15,46.970001,47.340000,46.610001,47.340000,27.532938,771900
2008-04-16,47.599998,49.119999,47.270000,49.099998,28.556562,942800
2008-04-17,48.820000,49.400002,48.360001,49.299999,28.672878,662600
2008-04-18,49.919998,49.919998,48.509998,48.860001,28.416969,694700
2008-04-21,48.410000,48.880001,48.410000,48.669998,28.306465,528400
2008-04-22,48.580002,48.869999,48.110001,48.330002,28.108727,560400
2008-04-23,48.450001,49.419998,48.389999,49.139999,28.579817,741900
2008-04-24,49.160000,49.849998,48.939999,49.849998,28.992750,640900
2008-04-25,50.009998,50.189999,49.380001,50.189999,29.190495,503600
2008-04-28,50.299999,50.490002,50.000000,50.299999,29.254482,493700
2008-04-29,50.060001,50.060001,49.250000,49.490002,28.783381,874900
2008-04-30,49.330002,49.520000,48.360001,48.450001,28.571089,608900
2008-05-01,48.349998,49.189999,48.349998,49.189999,29.007460,665200
