Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,29.110001,29.549999,28.750000,29.090000,29.090000,515600
2008-01-03,29.264999,29.520000,29.184999,29.500000,29.500000,406200
2008-01-04,29.500000,29.995001,28.625000,28.680000,28.680000,653600
2008-01-07,28.725000,29.520000,28.725000,29.445000,29.445000,495800
2008-01-08,29.309999,30.375000,29.309999,29.750000,29.750000,803200
2008-01-09,29.795000,30.190001,29.625000,29.825001,29.825001,853200
2008-01-10,29.450001,30.500000,29.410000,30.195000,30.195000,636600
2008-01-11,30.070000,30.240000,29.485001,29.910000,29.910000,868000
2008-01-14,29.910000,30.340000,29.700001,30.225000,30.225000,581000
2008-01-15,30.165001,30.825001,29.674999,30.695000,30.695000,680400
2008-01-16,30.754999,30.930000,29.940001,30.084999,30.084999,1019400
2008-01-17,30.455000,30.455000,29.049999,29.270000,29.270000,522800
2008-01-18,29.270000,29.440001,28.445000,28.715000,28.715000,802400
2008-01-22,27.325001,28.370001,26.125000,27.129999,27.129999,1216000
2008-01-23,26.559999,27.510000,25.680000,26.945000,26.945000,945000
2008-01-24,27.135000,28.545000,26.830000,27.799999,27.799999,1117600
2008-01-25,27.639999,27.639999,25.650000,26.674999,26.674999,1870600
2008-01-28,26.514999,26.959999,25.940001,26.875000,26.875000,856000
2008-01-29,26.875000,28.155001,26.625000,27.875000,27.875000,1544200
2008-01-30,28.000000,28.215000,27.690001,27.809999,27.809999,641200
2008-01-31,27.565001,28.350000,27.385000,28.184999,28.184999,677000
2008-02-01,28.184999,29.000000,28.014999,28.900000,28.900000,683400
2008-02-04,28.700001,28.975000,28.344999,28.475000,28.475000,460800
2008-02-05,27.820000,27.820000,26.924999,27.415001,27.415001,1101400
2008-02-06,27.500000,27.900000,27.250000,27.555000,27.555000,533600
2008-02-07,27.615000,28.150000,27.275000,28.090000,28.090000,630400
2008-02-08,27.830000,28.115000,27.340000,27.590000,27.590000,618200
2008-02-11,27.780001,28.475000,27.275000,28.365000,28.365000,617000
2008-02-12,28.150000,28.615000,28.045000,28.469999,28.469999,369200
2008-02-13,28.799999,28.875000,28.405001,28.555000,28.555000,385400
2008-02-14,28.700001,28.750000,28.459999,28.475000,28.475000,340800
2008-02-15,28.260000,28.549999,27.754999,27.915001,27.915001,438200
2008-02-19,28.070000,28.940001,28.000000,28.375000,28.375000,490200
2008-02-20,28.084999,28.184999,27.504999,27.670000,27.670000,682400
2008-02-21,27.809999,28.090000,27.559999,27.760000,27.760000,567000
2008-02-22,27.615000,27.785000,27.155001,27.525000,27.525000,430800
2008-02-25,27.684999,28.275000,27.545000,27.875000,27.875000,549200
2008-02-26,27.844999,28.110001,27.465000,28.049999,28.049999,502600
2008-02-27,28.174999,28.174999,27.625000,27.945000,27.945000,293000
2008-02-28,27.834999,28.670000,27.615000,28.605000,28.605000,786800
2008-02-29,28.250000,28.305000,27.625000,27.735001,27.735001,576000
2008-03-03,27.565001,27.575001,26.879999,27.084999,27.084999,662000
2008-03-04,26.870001,27.330000,26.469999,26.820000,26.820000,948400
2008-03-05,26.629999,27.020000,26.385000,26.520000,26.520000,477000
2008-03-06,26.320000,26.674999,26.105000,26.180000,26.180000,401600
2008-03-07,26.180000,26.280001,25.910000,26.209999,26.209999,385200
2008-03-10,25.950001,26.065001,24.254999,24.860001,24.860001,1982600
2008-03-11,25.180000,25.410000,24.730000,25.235001,25.235001,732800
2008-03-12,25.075001,26.000000,24.865000,25.459999,25.459999,788000
2008-03-13,25.375000,25.990000,25.010000,25.830000,25.830000,441400
2008-03-14,25.725000,25.980000,24.885000,24.900000,24.900000,872400
2008-03-17,24.510000,24.965000,24.240000,24.360001,24.360001,598600
2008-03-18,24.450001,24.940001,24.379999,24.715000,24.715000,619200
2008-03-19,24.709999,25.014999,24.235001,24.240000,24.240000,815000
2008-03-20,24.070000,24.430000,23.725000,24.125000,24.125000,855600
2008-03-24,24.150000,25.735001,24.125000,25.525000,25.525000,767800
2008-03-25,25.645000,25.655001,25.174999,25.235001,25.235001,554600
2008-03-26,25.254999,25.480000,25.004999,25.100000,25.100000,490000
2008-03-27,25.100000,25.690001,25.100000,25.465000,25.465000,506800
2008-03-28,25.565001,25.940001,25.165001,25.245001,25.245001,766200
2008-03-31,25.084999,25.240000,24.620001,24.629999,24.629999,793400
2008-04-01,24.805000,24.945000,24.549999,24.625000,24.625000,1170800
2008-04-02,24.525000,26.075001,24.504999,25.344999,25.344999,1726400
2008-04-03,24.924999,25.055000,24.334999,24.920000,24.920000,671400
2008-04-04,25.000000,25.215000,24.875000,24.905001,24.905001,434400
2008-04-07,25.275000,25.575001,24.695000,24.745001,24.745001,486000
2008-04-08,24.645000,25.055000,24.580000,24.950001,24.950001,481400
2008-04-09,24.775000,25.240000,24.740000,25.240000,25.240000,864200
2008-04-10,25.125000,25.420000,25.070000,25.305000,25.305000,481400
2008-04-11,25.010000,25.225000,24.645000,24.660000,24.660000,607600
2008-04-14,24.795000,24.844999,24.235001,24.264999,24.264999,369200
2008-04-15,24.275000,24.275000,23.725000,23.735001,23.735001,593200
2008-04-16,23.850000,24.400000,23.850000,24.240000,24.240000,818200
2008-04-17,24.150000,24.230000,23.780001,24.000000,24.000000,879000
2008-04-18,24.125000,24.400000,24.025000,24.215000,24.215000,741600
2008-04-21,24.010000,24.080000,23.764999,23.764999,23.764999,1023800
2008-04-22,23.750000,23.950001,23.370001,23.490000,23.490000,874600
2008-04-23,23.434999,23.855000,23.355000,23.799999,23.799999,920600
2008-04-24,23.799999,25.830000,23.504999,25.129999,25.129999,1999000
2008-04-25,26.500000,27.934999,26.500000,27.094999,27.094999,2167200
2008-04-28,27.219999,27.315001,26.264999,26.555000,26.555000,804000
