Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,52.299999,52.410000,51.549999,51.570000,38.220448,1408700
2008-01-03,51.549999,52.090000,51.500000,51.740002,38.346436,1119900
2008-01-04,51.410000,52.009998,51.169998,51.169998,37.923985,1380400
2008-01-07,51.380001,52.369999,51.380001,52.259998,38.731831,1758800
2008-01-08,52.599998,53.000000,52.099998,52.200001,38.687359,2018900
2008-01-09,52.160000,52.160000,51.389999,51.919998,38.479847,2090500
2008-01-10,51.630001,52.610001,51.560001,52.400002,38.835587,1641800
2008-01-11,52.020000,52.049999,50.720001,50.889999,37.716465,2353800
2008-01-14,50.990002,51.150002,50.150002,50.200001,37.205086,2478900
2008-01-15,50.139999,50.169998,49.150002,49.630001,36.782642,3533900
2008-01-16,49.500000,50.150002,49.310001,49.599998,36.760403,2634000
2008-01-17,49.650002,50.130001,49.189999,49.310001,36.545471,2545800
2008-01-18,49.590000,49.669998,48.259998,48.560001,35.989616,3034200
2008-01-22,47.070000,48.450001,47.070000,47.500000,35.204014,4170200
2008-01-23,46.939999,47.889999,46.250000,47.810001,35.433769,3494800
2008-01-24,48.169998,48.169998,47.150002,47.779999,35.411530,3340400
2008-01-25,48.209999,48.209999,47.299999,47.590000,35.270721,2657600
2008-01-28,48.340000,49.599998,47.930000,49.540001,36.715931,4011000
2008-01-29,49.689999,49.830002,49.279999,49.619999,36.775227,3452300
2008-01-30,49.150002,50.660000,48.540001,49.110001,36.397240,3960100
2008-01-31,48.439999,49.939999,47.549999,47.799999,35.426353,5257000
2008-02-01,48.180000,49.020000,48.060001,49.020000,36.330551,3520500
2008-02-04,49.099998,49.349998,48.880001,49.060001,36.360199,1961200
2008-02-05,48.349998,48.790001,47.950001,48.150002,35.685753,3275600
2008-02-06,48.380001,49.310001,48.130001,49.090000,36.382416,4739300
2008-02-07,49.000000,49.950001,48.990002,49.630001,36.782642,3498600
2008-02-08,49.459999,49.869999,49.139999,49.180000,36.449131,2156800
2008-02-11,49.669998,49.669998,48.900002,49.590000,36.752983,1793500
2008-02-12,49.950001,50.599998,49.730000,50.549999,37.464478,2552100
2008-02-13,51.040001,51.380001,50.720001,51.150002,37.909168,3672000
2008-02-14,51.270000,51.400002,50.750000,50.869999,37.701645,1954900
2008-02-15,50.790001,51.799999,50.790001,51.730000,38.339027,2360200
2008-02-19,52.720001,52.720001,51.580002,51.849998,38.427963,3286900
2008-02-20,51.490002,51.540001,50.919998,51.290001,38.012928,1757100
2008-02-21,51.430000,51.570000,50.750000,51.000000,37.798000,1858300
2008-02-22,51.110001,51.250000,50.470001,51.040001,37.827637,2679900
2008-02-25,51.160000,51.360001,50.730000,51.240002,37.975868,3691700
2008-02-26,51.090000,51.880001,51.080002,51.700001,38.316788,2363200
2008-02-27,51.490002,51.900002,51.310001,51.700001,38.316788,2202200
2008-02-28,51.430000,51.810001,51.119999,51.500000,38.168564,2130600
2008-02-29,51.000000,51.509998,50.610001,50.720001,37.818123,2141600
2008-03-03,50.750000,50.900002,50.360001,50.709999,37.810665,1704900
2008-03-04,50.330002,50.570000,50.110001,50.419998,37.594425,2712900
2008-03-05,50.869999,50.869999,49.790001,50.560001,37.698818,2403400
2008-03-06,50.410000,50.470001,49.770000,49.840000,37.161961,1514100
2008-03-07,49.360001,49.990002,49.279999,49.450001,36.871166,2262900
2008-03-10,49.549999,50.099998,49.349998,49.759998,37.102325,2849700
2008-03-11,50.480000,50.860001,50.000000,50.849998,37.915047,2578000
2008-03-12,50.980000,51.349998,50.709999,51.060001,38.071632,2143500
2008-03-13,50.470001,50.849998,49.980000,50.310001,37.512417,2881600
2008-03-14,50.570000,51.110001,49.639999,49.889999,37.199253,2464400
2008-03-17,49.020000,50.119999,48.900002,49.759998,37.102325,2545300
2008-03-18,50.599998,51.139999,49.939999,51.139999,38.131279,2726600
2008-03-19,51.490002,51.889999,51.099998,51.220001,38.190945,2899400
2008-03-20,51.290001,51.750000,51.119999,51.619999,38.489178,3721900
2008-03-24,51.650002,51.930000,51.200001,51.450001,38.362431,1584900
2008-03-25,51.689999,52.060001,51.470001,51.880001,38.683048,2042200
2008-03-26,51.790001,51.919998,51.459999,51.669998,38.526470,1722700
2008-03-27,52.029999,52.049999,51.430000,51.919998,38.712875,2390400
2008-03-28,52.070000,52.730000,51.980000,52.480000,39.130421,2200700
2008-03-31,52.480000,52.639999,51.880001,52.560001,39.190079,2157400
2008-04-01,52.779999,54.150002,52.549999,54.099998,40.338329,3539800
2008-04-02,53.930000,54.000000,52.980000,53.080002,39.577782,3562900
2008-04-03,53.060001,53.220001,52.549999,53.000000,39.518147,1858100
2008-04-04,53.000000,53.320000,52.669998,53.150002,39.630001,2617500
2008-04-07,53.500000,53.560001,52.919998,53.060001,39.562874,2255200
2008-04-08,52.849998,53.070000,52.430000,52.970001,39.495777,1211300
2008-04-09,52.840000,53.130001,52.630001,52.830002,39.391388,926800
2008-04-10,52.980000,53.099998,52.389999,52.580002,39.204979,1379300
2008-04-11,52.259998,52.380001,51.840000,51.950001,38.735241,1261500
2008-04-14,52.029999,52.500000,51.849998,52.320000,39.011127,1330500
2008-04-15,52.549999,53.380001,52.230000,53.119999,39.607628,2594000
2008-04-16,53.080002,53.369999,52.939999,53.220001,39.682182,2682400
2008-04-17,52.970001,53.169998,52.610001,52.939999,39.473392,1844400
2008-04-18,53.730000,53.730000,52.630001,52.660000,39.264629,2851200
2008-04-21,52.490002,52.669998,51.860001,51.959999,38.742691,2734400
2008-04-22,51.970001,51.990002,51.160000,51.439999,38.354980,1954100
2008-04-23,51.560001,52.189999,51.410000,51.959999,38.742691,1966700
2008-04-24,52.099998,52.270000,51.380001,51.810001,38.630848,1600600
2008-04-25,51.970001,52.000000,51.209999,51.369999,38.302780,1698800
2008-04-28,51.689999,51.810001,51.099998,51.169998,38.153648,1695200
2008-04-29,51.110001,52.150002,51.080002,51.980000,38.757607,2720200
2008-04-30,52.470001,52.470001,50.939999,51.169998,38.153648,2518400
2008-05-01,50.700001,52.639999,50.700001,52.430000,39.093159,2301900
2008-05-02,52.630001,52.869999,52.130001,52.400002,39.070766,2012500
2008-05-05,52.080002,52.500000,52.080002,52.169998,38.899281,1104900
2008-05-06,52.040001,52.040001,51.509998,51.889999,38.690506,1196900
2008-05-07,51.980000,51.990002,51.380001,51.430000,38.347511,985100
2008-05-08,51.470001,51.700001,50.709999,51.389999,38.317684,2105700
2008-05-09,51.250000,51.250000,50.470001,50.869999,37.929962,1426100
2008-05-12,50.900002,51.410000,50.740002,51.349998,38.287865,1272800
2008-05-13,51.380001,51.840000,51.240002,51.450001,38.362431,1168600
2008-05-14,51.610001,51.930000,51.410000,51.520000,38.414623,1239600
2008-05-15,51.430000,51.610001,51.029999,51.529999,38.422085,1201400
2008-05-16,51.500000,51.599998,50.820000,51.490002,38.392258,2584900
2008-05-19,51.500000,51.500000,50.509998,51.279999,38.235668,1953600
2008-05-20,51.150002,51.439999,50.810001,51.160000,38.146191,1645100
2008-05-21,51.250000,51.259998,50.730000,50.900002,37.952343,2377000
2008-05-22,51.060001,51.130001,50.630001,50.759998,37.847942,1612400
2008-05-23,50.669998,50.730000,50.160000,50.560001,37.698818,2236800
2008-05-27,50.680000,51.340000,50.660000,51.180000,38.161106,2020200
2008-05-28,51.340000,51.340000,50.680000,50.799999,37.877766,1771600
2008-05-29,50.759998,51.689999,50.419998,51.330002,38.507950,1402900
2008-05-30,51.250000,52.040001,50.830002,51.810001,38.868042,2679600
2008-06-02,51.759998,51.799999,51.099998,51.380001,38.545452,1819600
2008-06-03,51.430000,51.669998,50.740002,50.869999,38.162842,2013400
2008-06-04,50.900002,51.459999,50.779999,51.360001,38.530457,1417300
2008-06-05,51.700001,51.700001,51.009998,51.400002,38.560463,1201400
2008-06-06,51.279999,51.279999,50.049999,50.049999,37.547688,3203100
2008-06-09,50.169998,50.540001,49.910000,50.320000,37.750233,2001600
2008-06-10,50.939999,52.230000,50.330002,52.009998,39.018078,4419200
2008-06-11,52.009998,52.009998,51.619999,51.680000,38.770504,2288200
2008-06-12,52.000000,52.000000,51.529999,51.750000,38.823021,2060000
2008-06-13,51.830002,52.000000,51.560001,52.000000,39.010586,1715400
2008-06-16,52.000000,52.160000,50.950001,51.490002,38.627972,3229800
2008-06-17,51.639999,51.639999,50.590000,50.669998,38.012810,2659400
2008-06-18,50.740002,51.419998,50.709999,51.119999,38.350403,3045500
2008-06-19,51.049999,51.500000,50.830002,51.389999,38.552944,2612500
2008-06-20,51.139999,51.459999,50.529999,51.000000,38.260372,3374000
2008-06-23,51.009998,51.130001,50.529999,50.849998,38.147842,1904100
2008-06-24,50.619999,51.680000,50.200001,50.259998,37.705231,3641000
2008-06-25,50.250000,50.250000,49.709999,49.810001,37.367626,3269100
2008-06-26,49.689999,49.689999,48.500000,48.520000,36.399868,3509100
2008-06-27,48.630001,48.750000,47.869999,47.959999,35.979759,3902400
2008-06-30,47.970001,48.500000,47.810001,48.020000,36.024773,2712000
2008-07-01,47.619999,48.189999,47.619999,48.040001,36.039780,2469300
2008-07-02,48.180000,48.660000,47.980000,48.459999,36.354858,3198700
2008-07-03,48.720001,49.080002,48.360001,48.799999,36.609924,1806200
2008-07-07,49.200001,49.669998,48.900002,49.200001,36.910007,2509500
2008-07-08,49.419998,50.180000,49.169998,50.169998,37.637707,2354900
2008-07-09,50.130001,50.810001,50.029999,50.509998,37.892769,2646300
2008-07-10,50.790001,50.869999,50.099998,50.849998,38.147842,2217000
2008-07-11,50.459999,51.049999,50.279999,50.869999,38.162842,3277100
2008-07-14,50.970001,51.150002,50.240002,50.549999,37.922787,1912600
2008-07-15,50.259998,51.180000,50.240002,50.910000,38.192841,2952800
2008-07-16,50.880001,52.430000,50.549999,52.389999,39.303146,4541100
2008-07-17,52.560001,52.560001,51.529999,52.040001,39.040588,3357400
2008-07-18,52.000000,52.259998,51.250000,51.599998,38.710491,2471300
2008-07-21,51.720001,51.720001,50.830002,51.380001,38.545452,1852200
2008-07-22,51.220001,52.299999,51.099998,52.299999,39.235638,1610900
2008-07-23,52.480000,53.549999,52.040001,53.549999,40.173393,2981200
2008-07-24,53.650002,53.730000,52.759998,52.840000,39.640755,1785000
2008-07-25,52.820000,52.939999,51.970001,52.270000,39.213135,1853300
2008-07-28,52.070000,52.980000,51.830002,52.849998,39.648247,2604900
2008-07-29,52.630001,53.450001,52.630001,53.450001,40.098373,1613200
2008-07-30,53.369999,54.160000,53.369999,54.150002,40.623508,2154900
2008-07-31,52.369999,54.250000,52.360001,53.060001,39.805794,2671000
2008-08-01,53.150002,53.259998,51.950001,52.459999,39.355682,1923600
2008-08-04,52.470001,54.099998,52.279999,53.930000,40.458458,1959300
2008-08-05,54.180000,54.360001,53.750000,54.360001,40.781063,2397400
2008-08-06,54.299999,54.840000,54.000000,54.779999,41.096138,1812000
2008-08-07,54.380001,54.490002,53.419998,53.560001,40.180897,2339800
2008-08-08,53.680000,55.840000,53.599998,55.709999,41.793835,2976100
2008-08-11,55.520000,55.770000,54.610001,55.709999,41.793835,4495100
2008-08-12,55.639999,55.779999,55.029999,55.450001,41.598782,2449800
2008-08-13,55.250000,55.389999,54.580002,54.740002,41.066135,1888000
2008-08-14,54.049999,55.090000,53.779999,54.610001,40.968605,1678600
2008-08-15,54.740002,55.630001,54.610001,55.500000,41.636288,1756900
2008-08-18,55.369999,55.459999,54.540001,54.689999,41.028625,1252500
2008-08-19,54.549999,54.840000,53.849998,53.889999,40.428459,1764600
2008-08-20,53.919998,54.509998,53.040001,54.419998,40.826069,1694300
2008-08-21,54.009998,54.419998,53.860001,54.180000,40.646015,778400
2008-08-22,54.290001,54.619999,53.990002,54.389999,40.803566,838100
2008-08-25,54.209999,54.240002,53.450001,53.910000,40.443466,1686800
2008-08-26,53.810001,53.810001,53.240002,53.389999,40.053352,1392100
2008-08-27,53.400002,54.450001,53.400002,54.320000,40.751060,1404800
2008-08-28,54.320000,54.860001,53.980000,54.860001,41.415386,2052400
2008-08-29,54.700001,55.000000,54.349998,54.439999,41.098320,2508500
2008-09-02,54.830002,55.700001,54.669998,55.380001,41.807953,2432700
2008-09-03,55.759998,55.759998,54.389999,54.470001,41.120972,1844100
2008-09-04,54.259998,54.840000,54.020000,54.279999,40.977535,2583800
2008-09-05,54.040001,55.150002,54.000000,55.009998,41.528614,1786100
2008-09-08,55.799999,56.299999,55.099998,56.220001,42.442093,2415600
2008-09-09,56.220001,56.549999,55.680000,55.680000,42.034428,2604000
2008-09-10,55.919998,56.040001,55.270000,55.430000,41.845695,1939000
2008-09-11,55.310001,55.930000,54.930000,55.860001,42.170315,1676700
2008-09-12,55.529999,56.299999,55.369999,56.209999,42.434540,2059800
2008-09-15,55.520000,56.470001,55.180000,55.680000,42.034428,1735500
2008-09-16,55.750000,56.310001,54.580002,56.119999,42.366589,1910400
2008-09-17,55.560001,57.330002,55.560001,56.410000,42.585522,3803900
2008-09-18,57.040001,57.480000,55.599998,56.939999,42.985634,3109000
2008-09-19,57.110001,58.509998,55.750000,56.680000,42.789352,3150200
2008-09-22,56.270000,56.669998,55.169998,55.360001,41.792854,1946700
2008-09-23,55.360001,56.480000,55.360001,55.470001,41.875900,1716600
2008-09-24,55.740002,56.000000,54.869999,55.730000,42.072174,1571900
2008-09-25,55.950001,56.900002,55.750000,56.490002,42.645920,2373400
2008-09-26,56.400002,57.470001,56.150002,57.389999,43.325367,2065800
2008-09-29,56.860001,57.480000,54.790001,55.220001,41.687157,2716800
2008-09-30,55.299999,56.400002,55.299999,56.099998,42.351490,2295200
2008-10-01,55.759998,56.660000,55.689999,56.529999,42.676117,3355500
2008-10-02,56.509998,57.470001,56.160000,57.020000,43.046028,2286200
2008-10-03,57.520000,57.660000,56.770000,57.209999,43.189461,3485900
2008-10-06,56.330002,56.770000,55.000000,56.000000,42.275997,4538400
2008-10-07,56.430000,57.209999,55.330002,55.650002,42.011784,4757300
2008-10-08,54.750000,55.950001,52.250000,52.599998,39.709248,6125300
2008-10-09,52.669998,53.610001,47.790001,48.619999,36.704632,5900400
2008-10-10,47.160000,51.070000,45.250000,48.490002,36.606487,6538200
2008-10-13,51.680000,54.820000,50.160000,52.270000,39.460125,3278000
2008-10-14,54.119999,54.500000,50.380001,50.740002,38.305077,4710300
2008-10-15,50.549999,51.180000,48.000000,48.310001,36.470585,4288500
2008-10-16,48.240002,50.590000,46.680000,50.520000,38.139004,4684100
2008-10-17,50.730000,51.730000,48.520000,50.459999,38.093704,4365600
2008-10-20,51.000000,51.000000,49.779999,50.849998,38.388126,2744700
2008-10-21,50.340000,51.080002,50.119999,50.299999,37.972904,2404300
2008-10-22,50.060001,50.380001,47.970001,49.250000,37.180229,2879800
2008-10-23,49.480000,50.970001,48.500000,49.900002,37.670929,5192400
2008-10-24,48.380001,49.330002,47.419998,48.220001,36.402657,3497800
2008-10-27,50.439999,50.439999,47.240002,47.610001,35.942162,1848600
2008-10-28,49.080002,50.680000,47.209999,50.680000,38.259792,3079500
2008-10-29,51.750000,52.930000,49.900002,50.020000,37.761532,4729200
2008-10-30,51.220001,51.599998,49.570000,49.990002,37.738895,2891400
2008-10-31,50.580002,51.310001,49.590000,50.419998,38.063507,3800700
2008-11-03,50.630001,52.549999,50.549999,52.310001,39.490318,2231100
2008-11-04,53.150002,53.389999,52.279999,52.450001,39.596004,2800300
2008-11-05,52.020000,52.259998,50.330002,50.330002,37.995548,2886800
2008-11-06,50.320000,50.709999,48.099998,48.400002,36.538551,3210000
2008-11-07,49.340000,49.619999,48.080002,49.540001,37.399170,1785300
2008-11-10,50.020000,50.810001,49.169998,49.990002,37.738895,1587500
2008-11-11,49.500000,49.500000,48.209999,48.700001,36.765026,1640400
2008-11-12,49.480000,49.480000,47.009998,47.119999,35.572243,2302800
2008-11-13,47.279999,49.090000,46.369999,49.029999,37.014141,2728900
2008-11-14,48.230000,48.950001,46.830002,46.930000,35.428799,3223200
2008-11-17,46.820000,48.070000,46.209999,46.320000,34.968300,2889700
2008-11-18,45.450001,47.180000,44.630001,47.099998,35.557137,4117100
2008-11-19,46.770000,47.139999,44.119999,44.119999,33.307446,3810200
2008-11-20,43.709999,44.230000,40.509998,40.689999,30.718048,5418100
2008-11-21,41.410000,43.330002,40.549999,43.020000,32.477028,5140400
2008-11-24,43.820000,44.389999,42.849998,43.310001,32.695953,3278700
2008-11-25,43.869999,43.900002,41.970001,42.430000,32.031620,3589700
2008-11-26,41.860001,43.570000,41.000000,43.220001,32.628017,3117300
2008-11-28,43.480000,43.990002,42.700001,43.430000,32.786552,1175400
2008-12-01,42.770000,43.119999,40.849998,40.910000,31.127811,2838900
2008-12-02,41.430000,41.830002,40.369999,41.410000,31.508270,4227300
2008-12-03,40.529999,41.950001,40.320000,41.910000,31.888714,2513100
2008-12-04,41.610001,42.099998,40.470001,40.880001,31.105000,2298600
2008-12-05,40.830002,42.840000,40.820000,42.730000,32.512638,3899800
2008-12-08,44.070000,44.070000,42.570000,42.849998,32.603951,3355100
2008-12-09,42.720001,43.410000,41.980000,42.110001,32.040878,2596700
2008-12-10,42.389999,43.060001,41.360001,42.000000,31.957188,2783400
2008-12-11,41.450001,42.380001,41.410000,41.590000,31.645220,2785700
2008-12-12,41.459999,42.549999,40.880001,42.529999,32.360447,2704000
2008-12-15,42.849998,42.849998,41.759998,42.150002,32.071316,2077300
2008-12-16,42.349998,43.970001,42.299999,43.930000,33.425694,3118100
2008-12-17,44.000000,44.000000,42.689999,42.770000,32.543068,3053300
2008-12-18,43.080002,43.750000,42.220001,42.610001,32.421329,2885600
2008-12-19,43.570000,43.580002,42.480000,42.630001,32.436550,2812100
2008-12-22,42.540001,43.020000,41.700001,42.230000,32.132183,2158000
2008-12-23,42.250000,42.580002,41.299999,41.430000,31.523485,2311400
2008-12-24,41.750000,41.980000,41.380001,41.660000,31.698483,727500
2008-12-26,41.759998,42.520000,41.759998,42.299999,32.185448,1189000
2008-12-29,42.389999,42.389999,41.770000,42.080002,32.018051,2009600
2008-12-30,42.169998,43.189999,42.169998,43.189999,32.862637,2697000
2008-12-31,43.139999,44.080002,43.139999,43.849998,33.364830,2030700
2009-01-02,43.980000,45.369999,43.470001,45.049999,34.277889,2402100
2009-01-05,44.950001,45.189999,44.540001,44.790001,34.080070,2334200
2009-01-06,45.090000,45.369999,44.349998,44.650002,33.973530,2053100
