Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,42.759998,43.750000,42.110001,43.020000,27.277821,357300
2008-01-03,43.040001,43.590000,40.880001,40.880001,25.920891,353700
2008-01-04,40.419998,40.419998,39.459999,39.700001,25.172689,242100
2008-01-07,39.820000,40.840000,39.230000,40.369999,25.597511,257200
2008-01-08,40.669998,41.840000,39.200001,39.200001,24.855650,446500
2008-01-09,39.139999,41.119999,38.279999,40.900002,25.933578,659400
2008-01-10,40.259998,43.389999,39.730000,42.110001,26.700813,516700
2008-01-11,41.700001,42.820000,40.650002,41.880001,26.948553,441300
2008-01-14,42.560001,42.560001,41.009998,42.250000,27.186630,356400
2008-01-15,42.000000,42.020000,40.619999,41.360001,26.613943,254800
2008-01-16,41.459999,43.660000,41.459999,42.439999,27.308882,266500
2008-01-17,42.240002,43.389999,41.709999,42.340000,27.244539,288700
2008-01-18,43.049999,43.560001,41.060001,41.410000,26.646111,373100
2008-01-22,40.380001,43.740002,40.000000,42.590000,27.405401,309500
2008-01-23,42.049999,46.430000,41.580002,46.150002,29.696156,617300
2008-01-24,46.270000,46.270000,44.439999,45.009998,28.962605,284500
2008-01-25,45.860001,46.380001,44.529999,45.000000,28.956169,389100
2008-01-28,45.000000,46.910000,44.380001,46.500000,29.921375,273200
2008-01-29,46.490002,46.779999,45.599998,46.500000,29.921375,266200
2008-01-30,46.200001,48.130001,45.230000,45.549999,29.310078,316500
2008-01-31,44.549999,46.349998,44.040001,45.810001,29.477392,387200
2008-02-01,45.500000,47.680000,45.340000,47.560001,30.603460,270800
2008-02-04,48.200001,48.860001,46.900002,48.279999,31.066757,442600
2008-02-05,47.029999,49.180000,47.029999,47.090000,30.301016,514200
2008-02-06,47.099998,48.240002,46.099998,46.099998,29.663992,253300
2008-02-07,45.759998,48.270000,45.509998,47.970001,30.867271,479400
2008-02-08,46.009998,48.840000,46.009998,46.439999,29.882772,628900
2008-02-11,46.299999,46.610001,44.849998,45.110001,29.026955,505500
2008-02-12,45.209999,46.919998,45.130001,46.849998,30.146587,400500
2008-02-13,47.389999,47.860001,46.400002,47.830002,30.777193,298600
2008-02-14,47.840000,48.060001,47.040001,47.369999,30.481184,371700
2008-02-15,47.200001,48.340000,46.340000,48.330002,31.098934,307500
