Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,65.552338,66.237488,64.441284,65.311607,39.257088,691000
2008-01-03,65.904175,65.904175,63.070976,63.256153,38.021618,972400
2008-01-04,62.496933,62.950615,59.960018,60.052608,36.096046,1165300
2008-01-07,60.219265,61.358097,58.969326,60.645172,36.452229,989100
2008-01-08,60.978489,63.061718,58.524906,58.756374,35.316921,1035800
2008-01-09,58.524906,59.117470,55.321358,58.265659,35.021965,1342700
2008-01-10,57.645317,58.571198,56.191685,57.293484,34.437611,2168000
2008-01-11,56.682404,57.932343,55.376911,56.960167,34.237259,1822900
2008-01-14,57.247189,58.052704,55.339874,56.469452,33.942295,1572600
2008-01-15,55.552830,56.191685,54.552879,55.469498,33.341270,1405400
2008-01-16,55.367653,57.839752,55.367653,57.052753,34.292919,1573600
2008-01-17,57.182377,57.756424,55.432465,55.895405,33.597256,1359000
2008-01-18,56.108356,56.487968,53.978832,54.543617,32.784733,1491700
2008-01-22,53.710327,56.552780,53.238129,56.265755,33.819862,1468100
2008-01-23,55.321358,63.746872,55.293583,63.126530,37.943699,3015700
2008-01-24,63.737610,63.737610,61.571053,62.432121,37.526306,1631800
2008-01-25,62.996906,63.941307,60.376667,61.135887,36.747177,1024100
2008-01-28,60.895157,63.607990,60.182232,63.607990,38.233086,1075200
2008-01-29,64.080185,64.348694,62.469154,63.607990,38.233086,753800
2008-01-30,62.950615,64.348694,61.672897,62.033993,37.286999,1039200
2008-01-31,61.571053,63.941307,61.209957,63.191341,37.982658,819100
2008-02-01,64.265366,67.015228,62.682110,66.783760,40.141968,1679400
2008-02-04,66.737465,66.793015,65.098656,66.126381,39.746830,696400
2008-02-05,65.107918,66.117126,63.376518,63.728352,38.305431,1134800
2008-02-06,63.932045,64.209808,61.311806,61.367359,36.886314,1016900
2008-02-07,61.117371,62.506191,60.839607,61.959923,37.242477,1202600
2008-02-08,61.571053,61.950661,58.784153,59.321163,35.656387,947600
2008-02-11,59.163761,59.710033,58.006413,58.673046,35.266830,710400
2008-02-12,59.395233,61.219215,58.691563,60.395184,36.301952,845600
2008-02-13,60.821087,61.478462,59.691513,61.302547,36.847355,793700
2008-02-14,61.200699,61.589569,60.024830,60.219265,36.196213,598000
2008-02-15,60.293335,60.700726,59.719292,60.700726,36.485611,1031400
2008-02-19,61.321064,61.321064,58.691563,59.182281,35.572922,812000
2008-02-20,58.784153,59.561890,57.802719,59.423008,36.170307,781700
2008-02-21,59.654480,60.302597,57.626801,57.747166,35.150238,797300
2008-02-22,57.599026,59.395233,57.015720,59.395233,36.153404,657100
2008-02-25,59.080433,61.756229,58.580456,61.756229,37.590515,889600
2008-02-26,61.413651,62.274719,60.654430,61.941402,37.703236,840600
2008-02-27,61.339581,62.450638,61.061817,61.617344,37.505981,644200
2008-02-28,61.172924,61.200699,60.376667,60.459995,36.801514,577500
2008-02-29,60.098900,60.524807,58.978584,59.256351,36.068863,911600
2008-03-03,59.293385,59.672997,58.219364,59.626701,36.294296,837100
2008-03-04,59.219315,59.580410,57.802719,59.024879,35.927959,924400
2008-03-05,59.228573,59.710033,58.126778,58.617493,35.679996,1040600
2008-03-06,58.191589,58.376762,55.626900,55.626900,33.859642,1006500
2008-03-07,55.599121,57.154602,54.839901,56.636108,34.473934,852800
2008-03-10,56.950909,56.950909,55.580605,55.580605,33.831459,750700
2008-03-11,56.673145,58.432316,55.228771,58.358246,35.522198,1413100
2008-03-12,57.997154,58.913776,57.636059,57.765682,35.161507,1114700
2008-03-13,56.534260,58.793411,55.552830,58.358246,35.522198,1004900
2008-03-14,58.561939,58.848965,55.247288,57.034237,34.716286,930100
2008-03-17,56.376862,59.173019,55.830593,58.636009,35.691269,1288000
2008-03-18,59.672997,62.756180,59.672997,62.756180,38.199177,1632200
2008-03-19,62.941353,63.145050,61.126629,61.237736,37.274914,1260500
2008-03-20,61.293289,64.691269,61.061817,64.691269,39.377052,1114300
2008-03-24,64.839409,66.626358,64.635719,65.357903,39.782825,1484700
