Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,82.169998,82.169998,79.449997,79.980003,58.756950,830400
2008-01-03,80.349998,80.760002,78.550003,78.800003,57.890068,774800
2008-01-04,77.889999,77.889999,75.849998,75.849998,55.722858,1321300
2008-01-07,76.500000,77.879997,75.559998,76.500000,56.200378,1601800
2008-01-08,77.029999,77.029999,72.680000,72.680000,53.394035,1636800
2008-01-09,73.000000,74.019997,71.970001,73.830002,54.238873,2434000
2008-01-10,73.419998,76.610001,72.349998,75.029999,55.120457,1714300
2008-01-11,75.029999,76.279999,73.110001,73.750000,54.180122,1613100
2008-01-14,71.500000,73.529999,71.010002,72.419998,53.203033,2032100
2008-01-15,71.660004,72.860001,70.489998,71.589996,52.593285,1732100
2008-01-16,71.230003,75.440002,71.120003,74.059998,54.407845,3258100
2008-01-17,74.430000,74.430000,72.040001,72.070000,52.945900,1925000
2008-01-18,72.620003,74.669998,72.099998,73.690002,54.136032,2688200
2008-01-22,71.010002,77.379997,70.849998,76.269997,56.031422,2829100
2008-01-23,76.400002,84.709999,73.790001,84.650002,62.187752,3085000
2008-01-24,84.800003,86.410004,83.269997,84.690002,62.217113,2148800
2008-01-25,85.160004,86.099998,82.910004,83.849998,61.600037,1439000
2008-01-28,84.110001,87.050003,82.589996,87.050003,63.950909,930300
2008-01-29,87.000000,88.379997,85.440002,87.930000,64.597382,863900
2008-01-30,87.849998,90.820000,86.190002,87.650002,64.391693,1084500
2008-01-31,86.000000,92.260002,85.169998,91.279999,67.058449,1778100
2008-02-01,91.099998,94.029999,90.730003,94.029999,69.078720,1141000
2008-02-04,92.910004,93.660004,89.660004,90.059998,66.162163,1008200
2008-02-05,88.110001,90.000000,87.440002,88.540001,65.045525,1296000
2008-02-06,89.430000,90.750000,87.709999,88.440002,64.972069,1149500
2008-02-07,88.230003,90.400002,87.800003,89.620003,65.838951,1362600
2008-02-08,88.769997,90.279999,87.110001,88.889999,65.302635,1672700
2008-02-11,88.900002,88.900002,86.669998,87.349998,64.171272,890800
2008-02-12,88.099998,89.410004,86.730003,88.029999,64.670837,1062400
