Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,36.020000,36.250000,34.770000,34.990002,23.818300,4130300
2008-01-03,35.279999,35.889999,35.020000,35.139999,23.920401,3321900
2008-01-04,34.450001,34.750000,33.860001,34.009998,23.151192,4332200
2008-01-07,34.250000,34.799999,33.869999,34.689999,23.614086,3105000
2008-01-08,34.419998,34.770000,33.509998,33.560001,22.844870,3574300
2008-01-09,33.509998,33.880001,33.099998,33.509998,22.810841,4198900
2008-01-10,33.610001,34.299999,33.240002,33.869999,23.055893,3538300
2008-01-11,34.430000,34.430000,33.490002,33.779999,22.994633,3724500
2008-01-14,33.250000,33.330002,32.380001,32.990002,22.456865,4779200
2008-01-15,32.799999,33.360001,32.740002,33.060001,22.504513,3593700
2008-01-16,33.230000,34.250000,33.150002,33.639999,22.899326,4701000
2008-01-17,33.200001,33.740002,32.900002,33.029999,22.484085,3457900
2008-01-18,32.700001,34.000000,32.599998,33.209999,22.606621,4670200
2008-01-22,31.670000,32.840000,31.459999,32.119999,21.864637,4541700
2008-01-23,31.420000,33.540001,31.410000,33.340000,22.695110,5049600
2008-01-24,32.380001,33.610001,32.380001,33.090000,22.524935,3905700
2008-01-25,33.619999,33.650002,32.959999,33.139999,22.558971,3203400
2008-01-28,32.619999,33.799999,32.619999,33.700001,22.940178,2310500
2008-01-29,33.939999,34.529999,33.689999,34.320000,23.362211,3795100
2008-01-30,34.180000,34.689999,32.840000,32.959999,22.634291,6173100
2008-01-31,32.150002,32.880001,31.980000,32.720001,22.469479,9757600
2008-02-01,33.529999,34.220001,32.619999,33.869999,23.259212,4857800
2008-02-04,33.919998,34.439999,33.349998,33.540001,23.032589,1727300
2008-02-05,32.930000,33.349998,32.599998,32.630001,22.407675,3256200
2008-02-06,32.790001,32.939999,31.950001,32.009998,21.981915,2733800
2008-02-07,31.930000,32.360001,31.400000,32.110001,22.050583,4739800
2008-02-08,32.009998,32.509998,32.000000,32.150002,22.078054,3137600
2008-02-11,32.250000,32.610001,32.060001,32.430000,22.270330,1980800
2008-02-12,32.279999,33.810001,32.279999,33.410000,22.943316,4129200
2008-02-13,33.900002,34.580002,33.810001,34.470001,23.671244,3988900
2008-02-14,34.009998,35.290001,34.000000,34.169998,23.465218,3618200
2008-02-15,33.930000,34.180000,33.520000,33.669998,23.121861,2200800
