Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,43.150002,43.680000,42.680000,43.250000,29.610964,2921000
2008-01-03,43.470001,43.889999,43.130001,43.389999,29.706806,2368900
2008-01-04,43.240002,43.810001,43.000000,43.349998,29.679430,3378100
2008-01-07,43.529999,44.110001,43.500000,44.070000,30.172375,3495300
2008-01-08,44.150002,44.700001,43.799999,43.799999,29.987524,3316800
2008-01-09,43.900002,44.220001,43.730000,44.150002,30.227137,2636500
2008-01-10,43.810001,44.610001,43.810001,44.220001,30.275085,1823200
2008-01-11,43.880001,45.259998,43.880001,44.950001,30.774872,3350700
2008-01-14,45.209999,45.680000,44.150002,44.330002,30.350380,2399300
2008-01-15,43.880001,44.220001,43.320000,43.520000,29.795818,3335700
2008-01-16,43.250000,44.279999,43.139999,43.790001,29.980659,3008200
2008-01-17,43.830002,44.060001,42.849998,43.000000,29.439810,2898700
2008-01-18,43.369999,43.560001,42.490002,42.639999,29.193331,4519800
2008-01-22,40.970001,42.290001,40.669998,41.389999,28.337521,3623300
2008-01-23,39.549999,42.400002,39.549999,42.360001,29.001642,4485500
2008-01-24,42.529999,42.529999,40.830002,40.919998,28.015747,3183000
2008-01-25,41.230000,41.230000,40.009998,40.150002,27.488567,3863300
2008-01-28,40.139999,41.259998,40.090000,40.700001,27.865116,3529300
2008-01-29,40.970001,41.110001,40.450001,40.639999,27.824034,2026900
2008-01-30,40.549999,41.459999,40.500000,40.820000,27.947283,2685600
2008-01-31,40.400002,41.320000,40.389999,41.000000,28.070509,3458800
2008-02-01,41.139999,41.599998,40.630001,41.599998,28.481297,1673000
2008-02-04,41.610001,42.349998,41.520000,41.900002,28.686701,1693000
2008-02-05,41.259998,41.779999,40.570000,40.570000,27.776114,1587200
2008-02-06,40.720001,41.220001,40.450001,40.560001,27.769274,1646900
2008-02-07,40.220001,40.380001,39.529999,39.889999,27.310556,2348600
2008-02-08,39.799999,40.040001,39.500000,39.750000,27.214701,1833600
2008-02-11,39.810001,40.310001,39.480000,40.070000,27.433786,2438400
2008-02-12,40.150002,40.520000,39.810001,40.119999,27.468021,1771400
2008-02-13,40.349998,40.689999,39.840000,40.110001,27.461168,1683900
2008-02-14,40.029999,40.540001,39.450001,39.669998,27.159935,1714300
2008-02-15,39.700001,39.860001,39.189999,39.849998,27.283169,1679900
2008-02-19,40.000000,40.139999,39.459999,39.709999,27.187317,1435100
2008-02-20,39.320000,39.810001,39.169998,39.770000,27.228399,1535000
2008-02-21,39.930000,40.099998,39.099998,39.169998,26.817608,1516500
2008-02-22,39.099998,40.099998,38.820000,39.299999,26.906618,2429900
2008-02-25,39.400002,39.790001,38.939999,39.240002,26.865534,2904800
2008-02-26,39.130001,40.099998,39.130001,39.810001,27.255779,2355500
2008-02-27,39.730000,39.880001,39.220001,39.360001,26.947687,1193200
2008-02-28,39.150002,39.299999,38.650002,39.000000,26.701208,1096500
2008-02-29,38.669998,38.840000,37.560001,37.660000,25.783798,2425200
2008-03-03,37.680000,38.130001,37.360001,37.910000,25.954956,2048700
2008-03-04,37.669998,38.639999,37.639999,38.540001,26.386286,2523900
2008-03-05,38.720001,38.720001,37.279999,37.980000,26.002872,2933500
2008-03-06,37.950001,37.980000,37.230000,37.299999,25.537321,2496100
2008-03-07,37.009998,37.959999,36.299999,37.849998,25.913870,4601300
2008-03-10,37.959999,37.959999,37.259998,37.410000,25.612638,3762700
2008-03-11,38.169998,38.500000,37.790001,38.470001,26.338352,3226200
2008-03-12,38.490002,38.599998,37.509998,37.520000,25.687944,2061600
2008-03-13,37.080002,37.520000,36.810001,37.330002,25.557861,2575000
2008-03-14,37.330002,37.619999,36.389999,37.139999,25.427773,3494600
2008-03-17,36.389999,37.400002,36.259998,37.080002,25.386698,3399400
2008-03-18,37.709999,37.709999,36.810001,37.500000,25.674252,2139800
2008-03-19,37.610001,38.080002,36.639999,36.639999,25.085459,2342800
2008-03-20,36.430000,37.110001,36.290001,37.000000,25.331923,2282800
2008-03-24,37.200001,37.200001,36.650002,37.020000,25.345613,1455400
2008-03-25,37.160000,37.349998,36.650002,36.779999,25.181295,1496200
2008-03-26,36.660000,37.130001,36.500000,37.119999,25.414082,2214900
2008-03-27,37.119999,37.349998,36.750000,36.759998,25.434839,1566400
2008-03-28,37.090000,37.240002,36.349998,36.459999,25.227268,1498400
2008-03-31,36.599998,36.919998,36.299999,36.820000,25.476358,1791600
2008-04-01,37.200001,38.160000,37.000000,38.090000,26.355089,2333600
2008-04-02,38.139999,38.950001,37.990002,38.599998,26.707964,2385100
2008-04-03,38.450001,38.919998,38.330002,38.599998,26.707964,2140300
2008-04-04,38.680000,39.389999,38.570000,38.720001,26.790991,2033000
2008-04-07,39.070000,39.450001,38.680000,39.220001,27.136961,2616600
2008-04-08,39.020000,39.150002,38.779999,39.009998,26.991648,1262800
2008-04-09,39.009998,39.529999,38.980000,39.340000,27.219982,1435100
2008-04-10,39.380001,39.419998,38.750000,39.049999,27.019331,1570300
2008-04-11,38.669998,39.250000,38.669998,38.939999,26.943216,871900
2008-04-14,39.000000,39.150002,38.750000,38.930000,26.936295,997800
2008-04-15,39.099998,39.240002,38.880001,39.099998,27.053921,1114500
2008-04-16,39.480000,39.939999,39.119999,39.830002,27.559025,2357300
2008-04-17,39.759998,40.189999,39.709999,39.880001,27.593616,1204800
2008-04-18,40.619999,40.619999,39.930000,40.080002,27.732000,1462100
2008-04-21,39.939999,39.939999,39.459999,39.689999,27.462156,990400
2008-04-22,39.599998,39.619999,39.139999,39.570000,27.379126,1364500
2008-04-23,39.720001,39.910000,39.369999,39.820000,27.552101,1717000
2008-04-24,39.950001,40.070000,39.450001,39.709999,27.475990,1720300
2008-04-25,39.930000,40.000000,39.380001,39.540001,27.358368,1250100
2008-04-28,39.680000,40.139999,39.470001,39.759998,27.510601,1763000
2008-04-29,39.790001,40.000000,39.520000,39.619999,27.413729,1255400
2008-04-30,39.459999,40.410000,39.459999,40.000000,27.676649,2411000
2008-05-01,40.020000,40.459999,39.860001,40.139999,27.773516,2158100
2008-05-02,40.400002,41.049999,40.200001,40.900002,28.299374,2895800
2008-05-05,40.959999,40.959999,40.330002,40.709999,28.167910,1462700
2008-05-06,41.740002,41.740002,40.060001,40.639999,28.119478,1522900
2008-05-07,40.580002,41.160000,40.250000,40.360001,27.925732,1678100
2008-05-08,40.590000,40.590000,39.959999,40.299999,27.884226,1394300
2008-05-09,40.180000,40.459999,39.669998,40.200001,27.815033,1513400
2008-05-12,40.430000,40.689999,40.099998,40.650002,28.126389,1366600
2008-05-13,40.830002,40.900002,40.150002,40.360001,27.925732,1267500
2008-05-14,40.580002,40.910000,40.360001,40.770000,28.209423,1005900
2008-05-15,40.720001,40.759998,40.369999,40.610001,28.098722,1380700
2008-05-16,40.750000,40.750000,40.189999,40.470001,28.001854,1764700
2008-05-19,40.509998,40.900002,40.419998,40.849998,28.264774,1944100
