Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,38.230000,39.799999,38.119999,38.389999,30.645283,28963200
2008-01-03,38.270000,38.389999,37.730000,37.900002,30.254135,15127300
2008-01-04,37.389999,38.220001,36.900002,37.029999,29.559631,29638500
2008-01-07,37.049999,37.310001,35.779999,36.450001,29.096651,27665700
2008-01-08,36.459999,37.450001,35.970001,35.990002,28.729462,27124200
2008-01-09,36.060001,37.869999,36.000000,37.790001,30.166328,27370900
2008-01-10,37.540001,38.790001,37.000000,37.990002,30.325974,22563300
2008-01-11,37.840000,39.070000,37.330002,38.630001,30.836863,32469400
2008-01-14,39.099998,40.580002,39.049999,40.000000,31.930481,29197700
2008-01-15,39.610001,40.000000,39.000000,39.349998,31.411621,19677400
2008-01-16,39.950001,40.270000,39.580002,39.959999,31.898546,29029200
2008-01-17,40.060001,40.200001,38.900002,39.060001,31.180134,23282800
2008-01-18,38.279999,39.740002,38.000000,38.349998,30.613363,29243100
2008-01-22,37.330002,38.349998,35.169998,36.930000,29.479816,29688500
2008-01-23,35.889999,37.590000,35.660000,36.630001,29.240341,40732800
2008-01-24,39.380001,40.950001,38.880001,40.410000,32.257774,46049200
2008-01-25,40.150002,41.000000,39.740002,40.000000,31.930481,24946200
2008-01-28,39.750000,40.680000,39.599998,40.500000,32.329617,13363300
2008-01-29,40.610001,40.619999,39.840000,40.299999,32.169964,14903800
2008-01-30,40.299999,41.060001,39.889999,40.279999,32.153988,16149000
2008-01-31,40.439999,42.660000,40.270000,42.419998,33.862274,31506500
2008-02-01,42.270000,42.549999,41.520000,42.200001,33.686661,21233700
2008-02-04,42.040001,42.500000,41.380001,41.849998,33.407265,12059100
2008-02-05,41.049999,41.730000,40.570000,40.720001,32.505245,20432600
2008-02-06,40.939999,41.000000,39.500000,39.650002,31.651091,19952800
2008-02-07,39.119999,41.470001,38.950001,40.939999,32.680840,29025900
2008-02-08,40.570000,41.950001,40.560001,41.919998,33.463150,20466300
2008-02-11,41.930000,42.400002,41.660000,41.860001,33.415253,18786600
2008-02-12,42.250000,42.310001,40.750000,40.939999,32.680840,22978800
2008-02-13,41.439999,42.349998,41.320000,42.009998,33.534992,17547200
2008-02-14,41.939999,41.980000,40.740002,40.869999,32.624973,15620700
2008-02-15,40.310001,42.270000,40.209999,42.200001,33.686661,21906900
2008-02-19,42.549999,43.189999,41.720001,41.950001,33.487106,18927600
2008-02-20,42.000000,43.490002,41.750000,43.369999,34.620636,18768800
2008-02-21,43.360001,43.590000,42.139999,42.419998,33.862274,17283500
2008-02-22,42.759998,44.849998,42.349998,43.470001,34.700451,25326600
2008-02-25,43.369999,44.259998,43.020000,43.720001,34.900024,18324800
2008-02-26,43.680000,44.389999,43.119999,43.639999,34.836159,17222600
2008-02-27,43.450001,44.220001,43.020000,43.790001,35.068405,14583900
2008-02-28,43.400002,43.930000,43.000000,43.320000,34.692013,11547800
2008-02-29,42.619999,42.900002,42.110001,42.389999,33.947235,19701800
2008-03-03,42.009998,42.119999,40.599998,41.119999,32.930172,22835700
2008-03-04,40.889999,41.320000,40.340000,41.209999,33.002266,20366500
2008-03-05,41.270000,42.110001,40.970001,41.500000,33.234486,15091200
2008-03-06,41.310001,41.509998,40.290001,40.430000,32.377605,13658400
2008-03-07,40.209999,40.689999,39.500000,40.240002,32.225456,17413000
2008-03-10,40.090000,40.250000,39.020000,39.169998,31.368563,16535900
2008-03-11,39.540001,39.919998,37.860001,39.419998,31.568766,29063000
2008-03-12,40.520000,40.750000,39.560001,39.750000,31.833044,23217300
2008-03-13,39.500000,40.520000,38.980000,40.250000,32.233467,17828200
2008-03-14,40.360001,40.509998,38.730000,39.230000,31.416605,27294200
2008-03-17,38.599998,39.580002,38.459999,38.500000,30.832005,20573300
2008-03-18,39.250000,40.189999,38.860001,40.130001,32.137348,17890800
2008-03-19,39.509998,39.709999,37.849998,37.849998,30.311453,27989800
2008-03-20,38.110001,38.290001,36.910000,38.270000,30.647799,37463300
2008-03-24,38.349998,40.070000,38.349998,39.889999,31.945158,19831400
2008-03-25,40.549999,41.000000,39.799999,40.799999,32.673904,22108900
2008-03-26,40.279999,40.630001,39.930000,40.490002,32.425663,14585800
2008-03-27,40.299999,40.470001,39.689999,39.720001,31.809023,12823400
2008-03-28,40.090000,41.340000,39.869999,40.139999,32.145374,15347400
2008-03-31,40.279999,41.189999,39.750000,41.000000,32.834084,19161800
2008-04-01,41.250000,42.360001,40.840000,42.220001,33.811096,27579300
2008-04-02,42.369999,42.459999,41.439999,41.950001,33.594872,20230500
2008-04-03,41.709999,42.340000,41.700001,41.889999,33.546818,15363600
2008-04-04,42.090000,42.660000,41.720001,42.049999,33.674942,15688900
2008-04-07,42.110001,42.349998,41.509998,41.669998,33.370632,12146600
2008-04-08,41.299999,42.270000,41.270000,42.080002,33.698982,14403100
2008-04-09,42.080002,42.189999,41.180000,41.509998,33.242496,12227900
2008-04-10,41.610001,42.759998,41.509998,42.580002,34.099396,16733400
2008-04-11,42.049999,42.369999,41.389999,41.400002,33.154411,15012200
2008-04-14,41.230000,41.840000,41.000000,41.360001,33.122379,8259300
2008-04-15,41.439999,42.000000,40.650002,41.189999,32.986237,10834500
2008-04-16,41.590000,42.450001,41.570000,42.259998,33.843117,16010200
2008-04-17,41.910000,42.220001,41.430000,42.070000,33.690979,13976900
2008-04-18,42.590000,43.000000,42.200001,42.549999,34.075363,29488700
2008-04-21,42.279999,42.700001,42.160000,42.619999,34.131424,16523700
2008-04-22,42.439999,42.439999,41.250000,41.549999,33.274536,16060500
2008-04-23,42.070000,42.310001,41.709999,41.889999,33.546818,18246000
2008-04-24,41.869999,43.919998,41.840000,43.160000,34.563866,20446800
2008-04-25,43.070000,43.480000,42.459999,43.240002,34.627937,14281500
2008-04-28,43.180000,44.009998,43.110001,43.290001,34.667976,14297100
2008-04-29,43.220001,43.900002,43.180000,43.759998,35.044369,11307500
2008-04-30,43.650002,44.000000,43.099998,43.189999,34.587898,15928400
