Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,100.660004,100.860001,98.209999,98.620003,79.212761,360800
2008-01-03,98.849998,100.580002,97.879997,100.580002,80.787048,353300
2008-01-04,99.430000,102.739998,99.430000,101.849998,81.807129,583000
2008-01-07,102.360001,103.650002,100.379997,103.050003,82.770966,670600
2008-01-08,103.370003,103.589996,101.629997,101.980003,81.911530,567500
2008-01-09,101.750000,105.339996,101.730003,105.040001,84.369370,550500
2008-01-10,104.500000,104.849998,102.750000,104.029999,83.558128,569700
2008-01-11,103.099998,104.199997,102.070000,102.980003,82.714745,379000
2008-01-14,103.910004,103.959999,102.150002,103.320000,82.987831,197400
2008-01-15,102.029999,102.150002,100.470001,101.169998,81.260933,350700
2008-01-16,100.970001,101.510002,100.190002,100.470001,80.698677,406500
2008-01-17,100.680000,101.099998,98.400002,98.400002,79.036041,382000
2008-01-18,97.910004,98.400002,94.110001,95.000000,76.305115,934200
2008-01-22,93.260002,95.500000,90.269997,94.940002,76.256935,988500
2008-01-23,92.790001,96.330002,92.000000,96.139999,77.220757,709700
2008-01-24,96.550003,97.339996,95.480003,96.739998,77.702690,610300
2008-01-25,97.779999,97.940002,94.220001,94.440002,75.855316,299700
2008-01-28,94.250000,99.500000,93.400002,99.500000,79.919571,537900
2008-01-29,98.500000,99.660004,96.879997,97.260002,78.120377,654900
2008-01-30,97.209999,100.629997,97.099998,97.209999,78.080193,629400
2008-01-31,95.010002,104.279999,95.010002,101.690002,81.678604,1132900
2008-02-01,101.750000,103.690002,101.470001,103.559998,83.180611,662700
2008-02-04,103.160004,103.650002,101.980003,102.129997,82.032013,436800
2008-02-05,101.430000,102.839996,99.519997,99.599998,79.999901,522900
2008-02-06,100.300003,100.389999,98.260002,98.870003,79.413559,382800
2008-02-07,98.099998,100.279999,97.980003,99.839996,80.192673,395600
2008-02-08,99.779999,100.300003,98.489998,99.120003,79.614357,356900
2008-02-11,99.010002,99.379997,96.019997,96.879997,77.815155,621700
2008-02-12,97.750000,99.750000,97.019997,99.309998,79.766960,433100
2008-02-13,100.500000,100.660004,98.519997,99.610001,80.007927,423100
2008-02-14,99.300003,99.949997,98.559998,98.620003,79.212761,294700
2008-02-15,98.040001,101.519997,97.529999,101.510002,81.534019,407200
2008-02-19,101.750000,102.400002,99.290001,99.449997,79.879410,274900
2008-02-20,99.169998,100.699997,98.699997,100.330002,80.586258,288100
2008-02-21,100.730003,101.370003,99.910004,99.949997,80.281029,316500
2008-02-22,100.050003,101.309998,98.959999,101.190002,81.276985,393700
2008-02-25,100.919998,101.870003,96.900002,98.059998,78.762955,1036700
2008-02-26,97.900002,99.550003,97.440002,99.410004,79.847282,1153700
2008-02-27,98.400002,100.320000,98.400002,99.480003,79.903503,313700
2008-02-28,99.150002,99.489998,97.739998,97.930000,79.039909,438300
2008-02-29,97.360001,98.199997,96.519997,96.879997,78.192429,456500
2008-03-03,96.820000,96.820000,94.559998,95.239998,76.868805,424300
2008-03-04,94.900002,95.879997,94.239998,95.230003,76.860733,672900
2008-03-05,94.809998,95.510002,94.250000,94.800003,76.513672,489700
2008-03-06,94.480003,95.129997,93.660004,93.660004,75.593575,426800
2008-03-07,92.660004,94.379997,92.500000,93.849998,75.746887,575000
2008-03-10,94.000000,95.080002,93.139999,93.139999,75.173859,472800
2008-03-11,94.910004,95.510002,93.129997,95.029999,76.699295,447900
2008-03-12,95.389999,95.510002,93.470001,93.480003,75.448273,416500
2008-03-13,92.529999,93.860001,92.449997,93.370003,75.359489,574400
2008-03-14,93.209999,93.370003,89.360001,89.830002,72.502327,1575800
2008-03-17,88.080002,88.760002,86.629997,87.019997,70.234352,1088500
2008-03-18,88.970001,89.400002,85.410004,87.199997,70.379669,1325800
2008-03-19,87.919998,90.660004,87.919998,88.419998,71.364326,986900
2008-03-20,88.660004,89.910004,88.400002,89.769997,72.453903,715700
2008-03-24,90.110001,90.879997,88.839996,88.970001,71.808273,339300
2008-03-25,89.300003,91.650002,88.900002,91.250000,73.648430,573100
2008-03-26,90.949997,91.580002,89.690002,89.690002,72.389343,654700
2008-03-27,89.690002,90.370003,88.790001,88.809998,71.679070,852800
2008-03-28,89.000000,89.529999,88.410004,88.610001,71.517654,377300
2008-03-31,88.980003,89.599998,88.349998,89.529999,72.260216,702500
2008-04-01,90.529999,93.709999,90.250000,93.709999,75.633926,699100
2008-04-02,94.190002,94.190002,90.599998,93.510002,75.472504,692300
2008-04-03,93.730003,94.559998,93.059998,94.209999,76.037460,329900
2008-04-04,94.430000,94.550003,92.580002,92.769997,74.875237,187700
2008-04-07,93.489998,94.180000,92.949997,94.070000,75.924484,393000
2008-04-08,93.230003,93.680000,92.550003,92.830002,74.923653,512900
2008-04-09,93.139999,93.550003,92.589996,92.709999,74.826797,395000
2008-04-10,92.529999,95.070000,92.529999,94.809998,76.521744,598300
2008-04-11,94.209999,96.980003,94.209999,95.730003,77.264290,589200
2008-04-14,95.529999,96.480003,95.169998,95.760002,77.288506,582800
2008-04-15,96.480003,96.550003,94.730003,95.440002,77.030190,428100
2008-04-16,96.000000,96.000000,94.779999,95.839996,77.353027,486100
2008-04-17,95.730003,96.690002,95.320000,96.339996,77.756599,459700
2008-04-18,97.449997,98.190002,95.709999,96.690002,78.039085,499400
2008-04-21,95.889999,96.010002,94.379997,94.489998,76.263443,464900
2008-04-22,90.150002,92.320000,89.309998,92.099998,74.334480,1898100
2008-04-23,92.269997,92.860001,90.680000,91.139999,73.559639,889300
2008-04-24,91.800003,92.739998,91.000000,91.699997,74.011642,839000
2008-04-25,91.449997,91.900002,90.230003,91.750000,74.052002,475800
2008-04-28,91.449997,91.720001,90.769997,91.050003,73.487007,416700
2008-04-29,90.769997,90.870003,90.040001,90.489998,73.035004,699700
2008-04-30,90.790001,91.360001,90.019997,90.349998,72.922020,656600
2008-05-01,90.400002,92.940002,90.400002,92.669998,74.794548,361300
2008-05-02,93.110001,93.110001,91.849998,92.430000,74.600822,354800
2008-05-05,91.639999,92.389999,90.500000,91.199997,73.608086,522200
2008-05-06,90.669998,91.599998,90.430000,91.360001,73.737228,270600
2008-05-07,90.849998,91.970001,88.360001,88.360001,71.315903,521000
2008-05-08,88.470001,90.099998,87.519997,89.419998,72.171440,446000
2008-05-09,88.370003,90.379997,88.360001,90.290001,72.873611,317400
2008-05-12,90.330002,91.930000,90.040001,91.629997,73.955139,285100
2008-05-13,91.250000,91.400002,90.370003,90.769997,73.261032,326500
2008-05-14,91.129997,91.790001,90.830002,91.570000,73.906708,705900
2008-05-15,91.459999,91.860001,91.120003,91.720001,74.027771,245900
2008-05-16,91.889999,92.239998,90.860001,91.180000,73.591957,290200
2008-05-19,91.389999,91.820000,90.559998,90.669998,73.180336,240900
2008-05-20,90.540001,90.980003,90.169998,90.870003,73.341736,373500
2008-05-21,90.690002,90.860001,89.769997,89.769997,72.838661,379000
2008-05-22,89.559998,90.059998,88.510002,89.830002,72.887367,365800
2008-05-23,89.190002,89.610001,88.800003,88.949997,72.173317,334500
2008-05-27,88.970001,89.809998,88.970001,89.570000,72.676369,411900
2008-05-28,89.650002,89.669998,87.160004,87.360001,70.883202,717800
2008-05-29,86.860001,88.680000,86.820000,88.199997,71.564789,608000
2008-05-30,87.790001,88.239998,87.330002,87.720001,71.175293,542400
2008-06-02,87.660004,87.970001,87.000000,87.150002,70.712799,414900
2008-06-03,87.209999,88.610001,86.800003,87.470001,70.972473,429200
2008-06-04,86.980003,87.680000,86.750000,87.059998,70.639801,418400
2008-06-05,86.820000,88.330002,86.720001,88.330002,71.670273,533100
2008-06-06,87.830002,87.830002,86.449997,86.449997,70.144852,462200
2008-06-09,86.540001,87.440002,86.239998,86.620003,70.282799,403100
2008-06-10,86.209999,87.550003,85.830002,86.639999,70.299019,465100
2008-06-11,86.919998,87.040001,85.260002,85.260002,69.179283,389700
2008-06-12,85.540001,86.620003,84.839996,86.050003,69.820305,497200
2008-06-13,86.320000,86.370003,84.720001,85.639999,69.487617,537400
2008-06-16,85.000000,85.459999,84.900002,85.300003,69.211761,286200
2008-06-17,85.730003,85.730003,84.690002,84.860001,68.854713,498000
2008-06-18,84.610001,84.989998,84.000000,84.180000,68.302986,496500
2008-06-19,84.349998,84.349998,83.309998,84.000000,68.156952,862600
2008-06-20,83.690002,84.589996,83.620003,83.660004,67.881065,562100
2008-06-23,83.769997,84.860001,83.050003,83.059998,67.394249,403900
2008-06-24,83.150002,85.709999,82.989998,84.559998,68.611313,665800
2008-06-25,84.669998,85.480003,84.400002,84.620003,68.660027,320000
2008-06-26,84.139999,84.519997,81.720001,81.720001,66.306961,666700
2008-06-27,81.709999,81.910004,80.000000,80.139999,65.024940,574400
2008-06-30,79.889999,80.559998,79.709999,79.709999,64.676056,317700
2008-07-01,79.500000,80.250000,78.860001,79.889999,64.822105,425300
2008-07-02,79.629997,80.570000,79.419998,79.550003,64.546234,395200
2008-07-03,79.389999,80.220001,78.599998,78.900002,64.018829,169700
2008-07-07,79.190002,79.190002,76.750000,76.750000,62.274357,457300
2008-07-08,76.620003,80.629997,76.620003,80.430000,65.260277,732600
2008-07-09,80.750000,81.230003,78.589996,78.930000,64.043167,621100
2008-07-10,78.839996,80.120003,78.320000,78.949997,64.059410,629000
2008-07-11,78.190002,79.089996,76.019997,76.580002,62.136436,777600
2008-07-14,77.360001,77.650002,75.790001,75.940002,61.617115,645300
2008-07-15,75.860001,76.500000,74.239998,74.690002,60.602890,508100
2008-07-16,74.980003,77.690002,74.000000,77.690002,63.037075,471900
2008-07-17,77.730003,78.500000,76.120003,78.500000,63.694294,424100
2008-07-18,78.419998,79.019997,77.430000,78.779999,63.921448,363600
2008-07-21,78.699997,79.010002,77.629997,78.000000,63.288593,487800
2008-07-22,76.029999,80.430000,73.650002,80.370003,65.211609,1067900
2008-07-23,79.959999,80.190002,78.550003,79.470001,64.481346,928800
2008-07-24,79.349998,79.349998,77.750000,77.800003,63.126289,729300
2008-07-25,78.300003,78.300003,76.589996,77.080002,62.542088,557500
2008-07-28,77.129997,81.150002,77.129997,80.709999,65.487457,1331900
2008-07-29,81.000000,82.800003,80.589996,82.800003,67.183258,870600
2008-07-30,82.959999,83.440002,81.620003,82.629997,67.045334,495000
2008-07-31,81.970001,82.730003,81.389999,81.800003,66.371895,567200
2008-08-01,82.529999,82.739998,80.849998,82.220001,66.712662,536400
2008-08-04,82.389999,83.000000,81.040001,81.980003,66.517937,360300
2008-08-05,82.809998,83.000000,81.849998,83.000000,67.345551,478100
2008-08-06,82.699997,83.500000,82.110001,83.279999,67.572731,459800
2008-08-07,82.449997,83.180000,82.250000,82.599998,67.020981,692000
2008-08-08,82.760002,83.430000,82.379997,83.430000,67.694443,421300
2008-08-11,83.250000,83.769997,83.019997,83.769997,67.970329,426000
2008-08-12,82.519997,83.680000,82.029999,82.440002,66.891159,574000
2008-08-13,82.320000,82.730003,81.239998,81.949997,66.493584,551600
2008-08-14,81.849998,82.349998,81.269997,82.279999,66.761330,472900
2008-08-15,82.309998,83.489998,82.250000,83.070000,67.402344,506000
2008-08-18,83.709999,83.750000,81.690002,82.019997,66.550392,505400
2008-08-19,81.900002,82.559998,80.989998,81.300003,65.966179,342900
2008-08-20,81.000000,81.669998,80.330002,81.489998,66.120323,309500
2008-08-21,80.910004,81.570000,80.160004,81.129997,66.218292,373400
2008-08-22,81.300003,82.120003,81.300003,82.120003,67.026321,258200
2008-08-25,81.300003,81.919998,81.070000,81.489998,66.512115,305800
2008-08-26,81.150002,81.769997,80.769997,81.580002,66.585594,438600
2008-08-27,81.809998,82.330002,81.419998,82.169998,67.067131,321700
2008-08-28,82.290001,83.040001,81.769997,83.040001,67.777237,358400
2008-08-29,82.959999,83.239998,82.019997,82.129997,67.034477,339600
2008-09-02,83.000000,83.309998,81.769997,82.690002,67.491554,276100
2008-09-03,82.260002,83.690002,82.260002,83.150002,67.867020,343000
2008-09-04,83.110001,83.309998,80.849998,80.849998,65.989738,611800
2008-09-05,79.910004,80.360001,79.050003,79.449997,64.847076,747000
2008-09-08,80.889999,81.250000,79.279999,81.250000,66.316223,736300
2008-09-09,80.510002,82.309998,79.730003,79.730003,65.075630,657500
2008-09-10,79.959999,80.610001,79.040001,80.019997,65.312317,383400
2008-09-11,78.419998,79.389999,78.139999,79.029999,64.504265,321000
2008-09-12,78.379997,79.629997,78.320000,78.489998,64.063507,354000
2008-09-15,76.330002,81.449997,76.330002,78.120003,63.761532,777100
2008-09-16,75.989998,82.470001,75.989998,82.309998,67.181412,879100
2008-09-17,81.250000,84.500000,80.489998,80.489998,65.695923,800600
2008-09-18,81.260002,82.970001,78.419998,82.820000,67.597664,1051800
2008-09-19,92.110001,95.000000,74.949997,95.000000,77.538979,832700
2008-09-22,88.000000,89.000000,82.250000,85.760002,69.997307,917200
2008-09-23,86.760002,86.760002,81.089996,82.430000,67.279373,264400
2008-09-24,83.500000,83.860001,80.750000,80.750000,65.908112,194800
2008-09-25,81.000000,84.570000,80.239998,84.300003,68.805649,236800
2008-09-26,84.500000,85.839996,80.500000,80.500000,65.704102,224100
2008-09-29,80.230003,83.129997,73.279999,80.000000,65.295990,549100
2008-09-30,80.510002,89.379997,78.050003,86.529999,70.625771,458300
2008-10-01,85.949997,87.199997,79.220001,82.080002,66.993690,421900
2008-10-02,83.750000,83.750000,71.419998,72.769997,59.394852,536500
2008-10-03,75.000000,81.440002,74.410004,76.050003,62.071999,422600
2008-10-06,75.750000,83.150002,70.250000,81.000000,66.112175,618200
2008-10-07,80.440002,81.849998,72.510002,72.599998,59.256104,521200
2008-10-08,71.349998,76.489998,69.860001,72.500000,59.174484,872600
2008-10-09,72.550003,73.000000,65.370003,65.849998,53.746750,1002500
2008-10-10,64.599998,67.000000,54.770000,60.750000,49.584137,1292700
2008-10-13,62.520000,74.279999,62.110001,74.059998,60.447758,261400
2008-10-14,75.790001,75.790001,70.470001,73.930000,60.341640,785700
2008-10-15,72.959999,72.959999,65.650002,66.000000,53.869190,564900
2008-10-16,65.250000,65.250000,57.560001,62.770000,51.232857,721400
2008-10-17,62.130001,66.250000,60.500000,64.790001,52.881588,775000
2008-10-20,65.000000,65.970001,63.299999,64.720001,52.824444,725400
2008-10-21,63.660000,69.989998,62.830002,66.500000,54.277290,1419200
2008-10-22,64.919998,69.360001,63.520000,69.010002,56.325954,878100
2008-10-23,69.309998,74.750000,68.150002,72.290001,59.003078,1378700
2008-10-24,68.650002,77.930000,66.230003,74.650002,60.929321,1190500
2008-10-27,74.669998,77.959999,71.010002,71.010002,57.958351,1055300
2008-10-28,72.040001,74.809998,70.250000,74.620003,60.904808,989500
2008-10-29,72.620003,77.389999,72.620003,73.510002,59.998859,1303600
2008-10-30,74.489998,75.000000,66.449997,68.150002,55.624008,1953100
2008-10-31,66.930000,75.000000,66.599998,74.699997,60.970146,1488400
2008-11-03,74.199997,74.980003,72.500000,73.580002,60.055984,548800
2008-11-04,73.720001,75.419998,73.099998,74.230003,60.586529,502200
2008-11-05,73.680000,75.000000,69.199997,69.250000,56.521832,469300
2008-11-06,68.000000,70.459999,66.620003,67.889999,55.411812,574300
2008-11-07,68.190002,70.660004,67.750000,70.650002,57.664509,494700
2008-11-10,71.750000,71.750000,66.370003,66.690002,54.432369,538100
2008-11-11,66.489998,68.379997,64.650002,66.110001,53.958958,505200
2008-11-12,65.730003,67.370003,64.879997,64.879997,52.955036,428100
2008-11-13,65.300003,71.089996,63.150002,70.860001,57.835922,990200
2008-11-14,69.230003,72.779999,68.400002,69.470001,56.701412,658200
2008-11-17,69.000000,70.150002,66.610001,67.379997,54.995544,629700
2008-11-18,67.540001,68.900002,64.970001,66.919998,54.620087,704000
2008-11-19,66.459999,67.199997,62.340000,62.380001,50.914547,761900
2008-11-20,61.959999,65.400002,60.009998,61.500000,50.585533,1148300
2008-11-21,62.990002,70.529999,60.500000,70.000000,57.577015,1372300
2008-11-24,71.150002,74.860001,68.529999,73.790001,60.694435,1049900
2008-11-25,74.150002,75.510002,71.489998,73.839996,60.735538,784700
2008-11-26,73.370003,79.099998,72.699997,77.529999,63.770679,747500
2008-11-28,77.449997,80.099998,76.500000,78.459999,64.535652,675600
2008-12-01,77.739998,77.739998,69.930000,70.389999,57.897808,768800
2008-12-02,70.900002,73.870003,70.220001,73.849998,60.743752,673500
2008-12-03,72.400002,77.040001,72.000000,76.889999,63.244259,860100
2008-12-04,75.400002,77.839996,72.690002,74.209999,61.039856,887400
2008-12-05,73.209999,79.500000,73.129997,79.449997,65.349937,953600
2008-12-08,79.699997,81.879997,78.690002,80.080002,65.868126,693700
2008-12-09,79.500000,79.500000,76.070000,76.800003,63.170231,702800
2008-12-10,77.150002,78.480003,75.110001,77.760002,63.959835,459500
2008-12-11,77.050003,79.489998,74.260002,74.599998,61.360664,665000
2008-12-12,73.529999,76.620003,71.500000,76.300003,62.758957,879400
2008-12-15,76.389999,77.010002,73.870003,75.080002,61.755478,586300
2008-12-16,76.529999,79.680000,75.169998,79.680000,65.539116,662900
2008-12-17,78.300003,79.300003,76.010002,76.449997,62.882339,443300
2008-12-18,76.839996,78.879997,76.320000,77.930000,64.099686,636700
2008-12-19,78.199997,79.989998,76.440002,77.400002,63.663742,933600
2008-12-22,77.400002,77.699997,75.449997,76.239998,62.709602,415500
2008-12-23,76.180000,78.370003,75.760002,75.870003,62.405262,413300
2008-12-24,75.699997,76.080002,74.830002,75.949997,62.471073,98300
2008-12-26,76.360001,76.440002,75.199997,75.739998,62.298344,188000
2008-12-29,75.500000,76.160004,74.870003,75.430000,62.043365,338700
2008-12-30,76.169998,77.099998,74.410004,77.029999,63.359425,509300
2008-12-31,77.209999,77.709999,75.660004,76.139999,62.627357,496400
2009-01-02,77.000000,77.199997,74.849998,76.540001,62.956390,372100
2009-01-05,76.070000,76.070000,74.370003,75.459999,62.068031,573600
2009-01-06,75.440002,76.500000,74.150002,76.489998,62.915253,797400
2009-01-07,75.300003,77.190002,74.160004,74.419998,61.212608,639000
2009-01-08,74.410004,76.419998,74.279999,75.099998,61.771927,572000
2009-01-09,75.440002,75.769997,73.449997,74.080002,60.932949,444400
2009-01-12,74.190002,74.239998,72.000000,72.769997,59.855431,396900
2009-01-13,72.250000,73.889999,71.580002,73.470001,60.431210,762100
2009-01-14,72.459999,72.919998,70.510002,70.940002,58.350216,550100
2009-01-15,70.720001,73.690002,69.300003,72.279999,59.452377,1017700
2009-01-16,73.300003,74.599998,71.849998,73.839996,60.735538,970600
2009-01-20,72.400002,73.279999,68.239998,68.360001,56.228077,1059900
2009-01-21,69.610001,69.900002,67.769997,69.779999,57.396069,1535600
2009-01-22,68.650002,69.010002,65.220001,65.389999,53.785168,1104900
2009-01-23,64.260002,65.690002,62.580002,65.599998,53.957890,665400
2009-01-26,66.230003,66.730003,64.309998,65.279999,53.694695,366700
2009-01-27,65.550003,66.500000,64.349998,66.349998,54.574810,487700
2009-01-28,65.970001,68.300003,65.970001,68.209999,56.104710,723100
2009-01-29,67.360001,67.360001,64.540001,64.790001,53.291656,963800
2009-01-30,64.610001,64.910004,62.820000,63.000000,51.819321,1192700
2009-02-02,62.590000,63.419998,61.880001,62.990002,51.811104,1075800
2009-02-03,63.459999,64.419998,61.660000,63.700001,52.395092,882200
2009-02-04,64.230003,64.550003,62.950001,63.689999,52.386868,792600
2009-02-05,63.259998,65.470001,62.970001,64.870003,53.357468,784400
2009-02-06,64.870003,66.339996,64.040001,64.639999,53.168274,959400
2009-02-09,64.370003,65.779999,64.019997,65.589996,53.949673,617700
2009-02-10,65.330002,65.449997,62.080002,62.330002,51.268238,768400
2009-02-11,62.759998,64.660004,62.369999,64.580002,53.118923,627300
2009-02-12,67.000000,72.160004,66.860001,71.209999,58.572292,1543500
2009-02-13,71.040001,72.519997,70.309998,71.750000,59.016468,1240400
2009-02-17,70.180000,71.949997,68.919998,70.199997,57.741520,1125800
2009-02-18,70.599998,73.400002,70.029999,72.389999,59.542866,1154300
2009-02-19,72.959999,74.980003,71.309998,71.349998,58.687454,2530100
2009-02-20,70.629997,71.230003,67.650002,68.360001,56.228077,1190300
2009-02-23,68.720001,69.110001,66.540001,67.059998,55.158791,1352400
2009-02-24,67.629997,69.309998,66.779999,69.239998,56.951893,1738000
2009-02-25,68.540001,69.410004,66.349998,67.860001,55.816814,837400
2009-02-26,68.570000,68.870003,65.650002,66.250000,54.492550,692800
2009-02-27,65.209999,67.459999,64.110001,65.129997,53.571308,1349700
2009-03-02,64.400002,65.410004,62.779999,62.900002,52.121204,841600
2009-03-03,64.080002,64.919998,60.540001,61.430000,50.903103,1400900
2009-03-04,62.110001,63.560001,60.419998,62.130001,51.483154,1088400
2009-03-05,61.029999,62.009998,58.090000,58.689999,48.632645,852500
2009-03-06,58.560001,61.980000,58.560001,61.840000,51.242844,1018700
2009-03-09,61.290001,62.650002,60.470001,61.540001,50.994244,670400
2009-03-10,61.980000,63.630001,60.529999,63.560001,52.668098,986300
2009-03-11,64.019997,64.169998,61.320000,62.930000,52.146065,796000
2009-03-12,62.009998,64.940002,60.830002,64.540001,53.480164,805200
2009-03-13,64.650002,65.449997,63.119999,65.339996,54.143066,626600
2009-03-16,66.040001,67.769997,65.260002,65.529999,54.300518,831500
2009-03-17,65.000000,67.580002,64.470001,67.540001,55.966068,620800
2009-03-18,66.470001,69.510002,66.239998,69.510002,57.598480,890800
2009-03-19,70.120003,70.239998,66.650002,66.839996,55.386017,731700
2009-03-20,66.989998,68.790001,66.470001,67.150002,55.642899,660700
2009-03-23,68.820000,72.300003,67.739998,72.300003,59.910370,1046200
2009-03-24,68.489998,72.750000,68.489998,69.470001,57.565323,842100
2009-03-25,71.290001,71.290001,67.040001,70.050003,58.045956,637100
2009-03-26,70.809998,71.610001,69.279999,71.430000,59.189449,721300
2009-03-27,70.000000,72.410004,69.849998,71.379997,59.148029,589000
2009-03-30,70.000000,71.669998,68.519997,69.610001,57.681362,694600
2009-03-31,70.739998,71.169998,68.070000,70.800003,58.667419,804600
2009-04-01,69.680000,72.980003,69.160004,72.370003,59.968391,528100
2009-04-02,73.250000,74.580002,70.849998,71.629997,59.355186,846300
2009-04-03,71.440002,72.980003,70.349998,72.919998,60.424149,447600
2009-04-06,72.190002,75.540001,71.940002,75.080002,62.213993,689900
2009-04-07,73.739998,75.300003,73.599998,74.080002,61.385368,419600
2009-04-08,75.669998,75.669998,73.970001,75.029999,62.172546,359700
2009-04-09,76.180000,76.180000,72.769997,74.760002,61.948826,1211200
2009-04-13,74.300003,76.320000,74.019997,75.540001,62.595150,854500
2009-04-14,75.540001,75.540001,72.139999,72.209999,59.835819,849100
2009-04-15,71.800003,75.330002,71.199997,75.169998,62.288574,842200
2009-04-16,75.290001,75.919998,73.019997,74.190002,61.476498,764000
2009-04-17,74.339996,74.339996,72.379997,72.629997,60.183823,968500
2009-04-20,71.540001,73.139999,69.500000,69.599998,57.673050,853800
2009-04-21,69.250000,73.860001,66.250000,73.680000,61.053905,985700
2009-04-22,72.269997,72.489998,70.309998,70.639999,58.534851,852100
2009-04-23,71.620003,71.620003,68.400002,71.190002,58.990593,836100
2009-04-24,71.580002,72.160004,69.580002,71.470001,59.222607,717300
2009-04-27,70.680000,73.059998,70.379997,71.699997,59.413193,591000
2009-04-28,70.930000,75.559998,70.930000,73.129997,60.598137,696600
2009-04-29,73.040001,74.750000,72.500000,73.400002,60.821877,860800
2009-04-30,73.800003,75.209999,71.860001,74.639999,61.849380,1302000
2009-05-01,74.809998,75.599998,73.489998,74.620003,61.832817,732400
2009-05-04,74.339996,75.690002,71.889999,75.360001,62.445992,1502100
2009-05-05,71.250000,74.290001,71.250000,71.440002,59.197758,753700
2009-05-06,71.540001,72.470001,70.050003,71.169998,58.974003,1145700
2009-05-07,70.129997,71.279999,69.250000,69.440002,57.540482,874800
2009-05-08,70.529999,73.540001,69.910004,72.949997,60.448994,907300
2009-05-11,69.129997,72.070000,69.129997,69.739998,57.789066,632600
2009-05-12,70.260002,73.050003,69.940002,71.790001,59.487766,710700
2009-05-13,71.169998,72.989998,70.889999,71.010002,58.841427,767700
2009-05-14,71.120003,72.089996,70.199997,70.860001,58.717152,781900
2009-05-15,70.480003,70.870003,68.110001,68.760002,56.976997,766300
2009-05-18,69.720001,70.459999,67.250000,70.110001,58.095673,1114500
2009-05-19,69.779999,70.059998,67.070000,67.199997,55.684330,1021400
2009-05-20,67.779999,68.230003,66.660004,66.809998,55.361168,1233900
2009-05-21,66.699997,67.849998,66.610001,67.610001,56.024067,662900
2009-05-22,67.720001,68.190002,66.389999,66.580002,55.565063,611400
2009-05-26,66.150002,68.519997,65.019997,68.330002,57.025558,1133000
2009-05-27,68.070000,68.400002,66.239998,66.360001,55.381458,811000
2009-05-28,66.589996,67.510002,66.300003,67.339996,56.199326,704000
2009-05-29,66.820000,69.300003,66.820000,69.230003,57.776653,858100
2009-06-01,69.639999,71.900002,69.500000,71.440002,59.621033,870800
2009-06-02,72.139999,73.900002,71.199997,73.489998,61.331886,904700
2009-06-03,73.790001,73.790001,72.209999,73.019997,60.939648,615700
2009-06-04,73.230003,73.550003,72.419998,73.370003,61.231731,683300
2009-06-05,74.500000,74.639999,72.809998,74.300003,62.007862,606500
2009-06-08,73.839996,74.019997,72.660004,73.120003,61.023098,608600
2009-06-09,73.169998,73.480003,72.589996,73.070000,60.981369,541000
2009-06-10,73.320000,73.480003,72.160004,72.529999,60.530697,400400
2009-06-11,71.959999,72.580002,71.449997,71.849998,59.963207,385600
2009-06-12,71.669998,71.860001,70.529999,71.040001,59.287216,276700
2009-06-15,70.500000,70.699997,69.879997,70.139999,58.536114,365600
2009-06-16,70.480003,71.080002,69.339996,69.360001,57.885155,329500
2009-06-17,69.400002,70.860001,69.309998,69.620003,58.102139,542600
2009-06-18,69.620003,70.570000,69.419998,69.790001,58.243999,523400
2009-06-19,70.260002,70.419998,69.480003,69.910004,58.344177,441600
2009-06-22,69.400002,70.339996,69.029999,69.820000,58.269043,775400
2009-06-23,69.760002,70.209999,69.230003,69.650002,58.127155,519700
2009-06-24,70.010002,70.209999,69.269997,70.040001,58.452644,539500
2009-06-25,69.650002,70.120003,69.029999,70.099998,58.502720,548900
2009-06-26,70.110001,70.720001,69.910004,69.980003,58.402576,931800
2009-06-29,70.199997,71.360001,69.879997,71.360001,59.554276,610000
2009-06-30,71.389999,71.730003,70.879997,71.570000,59.729523,581000
2009-07-01,71.750000,72.860001,71.489998,72.430000,60.447231,432200
2009-07-02,71.959999,72.480003,70.000000,70.000000,58.419266,482000
2009-07-06,71.000000,72.139999,70.400002,72.000000,60.088390,801200
2009-07-07,72.160004,72.660004,71.580002,71.669998,59.812988,542700
2009-07-08,71.849998,72.720001,71.760002,72.529999,60.530697,687400
2009-07-09,73.059998,73.129997,72.269997,72.610001,60.597458,292300
2009-07-10,72.449997,72.940002,71.959999,72.559998,60.555763,305200
2009-07-13,73.120003,74.709999,73.120003,74.699997,62.341698,641800
2009-07-14,74.599998,75.500000,74.199997,75.410004,62.934246,416200
2009-07-15,75.599998,77.000000,75.489998,76.889999,64.169365,566100
2009-07-16,76.879997,77.480003,75.410004,77.080002,64.327957,540700
2009-07-17,77.169998,77.860001,76.720001,76.989998,64.252838,480400
2009-07-20,76.949997,77.330002,75.910004,76.180000,63.576866,532800
2009-07-21,76.470001,77.389999,76.139999,77.360001,64.561630,438100
