Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,8.922500,8.975000,8.530000,8.550000,7.547265,1436800
2008-01-03,8.585000,8.667500,8.210000,8.265000,7.295690,1702400
2008-01-04,8.222500,8.227500,7.822500,7.982500,7.046322,2531200
2008-01-07,8.062500,8.372500,7.980000,8.120000,7.167696,1954000
2008-01-08,8.197500,8.375000,7.915000,7.935000,7.004394,1676400
2008-01-09,7.950000,8.015000,7.595000,7.875000,6.951429,2144800
2008-01-10,7.855000,8.232500,7.722500,8.045000,7.101493,2182400
2008-01-11,7.915000,7.970000,7.572500,7.635000,6.739576,2880800
2008-01-14,7.650000,7.845000,7.517500,7.820000,6.902882,2009200
2008-01-15,7.665000,7.735000,7.560000,7.632500,6.737370,1414000
2008-01-16,7.375000,8.015000,7.305000,7.827500,6.909501,3394800
2008-01-17,7.827500,8.032500,7.472500,7.565000,6.677786,3482000
2008-01-18,7.577500,7.862500,7.365000,7.372500,6.507863,3160000
2008-01-22,7.077500,7.737500,7.002500,7.610000,6.717509,4602800
2008-01-23,7.380000,8.530000,7.272500,8.430000,7.441341,6788000
2008-01-24,8.390000,8.700000,8.127500,8.220000,7.255969,3410800
2008-01-25,8.237500,8.362500,8.120000,8.252500,7.284657,2300000
2008-01-28,8.295000,8.542500,8.070000,8.510000,7.511961,1942000
2008-01-29,8.537500,8.875000,8.400000,8.807500,7.774566,2204800
2008-01-30,8.870000,8.870000,8.345000,8.412500,7.425894,3054800
2008-01-31,8.875000,9.972500,8.750000,9.635000,8.505020,12055200
2008-02-01,9.715000,10.072500,9.547500,9.947500,8.780869,3431600
2008-02-04,9.975000,9.975000,9.652500,9.742500,8.599912,2513600
2008-02-05,9.550000,9.792500,9.432500,9.455000,8.346130,2105200
2008-02-06,9.530000,9.750000,9.375000,9.470000,8.359367,2382800
2008-02-07,9.397500,10.025000,9.390000,9.872500,8.714665,2846000
2008-02-08,9.855000,10.312500,9.840000,10.067500,8.886797,2618000
2008-02-11,10.110000,10.390000,9.945000,10.360000,9.144991,2466400
2008-02-12,10.395000,10.492500,10.125000,10.210000,9.012586,1905200
2008-02-13,10.245000,10.392500,10.160000,10.320000,9.109682,1189600
2008-02-14,10.320000,10.387500,9.985000,10.045000,8.866937,1749600
2008-02-15,10.017500,10.037500,9.797500,9.932500,8.767630,1530400
2008-02-19,9.985000,10.110000,9.642500,9.685000,8.549159,1331600
2008-02-20,9.620000,9.725000,9.475000,9.687500,8.551362,2876000
2008-02-21,9.755000,9.882500,9.440000,9.507500,8.392472,1716800
2008-02-22,9.500000,9.670000,9.427500,9.640000,8.509437,1233200
2008-02-25,9.570000,9.975000,9.457500,9.920000,8.756593,1452800
2008-02-26,9.987500,10.297500,9.815000,10.250000,9.047892,1699200
2008-02-27,10.155000,10.287500,9.992500,10.130000,8.941968,1079200
2008-02-28,10.137500,10.155000,9.795000,9.795000,8.646256,1098000
2008-02-29,9.760000,9.777500,9.305000,9.360000,8.262269,1832400
2008-03-03,9.322500,9.627500,9.125000,9.547500,8.427781,1573600
2008-03-04,9.435000,9.620000,9.240000,9.525000,8.407921,1948400
2008-03-05,9.530000,9.855000,9.437500,9.590000,8.465296,1116400
2008-03-06,9.577500,9.617500,9.080000,9.107500,8.039383,979600
2008-03-07,9.075000,9.377500,9.002500,9.110000,8.041590,1107200
2008-03-10,9.162500,9.222500,8.892500,8.892500,7.849598,1129200
2008-03-11,9.062500,9.350000,9.062500,9.280000,8.191654,1002000
2008-03-12,9.302500,9.577500,9.112500,9.270000,8.182828,1003600
2008-03-13,9.085000,9.430000,8.870000,9.312500,8.220343,2295600
2008-03-14,9.130000,9.312500,8.767500,9.180000,8.103383,1886000
2008-03-17,8.970000,9.470000,8.945000,9.387500,8.286547,2406400
2008-03-18,9.580000,9.995000,9.580000,9.952500,8.785284,2322400
2008-03-19,9.952500,10.267500,9.885000,9.980000,8.809560,2360400
2008-03-20,10.017500,10.345000,9.885000,10.305000,9.096441,1935200
2008-03-24,10.365000,10.812500,10.252500,10.495000,9.264159,2978400
2008-03-25,10.602500,10.702500,10.355000,10.525000,9.290640,1462800
2008-03-26,10.647500,10.647500,10.310000,10.415000,9.193542,1077200
2008-03-27,10.497500,10.515000,10.112500,10.142500,8.953002,1237600
2008-03-28,10.217500,10.217500,9.782500,9.850000,8.694806,1799200
2008-03-31,9.757500,10.025000,9.757500,9.880000,8.721285,2506000
