Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,69.379997,70.139999,66.540001,66.809998,62.964588,4073200
2008-01-03,66.690002,68.089996,66.389999,67.809998,63.907047,2721500
2008-01-04,66.980003,67.540001,65.089996,65.459999,61.692287,2261000
2008-01-07,65.730003,65.839996,60.160000,62.869999,59.251369,7565800
2008-01-08,63.060001,63.470001,60.220001,60.490002,57.008343,3561100
2008-01-09,60.430000,62.130001,59.389999,62.000000,58.431450,2716600
2008-01-10,61.500000,62.630001,60.660000,61.779999,58.224106,2466500
2008-01-11,61.099998,61.279999,58.639999,59.080002,55.679516,3260100
2008-01-14,59.439999,60.590000,59.400002,60.419998,56.942406,2489500
2008-01-15,59.500000,60.400002,58.900002,58.950001,55.556992,2635300
2008-01-16,58.560001,60.180000,58.270000,58.919998,55.528713,3078600
2008-01-17,59.680000,59.790001,54.560001,55.040001,51.872055,4003100
2008-01-18,55.040001,56.650002,53.169998,53.500000,50.420673,5737700
2008-01-22,47.509998,53.650002,47.500000,53.080002,50.024868,6152900
2008-01-23,51.209999,54.669998,50.290001,54.660000,51.513924,4943800
2008-01-24,51.509998,55.509998,50.830002,51.259998,48.309605,9616900
2008-01-25,53.980000,55.000000,52.669998,53.360001,50.288742,6685300
2008-01-28,53.160000,53.810001,52.570000,53.770000,50.675156,2714800
2008-01-29,54.299999,55.000000,53.980000,54.880001,51.721264,2799800
2008-01-30,54.750000,56.270000,53.459999,55.049999,51.881474,2786700
2008-01-31,53.689999,56.700001,53.380001,56.110001,52.880447,2658700
2008-02-01,56.180000,57.369999,55.540001,57.259998,53.964252,1688400
2008-02-04,57.990002,57.990002,56.700001,57.250000,53.954845,1400100
2008-02-05,56.150002,56.520000,54.880001,54.880001,51.721264,1950100
2008-02-06,55.360001,56.130001,54.290001,54.439999,51.306576,2379100
2008-02-07,54.250000,56.610001,54.090000,56.240002,53.002975,2390300
2008-02-08,55.849998,56.540001,55.060001,55.880001,52.663712,2224300
2008-02-11,55.820000,56.639999,55.220001,56.439999,53.191475,1160900
2008-02-12,56.680000,57.840000,56.070000,56.400002,53.153759,1781700
2008-02-13,57.000000,57.779999,56.720001,57.480000,54.171593,1486700
2008-02-14,57.820000,58.119999,57.119999,57.689999,54.369511,1453000
2008-02-15,57.580002,57.610001,56.320000,57.230000,53.935993,1543100
2008-02-19,57.779999,58.599998,56.160000,56.439999,53.191475,1877500
2008-02-20,55.830002,56.380001,55.049999,56.090000,52.861614,1944400
2008-02-21,56.119999,56.490002,54.950001,55.360001,52.173618,2155100
2008-02-22,55.480000,56.790001,55.139999,56.779999,53.511887,1601500
