Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,100.105957,100.582779,95.470200,95.602646,84.452728,329700
2008-01-03,95.867546,97.854301,95.682121,96.476822,85.224976,320400
2008-01-04,96.476822,97.960266,95.814568,96.344368,85.107925,478400
2008-01-07,97.271523,97.456955,96.105957,96.582779,85.318550,217100
2008-01-08,96.715233,97.271523,95.337746,95.549667,84.405930,330600
2008-01-09,96.052979,97.615891,95.152321,97.615891,86.231155,419200
2008-01-10,96.609268,97.245033,95.788078,97.086090,85.763153,574200
2008-01-11,96.079468,99.629143,95.655632,99.205299,87.635216,450800
2008-01-14,99.231789,99.549667,97.589401,97.615891,86.231155,217400
2008-01-15,97.245033,97.907288,96.317879,96.397354,85.154732,264400
2008-01-16,95.947021,98.225166,95.576157,96.847679,85.552544,232200
2008-01-17,95.788078,98.649010,95.443710,96.927155,85.622757,985100
2008-01-18,97.350990,97.801323,93.801323,95.337746,84.218719,745000
2008-01-22,93.589401,96.900665,91.364235,94.993378,83.914513,288800
2008-01-23,93.086090,98.993378,92.238411,98.649010,87.143822,578800
2008-01-24,98.993378,99.311256,96.556290,97.721855,86.324776,484500
2008-01-25,97.615891,97.933777,93.245033,93.589401,82.674255,258800
2008-01-28,92.847679,95.284767,92.582779,95.284767,84.171906,219900
2008-01-29,95.496689,96.052979,94.278145,95.311256,84.195313,149800
2008-01-30,95.046356,98.384109,94.675499,95.099335,84.008110,736800
2008-01-31,92.980133,95.152321,92.450333,92.715233,81.902054,459600
2008-02-01,92.715233,96.000000,92.715233,95.629143,84.476143,322600
2008-02-04,96.079468,96.105957,92.874168,93.165565,82.299873,406900
2008-02-05,91.947021,93.721855,91.920532,92.317879,81.551048,457300
2008-02-06,91.655632,92.317879,90.225166,90.860924,80.264023,476700
2008-02-07,89.536423,89.801323,85.721855,86.887421,76.753937,1254700
2008-02-08,86.807945,87.284767,84.185432,86.145699,76.098717,762300
2008-02-11,85.986755,85.986755,83.655632,83.655632,73.899055,694900
2008-02-12,80.529800,84.635765,80.529800,82.622513,72.986435,1060100
2008-02-13,82.966888,85.907288,82.966888,85.907288,75.888107,434100
2008-02-14,85.403976,86.887421,84.397354,86.490067,76.402924,435700
2008-02-15,86.331123,89.430466,86.066223,89.112579,78.719551,621900
2008-02-19,89.509933,89.801323,87.125832,87.152321,76.987946,309800
2008-02-20,86.913910,88.715233,86.649010,88.529800,78.204765,195400
2008-02-21,88.291389,89.006622,87.549667,88.476822,78.157967,246600
2008-02-22,88.874168,89.218544,87.629143,89.218544,78.813187,329800
