'Tickers','Security','Sector','Industry'
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail
APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CBS,CBS Corp.,Consumer Discretionary,Broadcasting
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CMCSA,Comcast Corp.,Consumer Discretionary,Cable & Satellite
DHI,D. R. Horton,Consumer Discretionary,Homebuilding
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Satellite
DISCK,Discovery Communications-C,Consumer Discretionary,Cable & Satellite
DISH,Dish Network,Consumer Discretionary,Cable & Satellite
DG,Dollar General,Consumer Discretionary,General Merchandise Stores
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics
GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HD,Home Depot,Consumer Discretionary,Home Improvement Retail
IPG,Interpublic Group,Consumer Discretionary,Advertising
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding
LKQ,LKQ Corporation,Consumer Discretionary,Distributors
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail
M,Macy's Inc.,Consumer Discretionary,Department Stores
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants
