"Ticker,Seciruty,Sector,Industry"
"MMM,Aabbott Laboratories,Industrials,Capital Goods"
"ABT,Aabbott Laboratories,Health Care,Health Care Equipment & Services"
"ABBV,AbbVie Inc.,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"ACN,Aaccenture plc,Information Technology,Software & Services"
"ATVI,Ativision Blizzard,Information Technology,Software & Services"
"AYI,Acuity Brands Inc,Industrials,Capital Goods"
"ADBE,Acuity Brands Inc,Information Technology,Software & Services"
"AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors & Semiconductor Equipment"
"AAP,Advance Auto Parts,Consumer Discretionary,Retailing"
"AES,AES Corp,Utilities,Utilities"
"AET,Aetna Inc,Health Care,Health Care Equipment & Services"
"AMG,Affiliated Managers Group Inc,Financials,Diversified Financials"
"AFL,AFLAC Inc,Financials,Insurance"
"A,Agilent Technologies Inc,Health Care,Health Care Equipment & Services"
"APD,Air Products & Chemicals Inc,Materials,Materials"
"AKAM,Akamai Technologies Inc,Information Technology,Software & Services"
"ALK,Alaska Air Group Inc,Industrials,Transportation"
"ALB,Albemarle Corp,Materials,Materials"
"ARE,Alexandria Real Estate Equities Inc,Real Estate,Real Estate"
"ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"ALGN,Align Technology,Health Care,Health Care Equipment & Services"
"ALLE,Allegion,Industrials,Capital Goods"
"AGN,Allergan Plc,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"ADS,Alliance Data Systems,Information Technology,Software & Services"
"LNT,Alliant Energy Corp,Utilities,Utilities,"
"ALL,Allstate Corp,Financials,Insurance"
"GOOGL,Alphabet Inc Class A,Information Technology,Software & Services"
"GOOG,Alphabet Inc Class C,Information Technology,Software & Services"
"MO,Altria Group Inc,Consumer Staples,Food Beverage & Tobacco"
"AMZN,Amazon.com Inc,Consumer Discretionary,Retailing"
"AEE,Ameren Corp,Utilities,Utilities"
"AAL,American Airlines Group,Industrials,Transportation"
"AEP,American Electric Power,Utilities,Utilities"
"AXP,American Express Co,Financials,Diversified Financials"
"AIG,American International Group Inc,Financials,Insurance"
"AMT,American Tower Corp A,Real Estate,Real Estate"
"AWK,American Water Works Company Inc,Utilities,Utilities"
"AMP,Ameriprise Financial,Financials,Diversified Financials"
